epoch,global_step,train_loss,train_acc,eval_ran,eval_loss,eval_acc
0.0,0,0.8512768149375916,0.5,NO,,
0.0,0,0.8512768149375916,0.5,NO,,
0.0,0,0.8512768149375916,0.5,NO,,
0.0,0,0.8512768149375916,0.5,NO,,
0.0,0,0.8512768149375916,0.5,NO,,
0.0,0,0.8512768149375916,0.5,NO,,
0.0,0,0.8512768149375916,0.5,NO,,
0.0,0,0.8512768149375916,0.5,NO,,
0.0,0,0.8512768149375916,0.5,NO,,
0.0,0,0.8512768149375916,0.5,NO,,
0.03205128205128205,10,0.8992942571640015,0.375,NO,,
0.03205128205128205,10,0.8992942571640015,0.375,NO,,
0.03205128205128205,10,0.8992942571640015,0.375,NO,,
0.03205128205128205,10,0.8992942571640015,0.375,NO,,
0.03205128205128205,10,0.8992942571640015,0.375,NO,,
0.03205128205128205,10,0.8992942571640015,0.375,NO,,
0.03205128205128205,10,0.8992942571640015,0.375,NO,,
0.03205128205128205,10,0.8992942571640015,0.375,NO,,
0.03205128205128205,10,0.8992942571640015,0.375,NO,,
0.03205128205128205,10,0.8992942571640015,0.375,NO,,
0.0641025641025641,20,0.7634038329124451,0.5,NO,,
0.0641025641025641,20,0.7634038329124451,0.5,NO,,
0.0641025641025641,20,0.7634038329124451,0.5,NO,,
0.0641025641025641,20,0.7634038329124451,0.5,NO,,
0.0641025641025641,20,0.7634038329124451,0.5,NO,,
0.0641025641025641,20,0.7634038329124451,0.5,NO,,
0.0641025641025641,20,0.7634038329124451,0.5,NO,,
0.0641025641025641,20,0.7634038329124451,0.5,NO,,
0.0641025641025641,20,0.7634038329124451,0.5,NO,,
0.0641025641025641,20,0.7634038329124451,0.5,NO,,
0.09615384615384616,30,0.9496672749519348,0.25,NO,,
0.09615384615384616,30,0.9496672749519348,0.25,NO,,
0.09615384615384616,30,0.9496672749519348,0.25,NO,,
0.09615384615384616,30,0.9496672749519348,0.25,NO,,
0.09615384615384616,30,0.9496672749519348,0.25,NO,,
0.09615384615384616,30,0.9496672749519348,0.25,NO,,
0.09615384615384616,30,0.9496672749519348,0.25,NO,,
0.09615384615384616,30,0.9496672749519348,0.25,NO,,
0.09615384615384616,30,0.9496672749519348,0.25,NO,,
0.09615384615384616,30,0.9496672749519348,0.25,NO,,
0.1282051282051282,40,0.8959256410598755,0.375,NO,,
0.1282051282051282,40,0.8959256410598755,0.375,NO,,
0.1282051282051282,40,0.8959256410598755,0.375,NO,,
0.1282051282051282,40,0.8959256410598755,0.375,NO,,
0.1282051282051282,40,0.8959256410598755,0.375,NO,,
0.1282051282051282,40,0.8959256410598755,0.375,NO,,
0.1282051282051282,40,0.8959256410598755,0.375,NO,,
0.1282051282051282,40,0.8959256410598755,0.375,NO,,
0.1282051282051282,40,0.8959256410598755,0.375,NO,,
