h,G_abs_fd,G_rms_fd,G_true_rms_from_records
1e-05,89.24559490161641,95.60009866919539,21.916531030774262
3e-05,67.14668568788284,65.10416666666666,15.11384313081893
0.0001,36.97317503066966,37.372924815120555,18.482322585938466
0.0003,22.05641131139949,26.140027256427448,22.249015166452022
0.001,14.763771270867403,15.512378446444457,15.262264203062745
0.0015,17.407140796048612,18.111804821455994,18.829859695102876
0.002,16.261822328144536,16.084626275142853,15.964843717867128
0.003,14.432287632661398,14.087593389858023,16.363774325099662
0.004,11.726233701537385,11.339036027746799,14.045592898179006
0.005,16.018309347770124,16.868898206909897,21.240875745193865
0.01,10.059253482482195,10.523957207337443,16.392134027430753
