model,dataset,seed,quantizer_reference,delta_mode,Delta_value,G_mode,G_value,L_value_if_used,S3_sq_if_used,rho3_q90_if_used,d_mode,formula_name,hstar_cont,oracle_source,oracle_path,empirical_min_nmse_h,empirical_min_nmse,empirical_max_corr_h,empirical_max_corr,h_over_empirical_min_nmse_h,empirical_min_nmse_h_over_h,notes
roberta-large,SST-5,16,rtnclip_g128,rtnclip_g128_delta_scale_rms_from_dequant_recon_mse,0.0009349233635846558,Gtrue_clean32_proxy,13.359580337699002,3.506662235592895e-05,1110851602258.63,2.123549676555676e-07,all_trainable,old_h4_Lsmooth_all_trainable,0.0004672080244146057,current_rtnclip_g128_reprobe,outputs/rtnclip_int8_mse_reprobe/int8_mse_probe_summary.csv,0.0015,0.0184069803733316,0.0015,0.991070451685224,0.3114720162764038,3.210561295216289,old h4 fourth-root L-smooth envelope; base weights interpreted through fake-quant/dequantized INT8 scale; L/S3 are clean FP32 geometry proxies from seed16 initial state.
roberta-large,SST-5,16,rtnclip_g128,rtnclip_g128_delta_scale_rms_from_dequant_recon_mse,0.0009349233635846558,Gtrue_clean32_proxy,13.359580337699002,3.506662235592895e-05,1110851602258.63,2.123549676555676e-07,all_trainable,old_h4_Lsmooth_all_trainable,0.0004672080244146057,current_groupwise256_main_latest,experiments/main_latest/roberta-large/sst5/groupwise_int8_block256_window_continuation_seed16_20260517/02_dense_probe_window/groupwise256_dense_probe_summary.csv,0.0015,0.0202737131770456,0.0015,0.9903729237876536,0.3114720162764038,3.210561295216289,old h4 fourth-root L-smooth envelope; base weights interpreted through fake-quant/dequantized INT8 scale; L/S3 are clean FP32 geometry proxies from seed16 initial state.
roberta-large,SST-5,16,rtnclip_g128,rtnclip_g128_delta_scale_rms_from_dequant_recon_mse,0.0009349233635846558,Gtrue_clean32_proxy,13.359580337699002,3.506662235592895e-05,1110851602258.63,2.123549676555676e-07,all_trainable,old_h4_Lsmooth_all_trainable,0.0004672080244146057,older_probe_window_h100_20260512,experiments/int8_update_sparse_plan/probe_window_h100_20260512/dense_probe_summary.csv,0.003,0.1263930602270424,0.003,0.9375666196909768,0.1557360081382019,6.421122590432578,old h4 fourth-root L-smooth envelope; base weights interpreted through fake-quant/dequantized INT8 scale; L/S3 are clean FP32 geometry proxies from seed16 initial state.
roberta-large,SST-5,16,rtnclip_g128,rtnclip_g128_delta_scale_rms_from_dequant_recon_mse,0.0009349233635846558,Gtrue_clean32_proxy,13.359580337699002,3.506662235592895e-05,1110851602258.63,2.123549676555676e-07,all_trainable,new_h6_rho3_bound_all_trainable,0.0024740419678668424,current_rtnclip_g128_reprobe,outputs/rtnclip_int8_mse_reprobe/int8_mse_probe_summary.csv,0.0015,0.0184069803733316,0.0015,0.991070451685224,1.6493613119112283,0.606295293079981,new h6 rho3 bound constant 2; base weights interpreted through fake-quant/dequantized INT8 scale; L/S3 are clean FP32 geometry proxies from seed16 initial state.
roberta-large,SST-5,16,rtnclip_g128,rtnclip_g128_delta_scale_rms_from_dequant_recon_mse,0.0009349233635846558,Gtrue_clean32_proxy,13.359580337699002,3.506662235592895e-05,1110851602258.63,2.123549676555676e-07,all_trainable,new_h6_rho3_bound_all_trainable,0.0024740419678668424,current_groupwise256_main_latest,experiments/main_latest/roberta-large/sst5/groupwise_int8_block256_window_continuation_seed16_20260517/02_dense_probe_window/groupwise256_dense_probe_summary.csv,0.0015,0.0202737131770456,0.0015,0.9903729237876536,1.6493613119112283,0.606295293079981,new h6 rho3 bound constant 2; base weights interpreted through fake-quant/dequantized INT8 scale; L/S3 are clean FP32 geometry proxies from seed16 initial state.
roberta-large,SST-5,16,rtnclip_g128,rtnclip_g128_delta_scale_rms_from_dequant_recon_mse,0.0009349233635846558,Gtrue_clean32_proxy,13.359580337699002,3.506662235592895e-05,1110851602258.63,2.123549676555676e-07,all_trainable,new_h6_rho3_bound_all_trainable,0.0024740419678668424,older_probe_window_h100_20260512,experiments/int8_update_sparse_plan/probe_window_h100_20260512/dense_probe_summary.csv,0.003,0.1263930602270424,0.003,0.9375666196909768,0.8246806559556141,1.212590586159962,new h6 rho3 bound constant 2; base weights interpreted through fake-quant/dequantized INT8 scale; L/S3 are clean FP32 geometry proxies from seed16 initial state.
roberta-large,SST-5,16,rtnclip_g128,rtnclip_g128_delta_scale_rms_from_dequant_recon_mse,0.0009349233635846558,Gtrue_clean32_proxy,13.359580337699002,3.506662235592895e-05,1110851602258.63,2.123549676555676e-07,all_trainable,new_h6_rho3_gate_all_trainable,0.0012370209839334214,current_rtnclip_g128_reprobe,outputs/rtnclip_int8_mse_reprobe/int8_mse_probe_summary.csv,0.0015,0.0184069803733316,0.0015,0.991070451685224,0.8246806559556142,1.2125905861599617,new h6 conservative rho3 gate constant 128; base weights interpreted through fake-quant/dequantized INT8 scale; L/S3 are clean FP32 geometry proxies from seed16 initial state.
roberta-large,SST-5,16,rtnclip_g128,rtnclip_g128_delta_scale_rms_from_dequant_recon_mse,0.0009349233635846558,Gtrue_clean32_proxy,13.359580337699002,3.506662235592895e-05,1110851602258.63,2.123549676555676e-07,all_trainable,new_h6_rho3_gate_all_trainable,0.0012370209839334214,current_groupwise256_main_latest,experiments/main_latest/roberta-large/sst5/groupwise_int8_block256_window_continuation_seed16_20260517/02_dense_probe_window/groupwise256_dense_probe_summary.csv,0.0015,0.0202737131770456,0.0015,0.9903729237876536,0.8246806559556142,1.2125905861599617,new h6 conservative rho3 gate constant 128; base weights interpreted through fake-quant/dequantized INT8 scale; L/S3 are clean FP32 geometry proxies from seed16 initial state.
roberta-large,SST-5,16,rtnclip_g128,rtnclip_g128_delta_scale_rms_from_dequant_recon_mse,0.0009349233635846558,Gtrue_clean32_proxy,13.359580337699002,3.506662235592895e-05,1110851602258.63,2.123549676555676e-07,all_trainable,new_h6_rho3_gate_all_trainable,0.0012370209839334214,older_probe_window_h100_20260512,experiments/int8_update_sparse_plan/probe_window_h100_20260512/dense_probe_summary.csv,0.003,0.1263930602270424,0.003,0.9375666196909768,0.4123403279778071,2.4251811723199235,new h6 conservative rho3 gate constant 128; base weights interpreted through fake-quant/dequantized INT8 scale; L/S3 are clean FP32 geometry proxies from seed16 initial state.
roberta-large,SST-5,16,rtnclip_g128,rtnclip_g128_delta_scale_rms_from_dequant_recon_mse,0.0009349233635846558,Gtrue_clean32_proxy,13.359580337699002,3.506662235592895e-05,1110851602258.63,2.123549676555676e-07,rtnclip_quantized_values,old_h4_Lsmooth_rtnclip_quantized_values,0.0005004363541896373,current_rtnclip_g128_reprobe,outputs/rtnclip_int8_mse_reprobe/int8_mse_probe_summary.csv,0.0015,0.0184069803733316,0.0015,0.991070451685224,0.33362423612642483,2.9973841577296443,old h4 fourth-root L-smooth envelope; base weights interpreted through fake-quant/dequantized INT8 scale; L/S3 are clean FP32 geometry proxies from seed16 initial state.
