group,model,dataset,seed,h3,m_T3,S3_sq,S3_rms,T3_abs_mean,T3_abs_median,rho3_q50,rho3_q90,rho3_q95,finite_rate,zero_T3_frac,sign_negative_frac,S3_sq_stability_2x,S3_sq_stability_next,rho3_q90_stability_2x,rho3_q90_stability_next,log_slope_S3_next,log_slope_rho_next,low_h3_noise_suspected,large_h3_nonlocal_suspected
C_model,OPT-1.3B,sst-2,16,1e-05,16,3.0420815866349906e+20,17441564111.72745,13535842299.46136,15288591384.887691,0.00032032113928586196,0.0005600982912014228,0.0006398924452589585,1.0,0.0625,0.625,nan,0.9803859030798951,nan,0.8314712162494352,3.5786116550878835,1.6208163140898835,True,False
C_model,OPT-1.3B,sst-2,16,3e-05,16,5.966768307912476e+18,2442696933.291659,1994272073.1099446,1683831214.9047852,3.5279873746303864e-05,9.439268296547419e-05,9.816203751520966e-05,1.0,0.0,0.5625,nan,0.9634691509205682,nan,0.820011862765978,2.74889780168409,1.424338098300513,True,False
C_model,OPT-1.3B,sst-2,16,0.0001,16,2.1797111254828746e+17,466873765.1103213,333828851.58061975,273495912.5518798,5.730404733707208e-06,1.698956235546544e-05,2.140362786735301e-05,1.0,0.0,0.5625,nan,0.9778157557165852,nan,0.8588004823892835,3.4665304569390374,1.7818673525459854,True,False
C_model,OPT-1.3B,sst-2,16,0.0003,16,4835524407498925.0,69537935.02469659,54068863.391876236,52212565.03352413,1.0939186154717204e-06,2.3989171502084258e-06,2.8674316565853242e-06,1.0,0.0,0.4375,nan,0.9189354039476796,nan,0.7141881964778621,2.086848599050267,1.0402408674861032,True,False
C_model,OPT-1.3B,sst-2,16,0.001,16,391989832795036.6,19798733.110859305,15437183.901667595,12105628.848075867,2.5364413868317264e-07,6.856381230130612e-07,7.983247453958205e-07,1.0,0.0,0.3125,0.07227062041601603,0.3003511944712095,0.10245991377000231,0.1856932114123543,0.8809063198790776,0.5066233560428579,True,False
C_model,OPT-1.3B,sst-2,16,0.0015,16,274255218294477.7,16560652.71341917,12792859.916333798,11747329.323380083,2.461519507522482e-07,5.583195923908156e-07,6.694699307508037e-07,1.0,0.0,0.375,0.7897324652704704,0.3259929442498104,0.5881698873117139,0.10221368507404181,0.9808104073576935,0.3382921907667536,True,False
C_model,OPT-1.3B,sst-2,16,0.002,16,363660484382168.94,19069884.225714874,16761008.417233825,15553478.151559828,3.258808223653107e-07,6.153875975918029e-07,6.434464760242153e-07,1.0,0.0,0.1875,0.9481193424033435,0.8414263547620233,0.7705731420308172,0.6263609150700926,4.541786994799277,2.4279893420243153,True,False
C_model,OPT-1.3B,sst-2,16,0.003,16,57666968637488.81,7593877.049142211,6424345.214057852,6106060.964089853,1.2793751756078283e-07,2.2993223248050024e-07,2.6521957835171295e-07,1.0,0.0,0.3125,nan,0.6728292553356047,nan,0.38596665278681414,3.8837077329892202,1.6952952150656673,True,False
C_model,OPT-1.3B,sst-2,16,0.004,16,18866945071665.543,4343609.682241896,3390407.3643498123,2574827.5220394135,5.3947796731805406e-08,1.411856723755492e-07,1.559686499957992e-07,1.0,0.0,0.625,nan,0.5765757547466487,nan,0.3425617226770002,3.8512457726218083,1.8795272893191715,False,False
C_model,OPT-1.3B,sst-2,16,0.005,16,7988721977206.418,2826432.729998437,2309673.6818552013,2219046.831130981,4.649255516284421e-08,9.282052266754782e-08,9.98532418704377e-08,1.0,0.0,0.625,0.9568599898445067,0.9568599898445067,0.7753554700375828,0.7753554700375828,4.534829673654704,2.1542841618582944,True,True
