model,dataset,setting,quantizer,quantizer_backend,policy,h,h_label,status,steps_completed,batch_size,lr,best_eval_acc,last_eval_acc,best_step,last_eval_step,best_eval_loss,last_eval_loss,final_train_loss,active_frac,alignment,norm_ratio,code_change_frac,run_dir
opt-1.3b,SST-5,opt_1p3b_sst5,awq,awq_style_g128_fake_quant,bad-large,0.01,1e-2,complete,500,4,1e-07,0.34375,0.34375,500,500,1.5662841796875,1.5662841796875,2.7587890625,0.9895731194151772,0.9969428525179624,0.9853946413851261,0.9895731194151772,outputs/quantizer_robustness_int8_window/h_acc/opt_1p3b_sst5/awq/h_1e-2
opt-1.3b,SST-5,opt_1p3b_sst5,awq,awq_style_g128_fake_quant,default,0.001,1e-3,complete,500,4,1e-07,0.375,0.375,500,500,1.5792236328125,1.5792236328125,1.48291015625,0.8992468880282508,0.992745555090676,1.0022798378191113,0.8992468880282508,outputs/quantizer_robustness_int8_window/h_acc/opt_1p3b_sst5/awq/h_1e-3
opt-1.3b,SST-5,opt_1p3b_sst5,awq,awq_style_g128_fake_quant,bad-small,1e-05,1e-5,complete,500,4,1e-07,0.34375,0.34375,500,500,1.688720703125,1.688720703125,1.642578125,0.03665690372387568,0.22241283553016217,4.443018266815681,0.03665690372387568,outputs/quantizer_robustness_int8_window/h_acc/opt_1p3b_sst5/awq/h_1e-5
opt-1.3b,SST-5,opt_1p3b_sst5,awq,awq_style_g128_fake_quant,selected_h,0.005,5e-3,complete,500,4,1e-07,0.34375,0.34375,500,500,1.5833740234375,1.5833740234375,2.51708984375,0.9793109827571445,0.9980250508392893,0.9938727669795953,0.9793109827571445,outputs/quantizer_robustness_int8_window/h_acc/opt_1p3b_sst5/awq/h_5e-3
opt-1.3b,SST-5,opt_1p3b_sst5,rtnclip,G128_RTNClip_shared_grid_fake_quant,bad-large,0.01,1e-2,complete,500,4,1e-07,0.25,0.25,500,500,1.722412109375,1.722412109375,2.6337890625,0.9898466923170619,0.9971487599092985,0.985913807989174,0.9898466923170619,outputs/quantizer_robustness_int8_window/h_acc/opt_1p3b_sst5/rtnclip/h_1e-2
opt-1.3b,SST-5,opt_1p3b_sst5,rtnclip,G128_RTNClip_shared_grid_fake_quant,default,0.001,1e-3,complete,500,4,1e-07,0.25,0.25,500,500,1.7506103515625,1.7506103515625,0.9697265625,0.8992582443687651,0.9930206537478174,1.0026680462799753,0.8992582443687651,outputs/quantizer_robustness_int8_window/h_acc/opt_1p3b_sst5/rtnclip/h_1e-3
opt-1.3b,SST-5,opt_1p3b_sst5,rtnclip,G128_RTNClip_shared_grid_fake_quant,bad-small,1e-05,1e-5,complete,500,4,1e-07,0.1875,0.1875,500,500,1.8277587890625,1.8277587890625,1.45654296875,0.036528519458240934,0.22169722867214317,4.478313736019917,0.036528519458240934,outputs/quantizer_robustness_int8_window/h_acc/opt_1p3b_sst5/rtnclip/h_1e-5
opt-1.3b,SST-5,opt_1p3b_sst5,rtnclip,G128_RTNClip_shared_grid_fake_quant,selected_h,0.005,5e-3,complete,500,4,1e-07,0.25,0.25,500,500,1.7413330078125,1.7413330078125,2.9755859375,0.9796947605080075,0.9982772871845965,0.9942088259663672,0.9796947605080075,outputs/quantizer_robustness_int8_window/h_acc/opt_1p3b_sst5/rtnclip/h_5e-3
roberta-large,SST-5,roberta_large_sst5,awq,awq_style_g128_fake_quant,bad-large,0.01,1e-2,complete,1000,64,1e-06,0.259765625,0.259765625,500,1000,1.583251953125,1.590087890625,1.67529296875,0.9907914822082985,0.9976052315610504,0.9880495751462179,0.9907914822082985,outputs/quantizer_robustness_int8_window/h_acc/roberta_large_sst5/awq/h_1e-2
roberta-large,SST-5,roberta_large_sst5,awq,awq_style_g128_fake_quant,default,0.001,1e-3,complete,1000,64,1e-06,0.283203125,0.27734375,500,1000,1.564453125,1.5684814453125,1.62744140625,0.9087979919874795,0.9945089030096919,1.0010098263242955,0.9087979919874795,outputs/quantizer_robustness_int8_window/h_acc/roberta_large_sst5/awq/h_1e-3
