h,G_clean32_abs,G_clean32_rms,d2_clean32_mean,d2_clean32_abs_mean
1e-05,15.456121862565096,17.26443777212785,8.578598499298094,12.332201004028319
3e-05,15.471373795287542,17.255147679651014,8.555501699447632,12.344370285669962
0.0001,15.464059092859431,17.181023093319318,8.466318249702454,12.338533997535706
0.0003,15.716556395399161,17.11072554514131,8.345171809196472,12.539997696876526
0.001,15.52297201747937,17.053033416788708,8.480556309223175,12.385539710521698
0.0015,15.325671148198234,16.79666411038107,8.387709657351175,12.228116393089294
0.002,15.15275158279769,16.522240722180257,8.288480341434479,12.090146541595459
0.003,14.80914732703634,16.021567471877283,8.161028226216635,11.81599001089732
0.004,13.8214119317752,14.897199329781145,7.749173790216446,11.02789118885994
0.005,11.601927959738001,13.113999888090659,7.323439419269562,9.25699919462204
0.01,11.971173515781178,12.034572830302004,1.4749810099601746,9.55161452293396
