run_name,bitwidth,h,h_label,scale_refresh_k,status,steps_completed,seed,data_seed,batch_size,gpu_name,gpu_type_requested,fallback_used,best_eval_acc,best_eval_step,last_eval_acc,last_eval_step,best_eval_loss,best_eval_loss_step,last_eval_loss,last_eval_loss_step,final_train_loss,active_frac,alignment,norm_ratio,code_change_frac,saturation_frac_w,saturation_frac_w_plus,saturation_frac_w_minus,corr_fd_true,nMSE_fd_true,run_dir,resume_command,warnings,lowbit_true_nmse,lowbit_true_corr,weight_recon_mse
int8_g128_rtnclip_k1_h1e-2_seed16_bs64_ckpt1k,8,0.01,1e-2,1,complete,20000,16,16,64,NVIDIA L4,L4,True,0.2716627634660422,2000,0.27049180327868855,20000,1.5978689439402811,1000,1.6176540544496487,20000,1.6396484375,0.9823868039105924,0.9982383942906975,0.9935768598871877,0.9823868039105924,0.008018111601231902,0.008502809837690861,0.008497305873460015,,,/scratch/jy03364/MeZO_/outputs/rtnclip_lowbit_roberta_sst5_seed16_20260519_batch/int8_hsearch/int8_g128_rtnclip_k1_h1e-2_seed16_bs64_ckpt1k,CUDA_VISIBLE_DEVICES=0 DATALOADER_SHUFFLE=True python tools/rtnclip_roberta_sst5_batch.py run-manifest --manifest /scratch/jy03364/MeZO_/outputs/rtnclip_lowbit_roberta_sst5_seed16_20260519_batch/lane_manifests/lane5.csv --only-run-name int8_g128_rtnclip_k1_h1e-2_seed16_bs64_ckpt1k,,nan,nan,nan
int8_g128_rtnclip_k1_h1e-3_seed16_bs64_ckpt1k,8,0.001,1e-3,1,complete,20000,16,16,64,NVIDIA L4,L4,True,0.4765807962529274,19000,0.4765807962529274,20000,1.2940505159543325,20000,1.2940505159543325,20000,1.29150390625,0.8278570703766236,0.9811097866011188,1.0150301000199484,0.8278570703766236,0.008018977873061012,0.00558570800615722,0.005583781446329579,,,/scratch/jy03364/MeZO_/outputs/rtnclip_lowbit_roberta_sst5_seed16_20260519_batch/int8_hsearch/int8_g128_rtnclip_k1_h1e-3_seed16_bs64_ckpt1k,CUDA_VISIBLE_DEVICES=0 DATALOADER_SHUFFLE=True python tools/rtnclip_roberta_sst5_batch.py run-manifest --manifest /scratch/jy03364/MeZO_/outputs/rtnclip_lowbit_roberta_sst5_seed16_20260519_batch/lane_manifests/lane0.csv --only-run-name int8_g128_rtnclip_k1_h1e-3_seed16_bs64_ckpt1k,,nan,nan,nan
int8_g128_rtnclip_k1_h1e-4_seed16_bs64_ckpt1k,8,0.0001,1e-4,1,complete,20000,16,16,64,NVIDIA L4,L4,True,0.45784543325526933,20000,0.45784543325526933,20000,1.2812751573477752,20000,1.2812751573477752,20000,1.28369140625,0.2065184414869107,0.5316564866026712,1.8668583566221544,0.2065184414869107,0.00801533285138276,0.007993322837241884,0.007993401478100773,,,/scratch/jy03364/MeZO_/outputs/rtnclip_lowbit_roberta_sst5_seed16_20260519_batch/int8_hsearch/int8_g128_rtnclip_k1_h1e-4_seed16_bs64_ckpt1k,CUDA_VISIBLE_DEVICES=0 DATALOADER_SHUFFLE=True python tools/rtnclip_roberta_sst5_batch.py run-manifest --manifest /scratch/jy03364/MeZO_/outputs/rtnclip_lowbit_roberta_sst5_seed16_20260519_batch/lane_manifests/lane2.csv --only-run-name int8_g128_rtnclip_k1_h1e-4_seed16_bs64_ckpt1k,,nan,nan,nan
int8_g128_rtnclip_k1_h1e-5_seed16_bs64_ckpt1k,8,1e-05,1e-5,1,complete,20000,16,16,64,NVIDIA L4,L4,True,0.3395784543325527,10000,0.24824355971896955,20000,1.550593713407494,6000,1.6192138100117095,20000,1.65625,0.018648628520721137,0.16219887885265838,6.176656377665532,0.018648628520721137,0.008017411347745985,0.007417093796403253,0.007502451309989457,,,/scratch/jy03364/MeZO_/outputs/rtnclip_lowbit_roberta_sst5_seed16_20260519_batch/int8_hsearch/int8_g128_rtnclip_k1_h1e-5_seed16_bs64_ckpt1k,CUDA_VISIBLE_DEVICES=0 DATALOADER_SHUFFLE=True python tools/rtnclip_roberta_sst5_batch.py run-manifest --manifest /scratch/jy03364/MeZO_/outputs/rtnclip_lowbit_roberta_sst5_seed16_20260519_batch/lane_manifests/lane0.csv --only-run-name int8_g128_rtnclip_k1_h1e-5_seed16_bs64_ckpt1k,,nan,nan,nan
int8_g128_rtnclip_k1_h1p5e-3_seed16_bs64_ckpt1k,8,0.0015,1p5e-3,1,complete,20000,16,16,64,NVIDIA L4,L4,True,0.45784543325526933,20000,0.45784543325526933,20000,1.3665013905152226,20000,1.3665013905152226,20000,1.37890625,0.8837861066287115,0.9908970515124192,1.0048567650344797,0.8837861066287115,0.008018075037303243,0.005298212222297971,0.005303389895649166,,,/scratch/jy03364/MeZO_/outputs/rtnclip_lowbit_roberta_sst5_seed16_20260519_batch/int8_hsearch/int8_g128_rtnclip_k1_h1p5e-3_seed16_bs64_ckpt1k,CUDA_VISIBLE_DEVICES=0 DATALOADER_SHUFFLE=True python tools/rtnclip_roberta_sst5_batch.py run-manifest --manifest /scratch/jy03364/MeZO_/outputs/rtnclip_lowbit_roberta_sst5_seed16_20260519_batch/lane_manifests/lane1.csv --only-run-name int8_g128_rtnclip_k1_h1p5e-3_seed16_bs64_ckpt1k,,nan,nan,nan
int8_g128_rtnclip_k1_h2e-3_seed16_bs64_ckpt1k,8,0.002,2e-3,1,complete,20000,16,16,64,NVIDIA L4,L4,True,0.4613583138173302,20000,0.4613583138173302,20000,1.4025816012880563,20000,1.4025816012880563,20000,1.43115234375,0.9124210127068154,0.9943803147624005,1.0012074606134729,0.9124210127068154,0.008016694098944038,0.005232344924788524,0.005222270806063517,,,/scratch/jy03364/MeZO_/outputs/rtnclip_lowbit_roberta_sst5_seed16_20260519_batch/int8_hsearch/int8_g128_rtnclip_k1_h2e-3_seed16_bs64_ckpt1k,CUDA_VISIBLE_DEVICES=0 DATALOADER_SHUFFLE=True python tools/rtnclip_roberta_sst5_batch.py run-manifest --manifest /scratch/jy03364/MeZO_/outputs/rtnclip_lowbit_roberta_sst5_seed16_20260519_batch/lane_manifests/lane2.csv --only-run-name int8_g128_rtnclip_k1_h2e-3_seed16_bs64_ckpt1k,,nan,nan,nan
int8_g128_rtnclip_k1_h3e-3_seed16_bs64_ckpt1k,8,0.003,3e-3,1,complete,20000,16,16,64,NVIDIA L4,L4,True,0.36533957845433257,18000,0.3594847775175644,20000,1.4986163458723654,20000,1.4986163458723654,20000,1.5244140625,0.941422196517798,0.9968567823260776,0.9983990752569422,0.941422196517798,0.008016772891119042,0.005311534708013954,0.0053212714218065825,,,/scratch/jy03364/MeZO_/outputs/rtnclip_lowbit_roberta_sst5_seed16_20260519_batch/int8_hsearch/int8_g128_rtnclip_k1_h3e-3_seed16_bs64_ckpt1k,CUDA_VISIBLE_DEVICES=0 DATALOADER_SHUFFLE=True python tools/rtnclip_roberta_sst5_batch.py run-manifest --manifest /scratch/jy03364/MeZO_/outputs/rtnclip_lowbit_roberta_sst5_seed16_20260519_batch/lane_manifests/lane3.csv --only-run-name int8_g128_rtnclip_k1_h3e-3_seed16_bs64_ckpt1k,,nan,nan,nan
int8_g128_rtnclip_k1_h3e-4_seed16_bs64_ckpt1k,8,0.0003,3e-4,1,complete,20000,16,16,64,NVIDIA L4,L4,True,0.4648711943793911,20000,0.4648711943793911,20000,1.3259820513758782,20000,1.3259820513758782,20000,1.35791015625,0.5195836682008323,0.8439605781137174,1.1791026742836366,0.5195836682008323,0.008016637847216096,0.007274809818332061,0.0072762160177103855,,,/scratch/jy03364/MeZO_/outputs/rtnclip_lowbit_roberta_sst5_seed16_20260519_batch/int8_hsearch/int8_g128_rtnclip_k1_h3e-4_seed16_bs64_ckpt1k,CUDA_VISIBLE_DEVICES=0 DATALOADER_SHUFFLE=True python tools/rtnclip_roberta_sst5_batch.py run-manifest --manifest /scratch/jy03364/MeZO_/outputs/rtnclip_lowbit_roberta_sst5_seed16_20260519_batch/lane_manifests/lane3.csv --only-run-name int8_g128_rtnclip_k1_h3e-4_seed16_bs64_ckpt1k,,nan,nan,nan
int8_g128_rtnclip_k1_h3e-5_seed16_bs64_ckpt1k,8,3e-05,3e-5,1,complete,20000,16,16,64,NVIDIA L4,L4,True,0.4672131147540984,18000,0.4613583138173302,20000,1.3477362961065573,20000,1.3477362961065573,20000,1.35107421875,0.06150507509881779,0.29019293223173476,3.4193762226876934,0.06150507509881779,0.008013600408938112,0.008013237697546987,0.008013482316876243,,,/scratch/jy03364/MeZO_/outputs/rtnclip_lowbit_roberta_sst5_seed16_20260519_batch/int8_hsearch/int8_g128_rtnclip_k1_h3e-5_seed16_bs64_ckpt1k,CUDA_VISIBLE_DEVICES=0 DATALOADER_SHUFFLE=True python tools/rtnclip_roberta_sst5_batch.py run-manifest --manifest /scratch/jy03364/MeZO_/outputs/rtnclip_lowbit_roberta_sst5_seed16_20260519_batch/lane_manifests/lane1.csv --only-run-name int8_g128_rtnclip_k1_h3e-5_seed16_bs64_ckpt1k,,nan,nan,nan
int8_g128_rtnclip_k1_h4e-3_seed16_bs64_ckpt1k,8,0.004,4e-3,1,complete,20000,16,16,64,NVIDIA L4,L4,True,0.34894613583138173,20000,0.34894613583138173,20000,1.525665068793911,20000,1.525665068793911,20000,1.56494140625,0.9560361844769677,0.9976937190429749,0.9972216094809021,0.9560361844769677,0.008016547905600094,0.005558449843655627,0.005545973838874372,,,/scratch/jy03364/MeZO_/outputs/rtnclip_lowbit_roberta_sst5_seed16_20260519_batch/int8_hsearch/int8_g128_rtnclip_k1_h4e-3_seed16_bs64_ckpt1k,CUDA_VISIBLE_DEVICES=0 DATALOADER_SHUFFLE=True python tools/rtnclip_roberta_sst5_batch.py run-manifest --manifest /scratch/jy03364/MeZO_/outputs/rtnclip_lowbit_roberta_sst5_seed16_20260519_batch/lane_manifests/lane4.csv --only-run-name int8_g128_rtnclip_k1_h4e-3_seed16_bs64_ckpt1k,,nan,nan,nan
