h,G_abs,G_rms,d2_mean,d2_abs_mean,alignment_eff,norm_ratio_eff,active_frac_eff,zero_coord_frac_eff,delta_visibility_mse,empirical_snap_rms,lowbit_visibility_nmse,corr_d2_h_2h,sign_flip_rate_h_2h,strict_fp16_visibility_pass,lowbit_window_visibility_pass
1e-05,84.14584662152404,86.31674575031096,30.517578124999996,67.13867187499999,0.1681477846643827,5.91414776428024,0.020938767143490987,0.979061232856509,1.3594440690428272e-08,0.00011659520011745026,33.98824518016658,,,False,False
3e-05,35.69823796064657,39.86799711561162,12.20703125,28.483072916666668,0.2915656687299861,3.40197455070811,0.06248078964906186,0.9375192103509382,3.812027495086367e-08,0.00019524414191177074,10.589632946162784,,,False,False
0.0001,26.008716228471073,25.721810920050633,4.8828125,20.751953125,0.5321171453146216,1.864852676001212,0.2071560708758874,0.7928439291241126,9.971512660320486e-08,0.00031577702038496227,2.4930353387075863,,,False,True
0.0003,20.14400570636485,18.51287950207898,7.527669270833334,16.072591145833336,0.8439926644407834,1.1789799703986796,0.5197990537668207,0.4802009462331793,1.4395238090813655e-07,0.0003794105703695359,0.39989287847720034,,,False,True
0.001,14.228297701457704,16.569218262653468,8.1787109375,11.3525390625,0.9811195066577876,1.0150177426824396,0.8279150839208702,0.17208491607912982,1.5420471660941453e-07,0.00039268908389387974,0.03855360424811963,0.96783347452059,0.125,False,True
0.0015,14.534282598263246,16.078307346520575,7.364908854166666,11.5966796875,0.9908989823461027,1.0048523529452962,0.8837978274599149,0.11620217254008511,1.6481474908994148e-07,0.0004059738280849413,0.01831390334408583,0.9708286128834228,0.125,False,True
0.002,14.457786374061861,15.854109467826387,8.30078125,11.53564453125,0.9943792583127071,1.001204082248465,0.9124350692669484,0.0875649307330516,1.8009217269527562e-07,0.0004243726813724885,0.011256468860366384,0.9821531663319594,0.0,True,True
0.003,14.457786374061861,15.525607712448291,8.36181640625,11.53564453125,0.9968574967092847,0.9984038808122493,0.9414226359610794,0.058577364038920526,2.2597657818779638e-07,0.0004753699382457797,0.006277522562768812,,,True,True
0.004,12.946985946084498,14.423745167363894,7.9498291015625,10.3302001953125,0.9976946028969349,0.9972179844267246,0.9560174845833453,0.043982515416654655,2.947466751555053e-07,0.00054290577005177,0.00460570652383416,,,True,True
0.005,11.229645712763393,12.994796151547114,7.2265625,8.9599609375,0.9980508657344549,0.9964796136856315,0.9647964307474513,0.03520356925254872,3.8966925640241574e-07,0.0006242349368646517,0.003896938245069665,-0.4259957408786772,0.75,True,True
0.01,10.349939134447458,9.917294503754562,1.934814453125,8.258056640625,0.9982390418718065,0.9935727274322912,0.9823793678271606,0.01762063217283935,1.4161466279907377e-06,0.0011900195914314763,0.0035405897736534298,,,True,True
