model,task,precision,perturbation_mode,h,A_uniform,p_active,V_norm,V_align,p_clip,jump_mean,jump_median,jump_zero_frac,jump_one_frac,jump_ge2_frac,disp_rms,relative_disp,locality_proxy
roberta-large,sst-5,int4,dense,1e-08,25030821.85161253,4.318372987262677e-05,4974.345331153496,0.005962702363677282,0.026536089081150363,4.318372987262677e-05,0.0,0.9999568162701273,4.318372987262677e-05,0.0,7.077064623047472e-05,0.0016493552829145786,649090652.6131921
roberta-large,sst-5,int4,dense,3e-08,3045518.8036009865,4.7251762396859727e-05,1742.160935679442,0.005989371147509739,0.026536089081150363,4.7251762396859727e-05,0.0,0.9999527482376032,4.7251762396859727e-05,0.0,7.403441541164908e-05,0.0017254195161512348,84221009.66418132
roberta-large,sst-5,int4,dense,1e-07,285556.1187799449,4.9285778658976205e-05,534.1773236344532,0.005441226373700541,0.026536089081150363,4.9285778658976205e-05,0.0,0.9999507142213411,4.9285778658976205e-05,0.0,7.557634988542961e-05,0.0017613552876285185,8156968.730505287
roberta-large,sst-5,int4,dense,3e-07,35997.04279199124,5.8517083233197145e-05,189.40804904397615,0.007022724666710959,0.026536089081150363,5.8517083233197145e-05,0.0,0.9999414829167668,5.8517083233197145e-05,0.0,8.050238214156779e-05,0.0018761596275381702,1180351.134315141
roberta-large,sst-5,int4,dense,1e-06,6684.054573230617,0.0001309593547224225,81.40625138859419,0.012687777921513507,0.026536089081150363,0.0001309593547224225,0.0,0.9998690406452776,0.0001309593547224225,0.0,0.00011566458696883448,0.002695637354248591,462020.6192005639
roberta-large,sst-5,int4,dense,3e-06,1950.104694004116,0.0003528235900825122,44.04529255330767,0.021899596919687663,0.026536089081150363,0.0003528235900825122,0.0,0.9996471764099175,0.0003528235900825122,0.0,0.00018744702140416908,0.004368573009955606,349843.27536922664
roberta-large,sst-5,int4,dense,1e-05,535.4693382052942,0.0010515864075142194,23.141081068810543,0.03736112599795342,0.02653968772530642,0.0010515864075142194,0.0,0.9989484135924858,0.0010515864075142194,0.0,0.0003274243852388757,0.007630835216483445,288032.00993059366
roberta-large,sst-5,int4,dense,3e-05,161.19795318265952,0.0030034597051990706,12.718531923511694,0.06480432873407178,0.02655861972282304,0.0030034597051990706,0.0,0.9969965402948009,0.0030034597051990706,0.0,0.0005396851591897413,0.012577708638145698,235527.96371339017
roberta-large,sst-5,int4,dense,0.0001,46.90416557518289,0.00975076103500761,6.894617863037552,0.11880365731796731,0.02664623888488344,0.00975076103500761,0.0,0.9902492389649924,0.00975076103500761,0.0,0.0009742975541324506,0.02270662914120928,224805.97562190102
roberta-large,sst-5,int4,dense,0.0003,15.861075873864394,0.029975454117599935,4.069104288310538,0.20852753408446176,0.0268591847412481,0.029975454117599935,0.0,0.9700245458824001,0.029975454117599935,0.0,0.0017265668074170285,0.04023874638425966,246220.76554310907
roberta-large,sst-5,int4,dense,0.001,4.430447045162584,0.10409907474164865,2.282765158023005,0.3900023138786004,0.02761208368380998,0.10413443533205159,0.0,0.8959009252583514,0.10406387061403509,3.520412761355443e-05,0.00322687672500359,0.0752044308930859,270340.1783709603
roberta-large,sst-5,int4,dense,0.003,1.0040297476687212,0.3213476578146279,1.3804228668245344,0.68874958595957,0.030512903799166866,0.33226813466314187,0.0,0.6786523421853721,0.3109125285388128,0.010435129275815108,0.00576791819431009,0.13442503144909673,306619.35943693464
roberta-large,sst-5,int4,dense,0.01,0.11534517602486423,0.701507018294881,1.0360306974601423,0.9449591646432487,0.04581731154369943,1.151566599325082,1.0,0.29849298170511895,0.4012988914924297,0.30020812680245135,0.011691529966369829,0.27247860154599624,465852.4795843461
roberta-large,sst-5,int4,dense,0.03,0.031117054748639246,0.892670750971321,0.9571005920364971,0.9847059186768498,0.1411583816490427,3.359924027927982,3.0,0.107329249028679,0.18586652847873109,0.7068042224925899,0.029435253592257193,0.6860074565125822,2079668.8286641473
roberta-large,sst-5,int4,dense,0.1,0.18082349757069308,0.9674322703877273,0.6823359034465148,0.9414442304972671,0.5393399085255948,8.26905403849235,9.0,0.03256772961227269,0.05906798871465193,0.9083642816730754,0.07095368387217173,1.653621092503515,6319207.2003313815
roberta-large,sst-5,int4,sparse_p0p1,1e-08,29447108.442038585,4.850346471200833e-06,3385.677155818604,0.009644410449388092,0.026536089081150363,4.850346471200833e-06,0.0,0.9999951496535288,4.850346471200833e-06,0.0,2.4253542793952712e-05,0.0005652443642569856,25792882.531013533
roberta-large,sst-5,int4,sparse_p0p1,3e-08,3118004.925908355,5.163272049987983e-06,1138.3072353029165,0.010811914173544882,0.026536089081150363,5.163272049987983e-06,0.0,0.99999483672795,5.163272049987983e-06,0.0,2.369137706190751e-05,0.0005521427314556869,2511886.26646625
roberta-large,sst-5,int4,sparse_p0p1,1e-07,273306.04892465705,4.537420892413682e-06,313.37169960475035,0.007364947190724049,0.026536089081150363,4.537420892413682e-06,0.0,0.9999954625791075,4.537420892413682e-06,0.0,2.3398448417588972e-05,0.0005453158415972792,235913.71285785796
roberta-large,sst-5,int4,sparse_p0p1,3e-07,31299.72256710905,5.476197628775134e-06,107.88371541835379,0.011619809115290943,0.026536089081150363,5.476197628775134e-06,0.0,0.9999945238023712,5.476197628775134e-06,0.0,2.372990898543928e-05,0.0005530407426372015,32983.78629719665
roberta-large,sst-5,int4,sparse_p0p1,1e-06,7148.042819599377,1.2360560362092445e-05,67.65701202970104,0.014528790115344904,0.026536089081150363,1.2360560362092445e-05,0.0,0.9999876394396379,1.2360560362092445e-05,0.0,3.779224795580495e-05,0.0008807725679956174,10886.51358313959
roberta-large,sst-5,int4,sparse_p0p1,3e-06,1959.5455130699104,3.270072298325723e-05,41.209857119508754,0.02045575511082421,0.026536089081150363,3.270072298325723e-05,0.0,0.9999672992770168,3.270072298325723e-05,0.0,5.943701958164301e-05,0.0013852178476429684,5211.078820507254
roberta-large,sst-5,int4,sparse_p0p1,1e-05,490.57442643194804,9.966679684370744e-05,21.799790053375105,0.036758721606715956,0.026536402006729153,9.966679684370744e-05,0.0,0.9999003332031563,9.966679684370744e-05,0.0,9.921980452635328e-05,0.0023123811563391296,2703.849967982006
