global_step,training_h_source,training_h,h_additive,h_two_point,h_two_point_tilde,eps_est,nu3_est,noise_est,delta_tilde,g_tilde,l_tilde,delta_hat,g_hat,l_hat,h2,two_point_precision,additive_noise_precision
50,fixed,1e-05,0.001,0.0004035132962598564,0.00016282298025849462,nan,nan,nan,4.3949668906861916e-05,11.485190911736145,1.1668314359460742e-05,4.3949668906861916e-05,11.485190911736145,1.1668314359460742e-05,0.006629454646263289,fp16,fp16
100,fixed,1e-05,0.001,0.00024713729452440695,0.00015136265127063092,nan,nan,nan,4.5007080188952386e-05,9.419531339454592,1.3203161166353777e-05,4.447837454790715e-05,10.452361125595369,1.243573776290726e-05,0.006629454646263289,fp16,fp16
150,fixed,1e-05,0.001,0.00020740118690393158,0.00017405407149066076,nan,nan,nan,4.422982601681724e-05,18.21869886136818,3.848713906394868e-06,4.422982601681724e-05,13.041140370852972,1.1668314359460742e-05,0.006669210938927269,fp16,fp16
200,fixed,1e-05,0.001,0.00019744629752655794,0.000187969225195437,nan,nan,nan,4.4002121285302565e-05,18.781624275656863,1.0542978237650703e-05,4.422982601681724e-05,14.476261347053946,1.1105646298555722e-05,0.0066505508055210915,fp16,fp16
250,fixed,1e-05,0.001,0.00019104884127672786,0.00018485866896679,nan,nan,nan,4.5862860133638605e-05,8.553683817337959,7.0369230962132594e-06,4.422982601681724e-05,13.291745841110748,1.0542978237650703e-05,0.0066505508055210915,fp16,fp16
300,fixed,1e-05,0.001,0.00019418897611089985,0.00019738072312293638,nan,nan,nan,4.280089706298895e-05,9.628402501945796,8.943044618000093e-06,4.4002121285302565e-05,12.920388159152676,8.943044618000093e-06,0.0066505508055210915,fp16,fp16
350,fixed,1e-05,0.001,0.0001947555211776849,0.00019532371913599418,nan,nan,nan,4.554298720904626e-05,5.939676152768871,1.0883532746666664e-05,4.554298720904626e-05,12.224417121815533,8.943044618000093e-06,0.006633409476679588,fp16,fp16
400,fixed,1e-05,0.001,0.00019116199482381693,0.00018763477432653193,nan,nan,nan,4.433650246937759e-05,15.036138975683231,6.763310482785902e-06,4.433650246937759e-05,11.587905144678544,8.943044618000093e-06,0.006748554453291924,fp16,fp16
450,fixed,1e-05,0.001,0.00018128210941302232,0.00017191284922258237,nan,nan,nan,4.3722429836634547e-05,9.478894130814757,9.010219100884234e-06,4.433650246937759e-05,9.727359115710122,8.943044618000093e-06,0.006658566097094598,fp16,fp16
500,fixed,1e-05,0.001,0.00017875856838853936,0.0001762701563645015,nan,nan,nan,4.5117834815755486e-05,11.050427853913092,2.853953864550391e-06,4.433650246937759e-05,10.226707923025149,8.943044618000093e-06,0.006658566097094598,fp16,fp16
550,fixed,1e-05,0.001,0.00017830176253233639,0.00017784612401368905,nan,nan,nan,4.625340807251632e-05,10.029618556930213,9.144470997181333e-06,4.5117834815755486e-05,10.306951134022032,9.010219100884234e-06,0.006658566097094598,fp16,fp16
600,fixed,1e-05,0.001,0.0001955902941169649,0.0002145551598000766,nan,nan,nan,4.374283889774233e-05,10.705557911571505,6.186747298802666e-06,4.5117834815755486e-05,11.26012748578256,6.763310482785902e-06,0.0067169810790082985,fp16,fp16
650,fixed,1e-05,0.001,0.00021081881258632889,0.00022723301246089082,nan,nan,nan,4.524941323325038e-05,16.33471961548564,3.5151901557896878e-06,4.524941323325038e-05,11.51984361374304,6.186747298802666e-06,0.0067169810790082985,fp16,fp16
700,fixed,1e-05,0.001,0.00025577263749457994,0.00031031216468950035,nan,nan,nan,4.455965245142579e-05,13.856446328736423,1.4572420870968757e-06,4.455965245142579e-05,12.395354053327376,3.5151901557896878e-06,0.006726768409366445,fp16,fp16
750,fixed,1e-05,0.001,0.000246497083029257,0.00023755790508756013,nan,nan,nan,4.19842945120763e-05,13.000590205136545,6.425578574027909e-06,4.455965245142579e-05,12.785386523572065,6.186747298802666e-06,0.006675301674937679,fp16,fp16
800,fixed,1e-05,0.001,0.0002702445982490928,0.0002962799477596475,nan,nan,nan,4.553614053293131e-05,11.375650713275254,4.061124513433942e-06,4.455965245142579e-05,13.054592954841073,4.061124513433942e-06,0.006675301674937679,fp16,fp16
850,fixed,1e-05,0.001,0.0002806133052788947,0.0002913798374129406,nan,nan,nan,4.4567088480107486e-05,8.55380751386907,9.91199466174496e-06,4.4567088480107486e-05,12.624242875300586,4.061124513433942e-06,0.006675301674937679,fp16,fp16
900,fixed,1e-05,0.001,0.000284648861948056,0.000288742454773464,nan,nan,nan,4.506849654717371e-05,14.507627953248276,3.6532517184183955e-06,4.506849654717371e-05,12.258824542853114,4.061124513433942e-06,0.006675858632423808,fp16,fp16
950,fixed,1e-05,0.001,0.00025001705047281175,0.00021959871927586122,nan,nan,nan,4.132702815695666e-05,9.288288492939268,6.548088782469978e-06,4.4567088480107486e-05,11.345192975693683,6.425578574027909e-06,0.006713307422364457,fp16,fp16
1000,fixed,1e-05,0.001,0.00024102145779188094,0.00023234952578740425,nan,nan,nan,4.5722772483713925e-05,20.27011695305516,1.3073730925098216e-05,4.506849654717371e-05,12.799098325277406,6.548088782469978e-06,0.006675858632423808,fp16,fp16
1050,fixed,1e-05,0.001,0.00023489266182465495,0.00022891971148359037,nan,nan,nan,4.3238094804110005e-05,12.12999911078949,4.191372026929287e-06,4.3238094804110005e-05,12.949968004780255,6.548088782469978e-06,0.006713307422364457,fp16,fp16
1100,fixed,1e-05,0.001,0.0002366129880637578,0.00023834591376997892,nan,nan,nan,4.41977426817175e-05,12.47193638769068,9.876410166332509e-06,4.41977426817175e-05,13.733593779544574,6.548088782469978e-06,0.006575568021403931,fp16,fp16
1150,fixed,1e-05,0.001,0.00023942979036252997,0.00024228012579595947,nan,nan,nan,4.3226911657257006e-05,18.68554530467323,6.576755392236519e-06,4.3238094804110005e-05,14.569177249829565,6.576755392236519e-06,0.006648138286897882,fp16,fp16
1200,fixed,1e-05,0.001,0.00022333865892991644,0.00020832894894611082,nan,nan,nan,4.4458662159740925e-05,8.162056503853512,8.951889662562281e-06,4.41977426817175e-05,14.343930852012415,8.951889662562281e-06,0.006575568021403931,fp16,fp16
1250,fixed,1e-05,0.001,0.000228240938622792,0.0002332508232699657,nan,nan,nan,4.459092451725155e-05,14.214257932629947,5.23790828934369e-06,4.4458662159740925e-05,13.13275904792737,6.576755392236519e-06,0.006648138286897882,fp16,fp16
1300,fixed,1e-05,0.001,0.00023014906755908804,0.00023207314874329997,nan,nan,nan,4.284016176825389e-05,11.468605008750028,5.464776036761184e-06,4.4458662159740925e-05,13.00048022751948,6.576755392236519e-06,0.0066677329100482815,fp16,fp16
1350,fixed,1e-05,0.001,0.00024815606949447715,0.00026757195012809445,nan,nan,nan,4.4414657168090343e-05,19.34017848921046,4.28010584081119e-06,4.4414657168090343e-05,14.374128647823435,5.464776036761184e-06,0.0066677329100482815,fp16,fp16
1400,fixed,1e-05,0.001,0.00025001841082862076,0.00025189472850939133,nan,nan,nan,4.4032218283973634e-05,11.063591159872697,7.233743064239308e-06,4.4032218283973634e-05,12.849737818863328,5.464776036761184e-06,0.006664432246492596,fp16,fp16
1450,fixed,1e-05,0.001,0.00026152658326700814,0.00027356446882705174,nan,nan,nan,4.331987656769343e-05,16.545871004780402,1.533707189998886e-06,4.4032218283973634e-05,14.526500719048707,5.23790828934369e-06,0.0066356776808381545,fp16,fp16
1500,fixed,1e-05,0.001,0.0002768263188006903,0.00029302111404293647,nan,nan,nan,4.2654439312173054e-05,10.795035591276859,2.026795854893415e-06,4.331987656769343e-05,13.842656250778088,4.28010584081119e-06,0.0066356776808381545,fp16,fp16
1550,fixed,1e-05,0.001,0.000279612609708902,0.0002824269449774145,nan,nan,nan,4.4714670366374776e-05,6.5542713772202505,7.4745839964652374e-06,4.331987656769343e-05,12.859789524472134,4.28010584081119e-06,0.006581783691955656,fp16,fp16
1600,fixed,1e-05,0.001,0.0002598918128556627,0.00024156190402042688,nan,nan,nan,4.410689871292561e-05,12.011841480749759,5.278082790016449e-06,4.410689871292561e-05,11.394122122779994,5.278082790016449e-06,0.006581783691955656,fp16,fp16
1650,fixed,1e-05,0.001,0.00025183578515560216,0.00024402947514226304,nan,nan,nan,4.367623114376329e-05,12.233453156663417,7.819098776810503e-06,4.410689871292561e-05,11.628094522138138,5.278082790016449e-06,0.006641302486178868,fp16,fp16
1700,fixed,1e-05,0.001,0.00023248138626490755,0.00021461443585651932,nan,nan,nan,4.3699816160369664e-05,9.16958551642102,5.9033002674381355e-06,4.3699816160369664e-05,10.152837424466261,5.9033002674381355e-06,0.006641302486178868,fp16,fp16
1750,fixed,1e-05,0.001,0.00020593347316489168,0.00018241716487973574,nan,nan,nan,4.625198198482394e-05,6.467738906396278,8.96326512311089e-06,4.3699816160369664e-05,9.287378087490143,7.4745839964652374e-06,0.006610583647483002,fp16,fp16
1800,fixed,1e-05,0.001,0.00021046422358439172,0.00021509465522156053,nan,nan,nan,4.33316599810496e-05,11.109001221918417,5.19305977906242e-06,4.3699816160369664e-05,10.198324056429778,5.9033002674381355e-06,0.006610583647483002,fp16,fp16
1850,fixed,1e-05,0.001,0.00019416846203732468,0.00017913444388719375,nan,nan,nan,4.291643563192338e-05,8.115475527895038,7.794710023094893e-06,4.33316599810496e-05,9.419050865858834,7.794710023094893e-06,0.006610583647483002,fp16,fp16
1900,fixed,1e-05,0.001,0.00019132984826336432,0.00018853273313482313,nan,nan,nan,4.384194835438393e-05,6.919068748036851,6.242879720508682e-06,4.33316599810496e-05,8.356173984133521,6.242879720508682e-06,0.006582678784586834,fp16,fp16
1950,fixed,1e-05,0.001,0.0001940326513920695,0.00019677363541528164,nan,nan,nan,4.315559635870159e-05,13.087639549295055,2.1442984508115398e-06,4.315559635870159e-05,9.139784790708328,6.242879720508682e-06,0.006582678784586834,fp16,fp16
