h,n_batches,n_directions,fd_true_available,weight_recon_mse_mean,plus_recon_mse_mean,minus_recon_mse_mean,delta_visibility_nmse_mean,delta_visibility_nmse_median,delta_visibility_rel_l2_mean,alignment_mean,norm_ratio_mean,active_frac_mean,code_change_frac_mean,clip_frac_mean,saturation_frac_mean,richardson_rmse_rel,richardson_relerr_median,fd_true_mse,fd_true_nmse,fd_true_rmse,corr_fd_true,fd_true_bias
1e-05,3,48,True,7.278138288203742e-08,7.278098942399466e-08,7.278120950518053e-08,33.99896515641101,33.99753931094892,5.830863077779269,0.16819323322501267,5.915127474055208,0.020942297103482384,0.020942297103482384,0.008017086529565919,0.008017086529565919,0.7540739028638984,1.0,8719.468482195416,18.152915362541084,93.37809423090309,0.18932963924599627,-17.05626745732208
3e-05,3,48,True,7.278138288203742e-08,7.278708628714955e-08,7.278719748242913e-08,10.589895540297968,10.589724833578329,3.254211955776714,0.2915915692361752,3.402045087128496,0.06248781177692245,0.06248781177692245,0.008016275461523541,0.008016275461523541,0.7005289007176939,0.5,3779.0640556688536,16.543768060501403,61.474092556692966,0.34778498843497846,5.530187755301264
0.0001,3,48,True,7.278138288203742e-08,7.285772199241127e-08,7.285864193390363e-08,2.4931790569532,2.4932113563812477,1.5789803834982228,0.5321325258331466,1.8649281123837274,0.20716810927810217,0.20716810927810217,0.00799405627177206,0.00799405627177206,0.7031101827925249,0.5208333333333333,865.4748274548169,2.5336192422767785,29.41895354112408,0.6221396810027171,1.474882187069993
0.0003,3,48,True,7.278138288203742e-08,7.333903457362466e-08,7.333812488395896e-08,0.3998916434409456,0.3998966367274109,0.6323698623304365,0.8439962739293776,1.1789908309235035,0.5198217487272035,0.5198217487272035,0.007272890305260492,0.007272890305260492,0.5862912884820137,0.75,127.19267842643507,0.25694521161467493,11.277973152407975,0.9032791046462031,1.8375849744856527
0.001,3,48,True,7.278138288203742e-08,7.712643554066142e-08,7.712720422180647e-08,0.03855194793147292,0.03855191566146756,0.19634649942766513,0.9811201396207708,1.0150122656275018,0.8279214080370224,0.8279214080370224,0.0055831726550251105,0.0055831726550251105,0.5460353064958556,0.5227272727272727,14.916885651402405,0.0640383636430435,3.862238424981348,0.9685803178599124,-0.6028230662057387
0.0015,3,48,True,7.278138288203742e-08,8.24065878383114e-08,8.240996303738654e-08,0.018314210470684173,0.018314102551936894,0.1353300055561625,0.9908988965400417,1.0048571766591958,0.8838019507269287,0.8838019507269287,0.005302809131270097,0.005302809131270097,0.3115075167873578,0.3477011494252873,6.52644552333603,0.018406980373331633,2.5546908860635233,0.991070451685224,0.12281458218383307
0.002,3,48,True,7.278138288203742e-08,9.003839641738607e-08,9.004617565593753e-08,0.011256402933244826,0.011256564932578858,0.10609619626944088,0.9943792421233278,1.001196871535674,0.9124408953473817,0.9124408953473817,0.005228918088725648,0.005228918088725648,0.2928904141908039,0.156794425087108,6.734152330033429,0.02642126415484152,2.595024533609158,0.9846273389973168,-0.03408082919957459
0.003,3,48,True,7.278138288203742e-08,1.1299522819903769e-07,1.1299352101456577e-07,0.006278039811775726,0.006278031515326719,0.07923408128964322,0.9968572335927398,0.9984012422279916,0.9414289122658027,0.9414289122658027,0.005318260831533572,0.005318260831533572,0.28336319089745127,0.2704178537511871,16.960035501369003,0.06333733619129367,4.118256366639771,0.9744932132615267,0.3234451299059787
0.004,3,48,True,7.278138288203742e-08,1.474071446297986e-07,1.4739195445798758e-07,0.004606497299046105,0.004606401985229716,0.06787118036158647,0.9976942060553314,0.9972187180302269,0.9560181421662718,0.9560181421662718,0.005554859050845885,0.005554859050845885,0.3176420324563928,0.2865283793024846,34.01085142788154,0.17240003558306569,5.831882322876684,0.9142740305235337,-0.33224998672353223
0.005,3,48,True,7.278138288203742e-08,1.9490918974244475e-07,1.948191880278522e-07,0.0038973771670982493,0.003897521993949477,0.062428975736436326,0.9980506448651171,0.9964800161352687,0.9647964847696787,0.9647964847696787,0.005877731909612046,0.005877731909612046,0.29588739125687485,0.26238454165214364,69.6161074883063,0.1542996353397276,8.343626758688712,0.9300371940393972,-1.5083947353093166
0.01,3,48,True,7.278138288203742e-08,7.081849480538101e-07,7.080964888010591e-07,0.0035410324034593544,0.0035411245723105077,0.05950657233258052,0.9982388203319634,0.9935724712549888,0.9823864138607358,0.9823864138607358,0.008512010745995285,0.008512010745995285,0.8736966990500704,0.8426995798319328,209.65882249409785,0.7802650417920037,14.479600218724888,0.501629734167058,2.0435504613401756
