h,best_eval_acc,last_eval_acc,active_frac,alignment,norm_ratio,delta_visibility_nmse,richardson_rmse_rel,fd_true_nmse,corr_fd_true
1e-05,0.3395784543325527,0.24824355971896955,0.020942297103482384,0.16819323322501267,5.915127474055208,33.99896515641101,0.7540739028638984,18.152915362541084,0.18932963924599627
3e-05,0.4672131147540984,0.4613583138173302,0.06248781177692245,0.2915915692361752,3.402045087128496,10.589895540297968,0.7005289007176939,16.543768060501403,0.34778498843497846
0.0001,0.45784543325526933,0.45784543325526933,0.20716810927810217,0.5321325258331466,1.8649281123837274,2.4931790569532,0.7031101827925249,2.5336192422767785,0.6221396810027171
0.0003,0.4648711943793911,0.4648711943793911,0.5198217487272035,0.8439962739293776,1.1789908309235035,0.3998916434409456,0.5862912884820137,0.25694521161467493,0.9032791046462031
0.001,0.4765807962529274,0.4765807962529274,0.8279214080370224,0.9811201396207708,1.0150122656275018,0.03855194793147292,0.5460353064958556,0.0640383636430435,0.9685803178599124
0.0015,0.45784543325526933,0.45784543325526933,0.8838019507269287,0.9908988965400417,1.0048571766591958,0.018314210470684173,0.3115075167873578,0.018406980373331633,0.991070451685224
0.002,0.4613583138173302,0.4613583138173302,0.9124408953473817,0.9943792421233278,1.001196871535674,0.011256402933244826,0.2928904141908039,0.02642126415484152,0.9846273389973168
0.003,0.36533957845433257,0.3594847775175644,0.9414289122658027,0.9968572335927398,0.9984012422279916,0.006278039811775726,0.28336319089745127,0.06333733619129367,0.9744932132615267
0.004,0.34894613583138173,0.34894613583138173,0.9560181421662718,0.9976942060553314,0.9972187180302269,0.004606497299046105,0.3176420324563928,0.17240003558306569,0.9142740305235337
0.005,0.27634660421545665,0.275175644028103,0.9647964847696787,0.9980506448651171,0.9964800161352687,0.0038973771670982493,0.29588739125687485,0.1542996353397276,0.9300371940393972
0.01,0.2716627634660422,0.27049180327868855,0.9823864138607358,0.9982388203319634,0.9935724712549888,0.0035410324034593544,0.8736966990500704,0.7802650417920037,0.501629734167058
