global_step,eps,precision,zo_quantization_bits,fd_mean,td_mean,td_u2_mean_debug,mae,mse,rmse,sign_acc,corr,mae_u2_debug,mse_u2_debug,rmse_u2_debug,sign_acc_u2_debug,corr_u2_debug,probe_num_seeds
200,1e-05,fp16,16,-3.0517578125,1.1673321798443794,,35.15601344406605,1810.043862873589,42.54461026820658,0.375,0.2822346223062871,,,,,,16
400,1e-05,fp16,16,-18.310546875,-0.1186236385256052,,22.14957601763308,1908.7450437066877,43.68918680528041,0.0,-0.2782306968554502,,,,,,16
600,1e-05,fp16,16,-9.1552734375,-0.1687142215669155,,27.57685150578618,1217.7353815872075,34.896065416995185,0.5,0.4548526975694041,,,,,,16
800,1e-05,fp16,16,0.0,-0.6927499314770103,,15.530768149532378,1168.479362883152,34.183027409566165,0.0625,0.14220496800333068,,,,,,16
1000,1e-05,fp16,16,-3.0517578125,0.6822681240737438,,21.583371687680483,965.7831746056648,31.077052218729897,0.3125,0.4735965375294755,,,,,,16
1200,1e-05,fp16,16,-27.4658203125,0.670188969001174,,40.27685100398958,2266.3310598080493,47.605998149477436,0.375,0.06926652313840655,,,,,,16
1400,1e-05,fp16,16,-21.3623046875,-1.3041895516216755,,34.973937299102545,1901.3864408780119,43.60489010280856,0.4375,-0.0066310039537474585,,,,,,16
1600,1e-05,fp16,16,3.0517578125,-0.09666310995817184,,28.061369355767965,1850.8186405849228,43.02114178616048,0.3125,0.26171790854024546,,,,,,16
1800,1e-05,fp16,16,-12.20703125,0.9476767256855965,,20.72158869355917,864.44775729649,29.401492433148526,0.25,0.281202582406404,,,,,,16
2000,1e-05,fp16,16,24.4140625,-1.1758516253903508,,39.805432074703276,3753.7379890170023,61.267756520187696,0.125,-0.2025378431158521,,,,,,16
2200,1e-05,fp16,16,-12.20703125,0.169964499771595,,39.261821664869785,3350.840314534639,57.88644327072306,0.3125,0.33388700527280635,,,,,,16
2400,1e-05,fp16,16,0.0,-0.5787169300019741,,15.900098416954279,1160.0027913737172,34.05881371060532,0.0625,0.16501287140032372,,,,,,16
2600,1e-05,fp16,16,0.0,0.8864306996110827,,21.825008168118075,999.6552260173543,31.617324776415767,0.125,-0.26685158516605023,,,,,,16
2800,1e-05,fp16,16,-9.1552734375,-2.1507523115724325,,23.31429641135037,1009.3258027727145,31.769888302805136,0.1875,0.08409434811635541,,,,,,16
3000,1e-05,fp16,16,-9.1552734375,0.7345443461090326,,37.262933706864715,3110.1182937557405,55.76843456432806,0.0,-0.6037304031769627,,,,,,16
3200,1e-05,fp16,16,-24.4140625,0.15520477015525103,,38.22505703289062,4471.358981660039,66.86822101461978,0.1875,0.46473876108379464,,,,,,16
3400,1e-05,fp16,16,9.1552734375,-0.45042821019887924,,34.46702670305967,1626.1363766058862,40.32538129523249,0.375,0.11741666019256548,,,,,,16
3600,1e-05,fp16,16,-9.1552734375,-0.5482396483421326,,28.08978909999132,1630.287560608791,40.37681959502,0.3125,0.03918034981044371,,,,,,16
3800,1e-05,fp16,16,12.20703125,-0.4894219720736146,,39.02476541046053,1944.056005877812,44.0914504850749,0.3125,-0.2522800375317718,,,,,,16
4000,1e-05,fp16,16,3.0517578125,-2.166021135635674,,29.625766682438552,1613.3259246440607,40.166228658464576,0.1875,0.17666060666064284,,,,,,16
4200,1e-05,fp16,16,0.0,0.7446685563772917,,24.89171922393143,1383.1493229794676,37.190715548097046,0.3125,0.42141786593708885,,,,,,16
4400,1e-05,fp16,16,3.0517578125,-0.10836640349589288,,21.691156204557046,936.6334530906954,30.60446786158347,0.4375,0.5212114088599366,,,,,,16
4600,1e-05,fp16,16,0.0,0.09813053347170353,,19.348867809399962,1049.2426915735837,32.39201586152958,0.25,0.5338391888734041,,,,,,16
4800,1e-05,fp16,16,0.0,1.0187666192650795,,20.437012188136578,814.6646566457235,28.542330960272384,0.3125,0.3341617571355463,,,,,,16
