h2,lambda_q50,lambda_q90,lambda_q95,median_abs_K,MAD_K,SNR2,finite_rate,stability_q90_next,stability_q90_prev,low_h2_noise_suspected
1e-05,1.4611510654891017e-05,2.3671903992194775e-05,2.498741800956893e-05,4768.371582031249,2384.185791015625,1.3489815189531897,1.0,0.14683994994240293,nan,False
3e-05,1.2989095662212046e-05,2.0195922648099576e-05,2.0974814886192337e-05,3841.188218858507,2914.0048556857637,0.8891014556736936,1.0,,,
0.0001,2.0588711680186232e-05,3.525070152317909e-05,3.805110770470559e-05,7748.603820800781,1299.3812561035156,4.022192602383364,1.0,,,
0.0003,2.385045218964317e-05,3.7310249960163265e-05,4.009551378533785e-05,9540.716807047527,376.1715359157988,17.106890635598255,1.0,,,
0.001,1.1694645981869118e-05,2.305503195324289e-05,2.5084631652908512e-05,3999.7100830078125,1541.733741760254,1.7498271060046944,1.0,,,
0.0015,7.464314240457453e-06,2.066121958770767e-05,2.3429404997760313e-05,2931.170993381076,1229.2861938476565,1.6082892327076599,1.0,,,
0.002,8.170527378785976e-06,1.6211029544016e-05,1.73489495958764e-05,2219.080924987793,952.8100490570068,1.5708792953184838,1.0,,,
0.003,1.1114488937932e-05,1.1855660987500156e-05,1.19914194357168e-05,4490.269554985894,87.48637305365719,34.61848076087821,1.0,,,
0.004,2.562531177326288e-05,4.9097420736542795e-05,5.2580137746772554e-05,7507.674396038055,5891.4050459861755,0.8595329918347253,1.0,,,
0.005,1.7078605352573347e-05,3.7260963001670423e-05,4.1123229245315384e-05,6085.86311340332,1761.932373046875,2.3297480063502944,1.0,,,
0.01,2.5363661259041126e-06,2.867206885568346e-06,2.8965012196839228e-06,955.3849697113037,79.50544357299805,8.105084442695302,1.0,,,
