model,task,precision,perturbation_mode,h_policy,h_value,seed,accuracy,loss,steps,source_path
roberta-large,sst-5,int8,dense,1e-2,0.01,16.0,0.2716627634660422,1.5978689439402811,20000.0,/scratch/jy03364/MeZO_/outputs/rtnclip_lowbit_roberta_sst5_seed16_20260519_batch/int8_hsearch_summary.csv
roberta-large,sst-5,int8,dense,1e-3,0.001,16.0,0.4765807962529274,1.2940505159543323,20000.0,/scratch/jy03364/MeZO_/outputs/rtnclip_lowbit_roberta_sst5_seed16_20260519_batch/int8_hsearch_summary.csv
roberta-large,sst-5,int8,dense,1e-4,0.0001,16.0,0.4578454332552693,1.2812751573477752,20000.0,/scratch/jy03364/MeZO_/outputs/rtnclip_lowbit_roberta_sst5_seed16_20260519_batch/int8_hsearch_summary.csv
roberta-large,sst-5,int8,dense,1e-5,1e-05,16.0,0.3395784543325527,1.550593713407494,20000.0,/scratch/jy03364/MeZO_/outputs/rtnclip_lowbit_roberta_sst5_seed16_20260519_batch/int8_hsearch_summary.csv
roberta-large,sst-5,int8,dense,1p5e-3,0.0015,16.0,0.4578454332552693,1.3665013905152226,20000.0,/scratch/jy03364/MeZO_/outputs/rtnclip_lowbit_roberta_sst5_seed16_20260519_batch/int8_hsearch_summary.csv
roberta-large,sst-5,int8,dense,2e-3,0.002,16.0,0.4613583138173302,1.4025816012880563,20000.0,/scratch/jy03364/MeZO_/outputs/rtnclip_lowbit_roberta_sst5_seed16_20260519_batch/int8_hsearch_summary.csv
roberta-large,sst-5,int8,dense,3e-3,0.003,16.0,0.3653395784543325,1.4986163458723654,20000.0,/scratch/jy03364/MeZO_/outputs/rtnclip_lowbit_roberta_sst5_seed16_20260519_batch/int8_hsearch_summary.csv
roberta-large,sst-5,int8,dense,3e-4,0.0003,16.0,0.4648711943793911,1.3259820513758782,20000.0,/scratch/jy03364/MeZO_/outputs/rtnclip_lowbit_roberta_sst5_seed16_20260519_batch/int8_hsearch_summary.csv
roberta-large,sst-5,int8,dense,3e-5,3e-05,16.0,0.4672131147540984,1.347736296106557,20000.0,/scratch/jy03364/MeZO_/outputs/rtnclip_lowbit_roberta_sst5_seed16_20260519_batch/int8_hsearch_summary.csv
roberta-large,sst-5,int8,dense,4e-3,0.004,16.0,0.3489461358313817,1.525665068793911,20000.0,/scratch/jy03364/MeZO_/outputs/rtnclip_lowbit_roberta_sst5_seed16_20260519_batch/int8_hsearch_summary.csv
roberta-large,sst-5,int8,dense,5e-3,0.005,16.0,0.2763466042154566,1.5791884697014051,20000.0,/scratch/jy03364/MeZO_/outputs/rtnclip_lowbit_roberta_sst5_seed16_20260519_batch/int8_hsearch_summary.csv
roberta-large,sst-5,int4,dense,1e-5,1e-05,16.0,0.2599531615925058,3.076780225409836,5485.0,/scratch/jy03364/MeZO_/outputs/rtnclip_int4_g128_rtnclip_roberta_sst5_seed16_20260521/int4_hsearch_summary.csv
roberta-large,sst-5,int4,dense,1e-3,0.001,16.0,0.4789227166276346,1.355313231850117,20000.0,/scratch/jy03364/MeZO_/outputs/rtnclip_int4_g128_rtnclip_roberta_sst5_seed16_20260521/int4_hsearch_summary.csv
roberta-large,sst-5,int4,dense,3e-5,3e-05,16.0,0.2833723653395784,1.5931073441159251,20000.0,/scratch/jy03364/MeZO_/outputs/rtnclip_int4_g128_rtnclip_roberta_sst5_seed16_20260521/int4_hsearch_summary.csv
roberta-large,sst-5,int4,dense,1p5e-3,0.0015,16.0,0.4168618266978923,1.5062070038056206,20000.0,/scratch/jy03364/MeZO_/outputs/rtnclip_int4_g128_rtnclip_roberta_sst5_seed16_20260521/int4_hsearch_summary.csv
roberta-large,sst-5,int4,dense,1e-4,0.0001,16.0,0.3231850117096019,1.5468292593676816,20000.0,/scratch/jy03364/MeZO_/outputs/rtnclip_int4_g128_rtnclip_roberta_sst5_seed16_20260521/int4_hsearch_summary.csv
roberta-large,sst-5,int4,dense,2e-3,0.002,16.0,0.455503512880562,1.4521896040690867,20000.0,/scratch/jy03364/MeZO_/outputs/rtnclip_int4_g128_rtnclip_roberta_sst5_seed16_20260521/int4_hsearch_summary.csv
roberta-large,sst-5,int4,dense,3e-4,0.0003,16.0,0.4578454332552693,1.363192055766979,20000.0,/scratch/jy03364/MeZO_/outputs/rtnclip_int4_g128_rtnclip_roberta_sst5_seed16_20260521/int4_hsearch_summary.csv
roberta-large,sst-5,int4,dense,3e-3,0.003,16.0,0.3430913348946136,1.5639591261709602,20000.0,/scratch/jy03364/MeZO_/outputs/rtnclip_int4_g128_rtnclip_roberta_sst5_seed16_20260521/int4_hsearch_summary.csv
roberta-large,sst-5,int4,dense,4e-3,0.004,16.0,0.3149882903981265,1.5574159287177989,20000.0,/scratch/jy03364/MeZO_/outputs/rtnclip_int4_g128_rtnclip_roberta_sst5_seed16_20260521/int4_hsearch_summary.csv
roberta-large,sst-5,int4,dense,5e-3,0.005,16.0,0.2704918032786885,1.6029507281908666,20000.0,/scratch/jy03364/MeZO_/outputs/rtnclip_int4_g128_rtnclip_roberta_sst5_seed16_20260521/int4_hsearch_summary.csv
roberta-large,sst-5,int4,dense,1e-2,0.01,16.0,0.2576112412177986,1.610170887002342,20000.0,/scratch/jy03364/MeZO_/outputs/rtnclip_int4_g128_rtnclip_roberta_sst5_seed16_20260521/int4_hsearch_summary.csv
facebook/opt-1.3b,sst-5,int8,dense,bad-large,0.01,,0.34375,1.5662841796875,500.0,/scratch/jy03364/MeZO_/outputs/quantizer_robustness_int8_window/h_acc_results.csv
facebook/opt-1.3b,sst-5,int8,dense,default,0.001,,0.375,1.5792236328125,500.0,/scratch/jy03364/MeZO_/outputs/quantizer_robustness_int8_window/h_acc_results.csv
facebook/opt-1.3b,sst-5,int8,dense,bad-small,1e-05,,0.34375,1.688720703125,500.0,/scratch/jy03364/MeZO_/outputs/quantizer_robustness_int8_window/h_acc_results.csv
facebook/opt-1.3b,sst-5,int8,dense,selected_h,0.005,,0.34375,1.5833740234375,500.0,/scratch/jy03364/MeZO_/outputs/quantizer_robustness_int8_window/h_acc_results.csv
facebook/opt-1.3b,sst-5,int8,dense,bad-large,0.01,,0.25,1.722412109375,500.0,/scratch/jy03364/MeZO_/outputs/quantizer_robustness_int8_window/h_acc_results.csv
facebook/opt-1.3b,sst-5,int8,dense,default,0.001,,0.25,1.7506103515625,500.0,/scratch/jy03364/MeZO_/outputs/quantizer_robustness_int8_window/h_acc_results.csv
facebook/opt-1.3b,sst-5,int8,dense,bad-small,1e-05,,0.1875,1.8277587890625,500.0,/scratch/jy03364/MeZO_/outputs/quantizer_robustness_int8_window/h_acc_results.csv
facebook/opt-1.3b,sst-5,int8,dense,selected_h,0.005,,0.25,1.7413330078125,500.0,/scratch/jy03364/MeZO_/outputs/quantizer_robustness_int8_window/h_acc_results.csv
roberta-large,sst-5,int8,dense,bad-large,0.01,,0.259765625,1.583251953125,1000.0,/scratch/jy03364/MeZO_/outputs/quantizer_robustness_int8_window/h_acc_results.csv
roberta-large,sst-5,int8,dense,default,0.001,,0.283203125,1.564453125,1000.0,/scratch/jy03364/MeZO_/outputs/quantizer_robustness_int8_window/h_acc_results.csv
roberta-large,sst-5,int8,dense,bad-small,1e-05,,0.3046875,1.566162109375,1000.0,/scratch/jy03364/MeZO_/outputs/quantizer_robustness_int8_window/h_acc_results.csv
