model,task,precision,perturbation_mode,h,nMSE_loss,corr_loss,normalized_curve,source_path
roberta-large,sst-5,int8,dense,1e-05,18.152915362541084,0.1893296392459962,,/scratch/jy03364/MeZO_/outputs/rtnclip_int8_mse_reprobe/int8_mse_probe_summary.csv
roberta-large,sst-5,int8,dense,3e-05,16.543768060501403,0.3477849884349784,,/scratch/jy03364/MeZO_/outputs/rtnclip_int8_mse_reprobe/int8_mse_probe_summary.csv
roberta-large,sst-5,int8,dense,0.0001,2.5336192422767785,0.6221396810027171,,/scratch/jy03364/MeZO_/outputs/rtnclip_int8_mse_reprobe/int8_mse_probe_summary.csv
roberta-large,sst-5,int8,dense,0.0003,0.2569452116146749,0.9032791046462032,,/scratch/jy03364/MeZO_/outputs/rtnclip_int8_mse_reprobe/int8_mse_probe_summary.csv
roberta-large,sst-5,int8,dense,0.001,0.0640383636430435,0.9685803178599124,,/scratch/jy03364/MeZO_/outputs/rtnclip_int8_mse_reprobe/int8_mse_probe_summary.csv
roberta-large,sst-5,int8,dense,0.0015,0.0184069803733316,0.991070451685224,,/scratch/jy03364/MeZO_/outputs/rtnclip_int8_mse_reprobe/int8_mse_probe_summary.csv
roberta-large,sst-5,int8,dense,0.002,0.0264212641548415,0.9846273389973168,,/scratch/jy03364/MeZO_/outputs/rtnclip_int8_mse_reprobe/int8_mse_probe_summary.csv
roberta-large,sst-5,int8,dense,0.003,0.0633373361912936,0.9744932132615268,,/scratch/jy03364/MeZO_/outputs/rtnclip_int8_mse_reprobe/int8_mse_probe_summary.csv
roberta-large,sst-5,int8,dense,0.004,0.1724000355830656,0.9142740305235336,,/scratch/jy03364/MeZO_/outputs/rtnclip_int8_mse_reprobe/int8_mse_probe_summary.csv
roberta-large,sst-5,int8,dense,0.005,0.1542996353397276,0.9300371940393972,,/scratch/jy03364/MeZO_/outputs/rtnclip_int8_mse_reprobe/int8_mse_probe_summary.csv
roberta-large,sst-5,int8,dense,0.01,0.7802650417920037,0.501629734167058,,/scratch/jy03364/MeZO_/outputs/rtnclip_int8_mse_reprobe/int8_mse_probe_summary.csv
roberta-large,sst-5,int8,dense,1e-05,19.202016544974025,0.2592423777215794,,/scratch/jy03364/MeZO_/outputs/rtnclip_int8_mse_reprobe/final_checkpoint_mse/final_checkpoint_mse_summary.csv
roberta-large,sst-5,int8,dense,3e-05,8.500613795059513,0.2032201024135893,,/scratch/jy03364/MeZO_/outputs/rtnclip_int8_mse_reprobe/final_checkpoint_mse/final_checkpoint_mse_summary.csv
roberta-large,sst-5,int8,dense,0.0001,2.46448613041656,0.3914157296246289,,/scratch/jy03364/MeZO_/outputs/rtnclip_int8_mse_reprobe/final_checkpoint_mse/final_checkpoint_mse_summary.csv
roberta-large,sst-5,int8,dense,0.0003,0.3682914010309363,0.8697254845913671,,/scratch/jy03364/MeZO_/outputs/rtnclip_int8_mse_reprobe/final_checkpoint_mse/final_checkpoint_mse_summary.csv
roberta-large,sst-5,int8,dense,0.001,0.0703117243363364,0.962616237924466,,/scratch/jy03364/MeZO_/outputs/rtnclip_int8_mse_reprobe/final_checkpoint_mse/final_checkpoint_mse_summary.csv
roberta-large,sst-5,int8,dense,0.0015,0.0439265945047522,0.9795321114087242,,/scratch/jy03364/MeZO_/outputs/rtnclip_int8_mse_reprobe/final_checkpoint_mse/final_checkpoint_mse_summary.csv
roberta-large,sst-5,int8,dense,0.002,0.0471957966853454,0.976980489411132,,/scratch/jy03364/MeZO_/outputs/rtnclip_int8_mse_reprobe/final_checkpoint_mse/final_checkpoint_mse_summary.csv
roberta-large,sst-5,int8,dense,0.003,0.1027349221881664,0.95069129940935,,/scratch/jy03364/MeZO_/outputs/rtnclip_int8_mse_reprobe/final_checkpoint_mse/final_checkpoint_mse_summary.csv
roberta-large,sst-5,int8,dense,0.004,0.1343685516541705,0.9315921042624492,,/scratch/jy03364/MeZO_/outputs/rtnclip_int8_mse_reprobe/final_checkpoint_mse/final_checkpoint_mse_summary.csv
roberta-large,sst-5,int8,dense,0.005,0.5569638394930074,0.6738123393211353,,/scratch/jy03364/MeZO_/outputs/rtnclip_int8_mse_reprobe/final_checkpoint_mse/final_checkpoint_mse_summary.csv
roberta-large,sst-5,int8,dense,0.01,0.9584742072595624,0.3318822384020425,,/scratch/jy03364/MeZO_/outputs/rtnclip_int8_mse_reprobe/final_checkpoint_mse/final_checkpoint_mse_summary.csv
roberta-large,sst-5,int4,dense,1e-05,520.6148408606313,-0.3174248255279775,,/scratch/jy03364/MeZO_/outputs/rtnclip_int4_mse_reprobe_20260521_true_nmse_d16/int4_mse_probe_summary.csv
roberta-large,sst-5,int4,dense,3e-05,131.6099831233774,0.0437620853215876,,/scratch/jy03364/MeZO_/outputs/rtnclip_int4_mse_reprobe_20260521_true_nmse_d16/int4_mse_probe_summary.csv
roberta-large,sst-5,int4,dense,0.0001,152.00736243338048,-0.1904546729816665,,/scratch/jy03364/MeZO_/outputs/rtnclip_int4_mse_reprobe_20260521_true_nmse_d16/int4_mse_probe_summary.csv
roberta-large,sst-5,int4,dense,0.0003,7.878052618273031,0.1990490637486484,,/scratch/jy03364/MeZO_/outputs/rtnclip_int4_mse_reprobe_20260521_true_nmse_d16/int4_mse_probe_summary.csv
roberta-large,sst-5,int4,dense,0.001,5.71634754735968,0.3975037669969221,,/scratch/jy03364/MeZO_/outputs/rtnclip_int4_mse_reprobe_20260521_true_nmse_d16/int4_mse_probe_summary.csv
roberta-large,sst-5,int4,dense,0.0015,1.854662029725723,0.364601671925615,,/scratch/jy03364/MeZO_/outputs/rtnclip_int4_mse_reprobe_20260521_true_nmse_d16/int4_mse_probe_summary.csv
roberta-large,sst-5,int4,dense,0.002,0.5421256760967027,0.8274394211254475,,/scratch/jy03364/MeZO_/outputs/rtnclip_int4_mse_reprobe_20260521_true_nmse_d16/int4_mse_probe_summary.csv
