model,task,precision,perturbation_mode,candidate_name,h_value,A_uniform,p_active_norm,V_norm,V_align,p_clip_delta,relative_disp,locality_proxy,nMSE_loss,corr_loss,score_geom,reason
facebook/opt-1.3b,sst-5,int8,dense,default,0.001,0.0137913275313396,0.9024019693709024,1.0024689885320908,0.993124338759812,0.0009618512586958006,0.0488612668499959,2704.950101241481,,,0.44925136430025575,baseline
facebook/opt-1.3b,sst-5,int8,dense,h_default_aware,0.001,0.0137913275313396,0.9024019693709024,1.0024689885320908,0.993124338759812,0.0009618512586958006,0.0488612668499959,2704.950101241481,,,0.44925136430025575,default-aware safe selector
facebook/opt-1.3b,sst-5,int8,dense,h_score_best,0.001,0.0137913275313396,0.9024019693709024,1.0024689885320908,0.993124338759812,0.0009618512586958006,0.0488612668499959,2704.950101241481,,,0.44925136430025575,Pareto-knee score selector
facebook/opt-1.3b,sst-5,int8,dense,h_pareto_best,0.0003,,0.6867000092234876,1.0609049623073743,0.9387133408091738,0.0,,,,,,Pareto frontier ideal-point selector
facebook/opt-1.3b,sst-5,int8,dense,h_pareto_best_neighbor,0.0001,1.0320883601398532,0.3595947400030028,1.4198140872761271,0.6986054987430188,7.272533907210117e-05,0.0094259748293272,374.6323923864944,,,0.874213990697254,neighbor of h_pareto_best
facebook/opt-1.3b,sst-5,int8,dense,h_geom,0.001,0.0137913275313396,0.9024019693709024,1.0024689885320908,0.993124338759812,0.0009618512586958006,0.0488612668499959,2704.950101241481,,,0.44925136430025575,geometry window midpoint
facebook/opt-1.3b,sst-5,int8,sparse_p0p1,default,0.001,0.0138153908754479,0.9016909814323599,1.0028378047083228,0.9931147873770824,9.462114008310096e-05,0.0154701620431324,27.189227926796992,,,0.4476672317225304,baseline
facebook/opt-1.3b,sst-5,int8,sparse_p0p1,h_default_aware,0.001,0.0138153908754479,0.9016909814323599,1.0028378047083228,0.9931147873770824,9.462114008310096e-05,0.0154701620431324,27.189227926796992,,,0.4476672317225304,default-aware safe selector
facebook/opt-1.3b,sst-5,int8,sparse_p0p1,h_score_best,0.001,0.0138153908754479,0.9016909814323599,1.0028378047083228,0.9931147873770824,9.462114008310096e-05,0.0154701620431324,27.189227926796992,,,0.4476672317225304,Pareto-knee score selector
facebook/opt-1.3b,sst-5,int8,sparse_p0p1,h_pareto_best,0.0003,0.1311655158995081,0.697773822631499,1.060414780819343,0.9398702649563117,2.4867374005300286e-05,0.0055482909555195,4.9978165035318405,,,0.5212810332635865,Pareto frontier ideal-point selector
facebook/opt-1.3b,sst-5,int8,sparse_p0p1,h_pareto_best_neighbor,0.0001,1.025992814224389,0.359615071818227,1.419207031012312,0.7004288250335936,5.630348831400789e-06,0.0029788322246622,3.73832776366932,,,0.8658654203187757,neighbor of h_pareto_best
facebook/opt-1.3b,sst-5,int8,sparse_p0p1,h_geom,0.001,0.0138153908754479,0.9016909814323599,1.0028378047083228,0.9931147873770824,9.462114008310096e-05,0.0154701620431324,27.189227926796992,,,0.4476672317225304,geometry window midpoint
roberta-large,sst-5,int4,dense,default,0.001,1.6853983786267572,0.2101890085630832,1.5921511038517204,0.5808326718661048,0.001971489721139901,,,5.71634754735968,0.3975037669969221,,baseline
roberta-large,sst-5,int4,dense,h_loss_cons,0.002,0.5148288770947979,0.416768057364265,1.2025323771684056,0.8029951122294233,0.0025006631361295002,,,0.5421256760967027,0.8274394211254475,,loss nMSE conservative selector
roberta-large,sst-5,int4,dense,h_loss_cons_neighbor,0.0015,0.8725815816651895,0.3195746919565876,1.3314850619623368,0.713590765482964,0.002188005937666399,,,1.854662029725723,0.364601671925615,,neighbor of h_loss_cons
roberta-large,sst-5,int4,dense,h_loss_cons_neighbor,0.003,0.2398298023550321,0.5600577544133324,1.0937261239081604,0.8943770244621909,0.003393727801485398,,,0.7942113862009239,0.6225660652153692,,neighbor of h_loss_cons
roberta-large,sst-5,int4,dense,h_score_best,0.01,0.0344936214761013,0.8498688420004392,0.9844285669018014,0.9826035362066932,0.021255138665473197,,,0.8575605885759294,0.3845377139574787,,Pareto-knee score selector
roberta-large,sst-5,int4,dense,h_score_best_neighbor,0.005,0.0948113709433785,0.7135083370616873,1.0260671661919831,0.954129770144496,0.006243387075044703,,,0.7080436334674773,0.5912501752502053,,neighbor of h_score_best
roberta-large,sst-5,int4,sparse_p0p1,default,0.001,4.4291791174081725,0.10423081641031799,2.2836323410685524,0.3911416897882049,0.0001101498037330978,0.0238151411759559,2722.271134206286,,,1.6500745741609708,baseline
roberta-large,sst-5,int4,sparse_p0p1,h_default_aware,0.01,0.1153375099386039,0.7029747957221819,1.0366588790909983,0.9450098309774376,0.0019482746535288004,0.0861629851689237,4658.9313747544575,,,0.46891826196154573,default-aware safe selector
roberta-large,sst-5,int4,sparse_p0p1,h_default_aware_neighbor,0.003,1.0073932980947422,0.32147314097172097,1.38271710835482,0.6887178857418457,0.0004096195826324006,0.0425344544988154,3075.41559909373,,,0.7778845985358451,neighbor of h_default_aware
