h,status,eval_loss,mse,corr,sign_acc
1e-9,completed,1.6328125,80.4813430561866,nan,0.0
1e-8,skipped_nan_guard,,,,
1e-7,skipped_nan_guard,,,,
1e-6,completed,1.5126953125,3056.133468163203,-0.1118517387434388,0.4375
1e-5,completed,1.2568359375,42.299110599845605,0.9165220897914191,0.9375
3e-5,completed,1.255859375,2.0763055858024324,0.9889524201063092,0.8125
1e-4,completed,1.267578125,0.41340224105189716,0.9972469302723272,0.875
3e-4,completed,1.251953125,0.17434250537139295,0.9985571663804319,1.0
1e-3,completed,1.2724609375,0.5669463805220314,0.9955531138652807,1.0
3e-3,completed,1.3115234375,8.763086916514414,0.8087919340436159,0.75
1e-2,completed,1.603515625,35.112809676483934,0.11312930990425286,0.5
3e-2,completed,1.6318359375,113.18499590405456,0.15642001391450175,0.375
