d,Delta,G,L,n_dirs,alpha,beta,gamma,h_ref,h_q,h_loc,rho_min,W1_low,W1_high,W01_low,W01_high,empirical_min_h,empirical_min_A,rho_emp_W1_low,rho_emp_W1_high,h_emp_center,h_emp_opt,bound_coverage_frac,center_error_log10,endpoint_error_low_log10,endpoint_error_high_log10,W1_exists,W01_exists
1000,1e-05,1.0,0.1,256,2.5000000000000004e-11,40080.00000000001,0.0020019990009987,0.0001580349247401,5e-06,0.0049950074875218,0.0020079989980047,5.007489425950745e-06,0.0049875367301315,1.583586220408286e-05,0.0015771188910175,0.0003,0.0002967620573395,3e-06,0.01,0.0001732050807568,0.0003,1.0,0.0398075534066191,0.2224987861703465,0.3021138929824414,True,True
1000,1e-05,1.0,1.0,256,2.5000000000000004e-11,4008000.0,0.0200199900099875,4.997503120320104e-05,5e-06,0.0004995007487521,0.0200799899800474,5.007739327747257e-06,0.0004987287836494,1.5916316134022282e-05,0.0001569146857055,0.0001,0.0035391239469134,3e-06,0.001,5.477225575051661e-05,0.0001,1.0,0.0398075534066191,0.2225204593590343,0.3021355661722864,True,True
1000,1e-05,10.0,0.1,256,2.500000000000001e-09,40080.00000000001,0.0200199900099875,0.000499750312032,5e-06,0.0499500748752183,0.0002007998998004,5.007486930992974e-06,0.0498753921875436,1.5835071945322756e-05,0.0157719759809644,0.001,0.0034246822847309,3e-06,0.1,0.0005477225575051,0.001,1.0,0.0398075534066191,0.2224985697851342,0.3021136762833125,True,True
1000,1e-05,10.0,1.0,256,2.500000000000001e-09,4008000.0,0.2001999000998752,0.0001580349247401,5e-06,0.0049950074875218,0.0020079989980047,5.007489425950746e-06,0.0049875367301315,1.5835862204082863e-05,0.0015771188910175,0.0003,0.0296762057339588,3e-06,0.01,0.0001732050807568,0.0003,1.0,0.0398075534066191,0.2224987861703465,0.3021138929824413,True,True
1000,0.0001,1.0,0.1,256,2.5e-09,40080.00000000001,0.0200199900099875,0.000499750312032,5e-05,0.0049950074875218,0.0200799899800474,5.007739327747256e-05,0.0049872878364943,0.0001591631613402,0.0015691468570558,0.001,0.003539124468834,3e-05,0.01,0.0005477225575051,0.001,1.0,0.0398075534066191,0.2225204593590343,0.3021355661722866,True,True
1000,0.0001,1.0,1.0,256,2.5e-09,4008000.0,0.2001999000998752,0.0001580349247401,5e-05,0.0004995007487521,0.2007998998004742,5.033181094279628e-05,0.0004962078051591,,,0.0003,0.0317685328063409,3e-05,0.001,0.0001732050807568,0.0003,1.0,0.0398075534066191,0.224721301910627,0.3043364087238654,True,False
1000,0.0001,10.0,0.1,256,2.5e-07,40080.00000000001,0.2001999000998752,0.001580349247401,5e-05,0.0499500748752183,0.0020079989980047,5.007489425950746e-05,0.0498753673013159,0.0001583586220408,0.0157711889101756,0.003,0.0296762110813432,3e-05,0.1,0.0017320508075688,0.003,1.0,0.0398075534066191,0.2224987861703465,0.3021138929824414,True,True
1000,0.0001,10.0,1.0,256,2.5e-07,4008000.0,2.001999000998752,0.000499750312032,5e-05,0.0049950074875218,0.0200799899800474,5.0077393277472574e-05,0.0049872878364943,0.0001591631613402,0.0015691468570558,0.001,0.3539124468834073,3e-05,0.01,0.0005477225575051,0.001,1.0,0.0398075534066191,0.2225204593590344,0.3021355661722864,True,True
1000,0.001,1.0,0.1,256,2.5e-07,40080.00000000001,0.2001999000998752,0.001580349247401,0.0005,0.0049950074875218,0.2007998998004742,0.0005033181094279,0.0049620780515912,,,0.003,0.0317685442018595,0.0003,0.01,0.0017320508075688,0.003,1.0,0.0398075534066191,0.224721301910627,0.3043364087238656,True,False
1000,0.001,1.0,1.0,256,2.5e-07,4008000.0,2.001999000998752,0.000499750312032,0.0005,0.0004995007487521,2.007998998004742,,,,,0.001,0.3725100181339285,0.0003,0.001,0.0005477225575051,0.001,1.0,0.0398075534066191,,,False,False
