d,Delta,G,L,n_dirs,h,A_true,envelope,rho_theory,rho_emp,vector_radius_error,V_dir,h_ref,W1_low,W1_high,W01_low,W01_high
1000,1e-05,1.0,0.1,256,1e-08,1.1181129428434984,250000.00200199903,250749.2507492508,1.1235440567995765,1124.667600856376,1001.0,0.0001580349247401,5.007489425950745e-06,0.0049875367301315,1.583586220408286e-05,0.0015771188910175
1000,1e-05,1.0,0.1,256,3e-08,1.1181129428434984,27777.779779776825,27861.027861027906,1.1235440567995765,1124.667600856376,1001.0,0.0001580349247401,5.007489425950745e-06,0.0049875367301315,1.583586220408286e-05,0.0015771188910175
1000,1e-05,1.0,0.1,256,1e-07,1.1181129428434984,2500.002001999402,2507.49250749291,1.1235440567995765,1124.667600856376,1001.0,0.0001580349247401,5.007489425950745e-06,0.0049875367301315,1.583586220408286e-05,0.0015771188910175
1000,1e-05,1.0,0.1,256,3e-07,1.1181129428434984,277.77977978038604,278.6102786138967,1.1235440567995765,1124.667600856376,1001.0,0.0001580349247401,5.007489425950745e-06,0.0049875367301315,1.583586220408286e-05,0.0015771188910175
1000,1e-05,1.0,0.1,256,1e-06,1.1181129428434984,25.002002039081,25.074925115125204,1.1235440567995765,1124.667600856376,1001.0,0.0001580349247401,5.007489425950745e-06,0.0049875367301315,1.583586220408286e-05,0.0015771188910175
1000,1e-05,1.0,0.1,256,3e-06,0.7348829316301682,2.7797801374987765,2.7861031479038654,0.7433541814918124,744.0975356733043,1001.0,0.0001580349247401,5.007489425950745e-06,0.0049875367301315,1.583586220408286e-05,0.0015771188910175
1000,1e-05,1.0,0.1,256,1e-05,0.0845973786472934,0.2520060070009987,0.2507532707612387,0.0852568525271739,85.34210937970116,1001.0,0.0001580349247401,5.007489425950745e-06,0.0049875367301315,1.583586220408286e-05,0.0015771188910175
1000,1e-05,1.0,0.1,256,3e-05,0.0093345359078506,0.0298158487787765,0.0278972079689199,0.009369100890051,9.378469990941142,1001.0,0.0001580349247401,5.007489425950745e-06,0.0049875367301315,1.583586220408286e-05,0.0015771188910175
1000,1e-05,1.0,0.1,256,0.0001,0.0008994795797523,0.0049027990009987,0.0029094937062937,0.0009068863317922,0.9077932181240708,1001.0,0.0001580349247401,5.007489425950745e-06,0.0049875367301315,1.583586220408286e-05,0.0015771188910175
1000,1e-05,1.0,0.1,256,0.0003,0.0002967620573395,0.0058869767787765,0.003896621067821,0.0002993828698661,0.2996822527360533,1001.0,0.0001580349247401,5.007489425950745e-06,0.0049875367301315,1.583586220408286e-05,0.0015771188910175
1000,1e-05,1.0,0.1,256,0.001,0.0025423858537444,0.0421069990009987,0.0402251948051948,0.0025594725263828,2.562031998909271,1001.0,0.0001580349247401,5.007489425950745e-06,0.0049875367301315,1.583586220408286e-05,0.0015771188910175
1000,1e-05,1.0,0.1,256,0.003,0.0226683486569655,0.3627247767787766,0.3618038650238651,0.0228119487292462,22.8347606779755,1001.0,0.0001580349247401,5.007489425950745e-06,0.0049875367301315,1.583586220408286e-05,0.0015771188910175
