h,train_loss_last,dev_loss,dev_acc,test_loss,test_acc,output_dir
1e-08,1.5354461669921875,1.632066011428833,0.27634660421545665,1.6631927490234375,0.23665158371040723,/home/jy03364/MeZO/medium_models/sh_file/sst5/bs32/adam/workspace/result/sst5_bs32_full_adam_fp16_h1e-8/seed16
3e-08,1.53424072265625,1.6324728727340698,0.27634660421545665,1.6642967462539673,0.23665158371040723,/home/jy03364/MeZO/medium_models/sh_file/sst5/bs32/adam/workspace/result/sst5_bs32_full_adam_fp16_h3e-8/seed16
1e-07,1.52996826171875,1.6316814422607422,0.27634660421545665,1.6636407375335693,0.23619909502262443,/home/jy03364/MeZO/medium_models/sh_file/sst5/bs32/adam/workspace/result/sst5_bs32_full_adam_fp16_h1e-7/seed16
3e-07,1.52911376953125,1.616140604019165,0.28337236533957844,1.6453441381454468,0.23710407239819004,/home/jy03364/MeZO/medium_models/sh_file/sst5/bs32/adam/workspace/result/sst5_bs32_full_adam_fp16_h3e-7/seed16
1e-06,1.529449462890625,1.5860178470611572,0.28454332552693207,1.6057398319244385,0.25927601809954753,/home/jy03364/MeZO/medium_models/sh_file/sst5/bs32/adam/workspace/result/sst5_bs32_full_adam_fp16_h1e-6/seed16
3e-06,1.5214691162109375,1.5528761148452759,0.31733021077283374,1.5626590251922607,0.31176470588235294,/home/jy03364/MeZO/medium_models/sh_file/sst5/bs32/adam/workspace/result/sst5_bs32_full_adam_fp16_h3e-6/seed16
1e-05,1.49871826171875,1.5263800621032715,0.3395784543325527,1.5314044952392578,0.35203619909502265,/home/jy03364/MeZO/medium_models/sh_file/sst5/bs32/adam/workspace/result/sst5_bs32_full_adam_fp16_h1e-5/seed16
3e-05,1.48846435546875,1.516912579536438,0.3559718969555035,1.5209585428237915,0.3669683257918552,/home/jy03364/MeZO/medium_models/sh_file/sst5/bs32/adam/workspace/result/sst5_bs32_full_adam_fp16_h3e-5/seed16
0.0001,1.4871826171875,1.5152587890625,0.35714285714285715,1.5190980434417725,0.37104072398190047,/home/jy03364/MeZO/medium_models/sh_file/sst5/bs32/adam/workspace/result/sst5_bs32_full_adam_fp16_h1e-4/seed16
0.0003,1.487152099609375,1.5148156881332397,0.3583138173302108,1.5186002254486084,0.37149321266968327,/home/jy03364/MeZO/medium_models/sh_file/sst5/bs32/adam/workspace/result/sst5_bs32_full_adam_fp16_h3e-4/seed16
0.001,1.49249267578125,1.5150985717773438,0.3559718969555035,1.5188977718353271,0.36923076923076925,/home/jy03364/MeZO/medium_models/sh_file/sst5/bs32/adam/workspace/result/sst5_bs32_full_adam_fp16_h1e-3/seed16
0.003,1.5444488525390625,1.522214651107788,0.3407494145199063,1.526292085647583,0.35158371040723985,/home/jy03364/MeZO/medium_models/sh_file/sst5/bs32/adam/workspace/result/sst5_bs32_full_adam_fp16_h3e-3/seed16
0.01,1.748992919921875,1.638379693031311,0.27634660421545665,1.6706936359405518,0.23665158371040723,/home/jy03364/MeZO/medium_models/sh_file/sst5/bs32/adam/workspace/result/sst5_bs32_full_adam_fp16_h1e-2/seed16
