sentence	label
is merely a charmless witch . 	0
inane and unimaginative 	0
is sickly entertainment at best and mind-destroying cinematic pollution at worst 	0
unforgettable 	1
wish had been developed with more care 	0
the riveting performances by the incredibly flexible cast make love a joy to behold . 	1
is n't mainly suspense or excitement . 	0
great fun 	1
'' wanted and quite honestly 	1
like being stuck in a dark pit having a nightmare about bad cinema 	0
encouraging effort 	1
more than a 	1
clever dialogue and likeable characters 	1
sequences boring 	0
the milieu is wholly unconvincing ... and 	0
filmmaking with an assurance worthy of international acclaim 	1
the movie is ugly to look at and not a hollywood product 	0
the cutting-room floor of any given daytime soap 	0
is conversational bordering on confessional 	1
this is a very ambitious project for a fairly inexperienced filmmaker , but good actors , good poetry and good music help sustain it . 	1
most politically audacious 	1
for all its brilliant touches , dragon loses its fire midway , nearly flickering out by its perfunctory conclusion . 	0
is still good fun . 	1
, it may just scare the pants off you . 	1
the lead actor phones in his autobiographical performance 	0
if a big musical number like ` praise the lord , he 's the god of second chances ' does n't put you off , this will be an enjoyable choice for younger kids . 	1
i ca n't wait to see what the director does next 	1
crudup 's anchoring performance 	1
is funny and looks professional . 	1
such master screenwriting 	1
nothing about the film -- with the possible exception of elizabeth hurley 's breasts -- is authentic . 	0
going to subjugate truth to the tear-jerking demands of soap opera 	0
the need to stay in touch with your own skin , at 18 or 80 	1
very ambitious project 	1
ingenious and 	1
kids-cute 	1
beauty 	1
unexpected ways , touching 	1
heavy-handed symbolism , dime-store psychology and endless scenic shots that make 105 minutes seem twice as long 	0
alice 's adventure through the looking glass and into zombie-land ' is filled with strange and wonderful creatures . 	1
destructive 	0
a passable date film 	1
misty-eyed southern nostalgia piece 	1
own floundering way 	0
wimps 	0
a coming-of-age story with such a buoyant , expressive flow of images 	1
an intriguing and alluring premise 	1
triple x 	1
to the most enchanting film of the year 	1
conquers 	1
crap 	0
masterful work 	1
poor editing , bad bluescreen , and ultra-cheesy dialogue highlight the radical action . 	0
, dopey old 	0
derivative elements into something that is often quite rich and exciting , 	1
examines the intimate , unguarded moments of folks who live in unusual homes -- which pop up in nearly every corner of the country 	1
is a waste of de niro , mcdormand and the other good actors in the cast 	0
i just saw this movie ... well , it 's probably not accurate to call it a movie . 	0
still like moonlight mile , better judgment be damned . 	1
much like robin williams , death to smoochy has already reached its expiration date . 	0
the human story is pushed to one side 	0
the movie is ingenious fun . 	1
simple misfire 	0
lovely , eerie film 	1
fans will undoubtedly enjoy it , 	1
laughs that may make you hate yourself for giving in 	1
a good-natured ensemble comedy that tries hard to make the most of a bumper cast , but never quite gets off the ground . 	0
too goodly , 	1
is driven by appealing leads 	1
a fascinating curiosity piece -- fascinating , that is , for about ten minutes 	0
a mischievous visual style and oodles of charm 	1
so i do n't know what she 's doing in here 	0
will wish there had been more of the `` queen '' and less of the `` damned . 	0
as a conventional thriller evolves into a gorgeously atmospheric meditation on life-changing chance encounters 	1
does n't have all the answers 	0
makes the right choices at every turn 	1
honorably mexican and burns its kahlories with conviction . 	1
you 've got to hand it to director george clooney for biting off such a big job the first time out 	1
makes up for in drama , suspense , revenge , and romance 	1
embraced by this gentle comedy 	1
this movie worth seeing 	1
being `` in the mood '' to view a movie as harrowing and 	0
impressed by the skill of the actors involved in the enterprise 	1
the movie 's set 	1
unabashedly romantic 	1
compelling storyline 	1
the movie is busy contriving false , sitcom-worthy solutions to their problems . 	0
the guy-in-a-dress genre 	1
american and 	0
, home movie will leave you wanting more , not to mention leaving you with some laughs and a smile on your face . 	1
swimming gets the details right , from its promenade of barely clad bodies in myrtle beach , s.c. , to the adrenaline jolt of a sudden lunch rush at the diner . 	1
peculiar malaise 	0
if you 've grown tired of going where no man has gone before , but several movies have - take heart . 	1
admirable energy , 	1
nevertheless efficiently amusing for a good while 	1
just a bunch of good actors 	1
a touching , small-scale story of family responsibility and care 	1
, sticking its head up for a breath of fresh air now and then . 	1
am highly amused by the idea that we have come to a point in society where it has been deemed important enough to make a film in which someone has to be hired to portray richard dawson . 	0
does n't care about cleverness , wit or any other kind of intelligent humor 	0
get paid enough to sit through crap like this 	0
fails to give his audience a single character worth rooting for ( or worth rooting against , for that matter ) . 	0
for humor in so many teenage comedies 	1
is uniquely felt with a sardonic jolt 	1
the director , with his fake backdrops and stately pacing , 	0
dragon 	1
, every once in a while a film arrives from the margin that gives viewers a chance to learn , to grow , to travel . 	1
nicely shot 	1
eloquently about the symbiotic relationship between art and life 	1
the material 	1
better than the fiction 	1
the answers 	1
clever in spots 	1
serial murders 	1
nurses plot holes gaping enough to pilot an entire olympic swim team through 	0
dense 	0
sorvino makes the princess seem smug and cartoonish 	0
induces headaches 	0
of the greatest date movies in years 	1
the chateau has one very funny joke and a few other decent ones , but all it amounts to is a mildly funny , sometimes tedious , ultimately insignificant film 	0
listen to extremist name-calling 	0
of promise 	1
most repellent 	0
rather less than the sum of its underventilated père-fils confrontations . 	0
strongest 	1
find a movie with a bigger , fatter heart than barbershop 	1
are the hallmark of this bittersweet , uncommonly sincere movie that portrays the frank humanity of ... emotional recovery . 	1
acquire the fast-paced contemporary society 	1
exists , and does so with an artistry that also smacks of revelation . 	1
his best screen 	1
banal 	0
bittersweet dialogue that cuts to the chase of the modern girl 's dilemma 	1
recite bland police procedural details , fiennes wanders around 	0
unfortunately , the experience of actually watching the movie is less compelling than the circumstances of its making . 	0
of stagy set pieces stacked with binary oppositions 	0
sets the tone for a summer of good stuff 	1
crisp framing , edgy camera work , and 	1
through vulgarities in a sequel you can refuse 	0
quiet , adult and just about more stately than any contemporary movie this year ... a true study , a film with a questioning heart and mind that is n't afraid to admit it 	1
a remake by the numbers 	0
some blondes , ( diggs ) should be probing why a guy with his talent ended up in a movie this bad . 	0
a low-budget series on a uhf channel 	0
as its uncanny tale of love , communal discord , and justice 	0
a moving and solidly entertaining comedy/drama 	1
a snore and utter tripe 	0
what a film can be 	1
barbershop is n't as funny as it should be 	0
cliche with little new added . 	0
a terrific performance in this fascinating portrait of a modern lothario 	1
you might as well be watching a rerun 	0
than a worthwhile effort 	1
a feel-good movie 	1
a servicable world war ii drama 	1
also wrecks any chance of the movie rising above similar fare 	0
brash , intelligent and erotically perplexing , haneke 's portrait of an upper class austrian society and the suppression of its tucked away demons 	1
its dark , delicate treatment 	1
designed as a reverie about memory and regret , but the only thing you 'll regret is remembering 	0
vividly demonstrates that the director of such hollywood blockbusters as patriot games can still turn out a small , personal film with an emotional wallop . 	1
that was old when ` angels with dirty faces ' appeared in 1938 	0
is a sweet and modest and ultimately winning story . 	1
maguire makes it a comic book with soul 	1
no justice 	0
by writer-director kurt wimmer 	1
to see three splendid actors 	1
does n't disappoint . 	1
, sorrow , laugther , and tears 	1
a consummate actor 	1
a mixture of deadpan cool , wry humor and just the measure 	1
is dazzling 	1
a downer and 	0
about this traditional thriller , moderately successful but not completely satisfying , is exactly how genteel and unsurprising the execution turns out to be . 	0
an inconclusive ending 	0
adams , with four scriptwriters , takes care with the characters , who are so believable that you feel what they feel . 	1
odoriferous thing ... 	0
one of demme 's good films 	1
the feel of a fanciful motion picture 	1
oversexed 	0
be a parody of gross-out flicks , college flicks , or even flicks in general 	0
a gorgeous pair 	1
great character interaction . 	1
the film boasts at least a few good ideas and features some decent performances 	1
cinematic poetry 	1
a chilly , remote , emotionally distant piece ... so dull that its tagline should be : ` in space , no one can hear you snore . ' 	0
affectionately goofy satire 	1
funny , triumphant , 	1
a huge amount of the credit for the film 	1
should stop trying to please his mom 	0
worth catching 	1
one of the best films i have ever seen , constantly pulling the rug from underneath us , seeing things from new sides , plunging deeper , getting more intense . 	1
throws in enough clever and unexpected 	1
villainous 	0
feel absolutely 	1
engaging film 	1
city by the sea would slip under the waves . 	0
on an inferior level 	0
little crossover appeal to those without much interest in the elizabethans ( as well as rank frustration from those in the know about rubbo 's dumbed-down tactics ) 	0
the rock 's fighting skills are more in line with steven seagal 	1
to those who have not read the book , the film is a much better mother-daughter tale than last summer 's ` divine secrets of the ya-ya sisterhood , ' but that 's not saying much . 	1
its worst 	0
intoxicating documentary 	1
is that rare combination of bad writing , bad direction and bad acting -- the trifecta of badness 	0
own quirky hipness 	1
'll be rewarded with some fine acting 	1
most multilayered and sympathetic female characters 	1
of why the dv revolution has cheapened the artistry of making a film 	0
the action here is unusually tame , the characters are too simplistic to maintain interest , and the plot offers few surprises 	0
seem smug and cartoonish 	0
remote , emotionally distant piece 	0
is a wonderful thing ; that he has been able to share his story so compellingly with us is a minor miracle . 	1
once again strands his superb performers in the same old story . 	1
stevens has a flair for dialogue comedy , the film operates nicely off the element of surprise , and the large cast is solid . 	1
model 	1
you 'll be thinking of 51 ways to leave this loser . 	0
this gorgeous film a must for everyone from junior scientists to grown-up fish lovers 	1
will keep coming 	1
for the ridicule factor 	0
the level of classic romantic comedy to which it aspires 	1
though clearly well-intentioned , this cross-cultural soap opera is painfully formulaic and stilted . 	0
deserve a passing grade ( even on a curve ) 	0
the miniseries 	1
as crisp and 	1
god help us , but capra and cooper are rolling over in their graves . ' 	0
beguiling freshness 	1
decent popcorn adventure 	1
the director , frank novak , that keeps the film grounded in an undeniable social realism 	1
polanski has found the perfect material with which to address his own world war ii experience in his signature style . 	1
drama , conflict , 	1
