h,status,eval_loss,test_loss,mae,rmse,mse_from_rmse2,corr,sign_acc,probe_rows,run_dir
1e-8,completed,1.3820029497146606,1.422272801399231,10.371834938824177,12.788154255004136,163.5368892497804,0.9549803841011724,0.876875,100,medium_models/sh_file/sst5/bs32/h_precision_sweep/result/sst5-bs32-h-precision-sweep/fp32/eps_1e-8/seed13
3e-8,completed,1.3201777935028076,1.373833417892456,4.083429540544748,5.081494361310109,25.821584944026434,0.9922494710941254,0.95875,100,medium_models/sh_file/sst5/bs32/h_precision_sweep/result/sst5-bs32-h-precision-sweep/fp32/eps_3e-8/seed13
1e-7,completed,1.4408423900604248,1.4750128984451294,1.2370773823559285,1.5283915259232537,2.3359806565140118,0.9993271179757197,0.9875,100,medium_models/sh_file/sst5/bs32/h_precision_sweep/result/sst5-bs32-h-precision-sweep/fp32/eps_1e-7/seed13
3e-7,completed,1.4129374027252197,1.4707844257354736,0.42522828058339657,0.5270035383488372,0.2777327294321943,0.9999169944973347,0.99625,100,medium_models/sh_file/sst5/bs32/h_precision_sweep/result/sst5-bs32-h-precision-sweep/fp32/eps_3e-7/seed13
1e-6,completed,1.3910619020462036,1.4530127048492432,0.1353000096604228,0.16591045003694468,0.027526277431461518,0.9999919713713114,0.999375,100,medium_models/sh_file/sst5/bs32/h_precision_sweep/result/sst5-bs32-h-precision-sweep/fp32/eps_1e-6/seed13
3e-6,completed,1.411238193511963,1.4704877138137817,0.08060720158508047,0.12953717627779365,0.01677988003802419,0.9999651097678236,1.0,100,medium_models/sh_file/sst5/bs32/h_precision_sweep/result/sst5-bs32-h-precision-sweep/fp32/eps_3e-6/seed13
1e-5,completed,1.4059516191482544,1.4717504978179932,0.23763696100562812,0.3009623783675741,0.09057835319266684,0.9992204874911796,0.996875,100,medium_models/sh_file/sst5/bs32/h_precision_sweep/result/sst5-bs32-h-precision-sweep/fp32/eps_1e-5/seed13
3e-5,completed,1.409872055053711,1.4718111753463745,0.025854820838430895,0.04457527501438751,0.0019869551426082792,0.99999113876741,0.999375,100,medium_models/sh_file/sst5/bs32/h_precision_sweep/result/sst5-bs32-h-precision-sweep/fp32/eps_3e-5/seed13
1e-4,completed,1.4045908451080322,1.4683679342269897,0.12432361723855138,0.20011526203913566,0.04004611810099193,0.9999283933637274,0.999375,100,medium_models/sh_file/sst5/bs32/h_precision_sweep/result/sst5-bs32-h-precision-sweep/fp32/eps_1e-4/seed13
3e-4,completed,1.403822660446167,1.4685815572738647,0.48609890004619954,0.6625271138630093,0.4389421766036489,0.9992903580802625,0.996875,100,medium_models/sh_file/sst5/bs32/h_precision_sweep/result/sst5-bs32-h-precision-sweep/fp32/eps_3e-4/seed13
1e-3,completed,1.4288699626922607,1.4863779544830322,1.7850309837094391,2.277988339898202,5.189230876712167,0.9978662071703139,0.984375,100,medium_models/sh_file/sst5/bs32/h_precision_sweep/result/sst5-bs32-h-precision-sweep/fp32/eps_1e-3/seed13
3e-3,completed,1.4122936725616455,1.4685231447219849,7.371982134291902,9.202616750201768,84.68815505109416,0.9697304087965537,0.934375,100,medium_models/sh_file/sst5/bs32/h_precision_sweep/result/sst5-bs32-h-precision-sweep/fp32/eps_3e-3/seed13
1e-2,completed,1.6980345249176025,1.7082066535949707,30.002960097193718,37.44322660299577,1401.9952184432902,0.46304422534288386,0.66125,100,medium_models/sh_file/sst5/bs32/h_precision_sweep/result/sst5-bs32-h-precision-sweep/fp32/eps_1e-2/seed13
