group,model,dataset,seed,G_method,h_G,G_hat,alignment_eff,norm_ratio_eff,zero_coord_frac_eff,corr_h_2h,sign_flip_rate_h_2h,stability_score,fallback_flags,source_output_dir
A_seed,roberta-large,sst-5,16,absG_candidate,1e-05,13.65577127345046,0.7952798800687139,0.9663967046239136,0.5935504604028912,nan,nan,0.8218738757102637,candidate_not_primary_pass,analysis/fp16_direct_hstar_mse_roberta_20260520_180346
A_seed,roberta-large,sst-5,16,absG_candidate,3e-05,13.376878789382907,0.9414161319626088,1.0197379243485947,0.30571003948927145,nan,nan,0.37403183187525735,candidate_not_primary_pass,analysis/fp16_direct_hstar_mse_roberta_20260520_180346
A_seed,roberta-large,sst-5,16,absG_candidate,0.0001,13.645312805297927,0.992127168628137,1.0072306819845056,0.10904313159322082,nan,nan,0.11627381357772643,candidate_not_primary_pass,analysis/fp16_direct_hstar_mse_roberta_20260520_180346
A_seed,roberta-large,sst-5,16,absG_candidate,0.0003,13.599494754343972,0.9991116409810068,1.0008757062392393,0.037379652525847906,nan,nan,0.03825535876508718,,analysis/fp16_direct_hstar_mse_roberta_20260520_180346
A_seed,roberta-large,sst-5,16,absG_candidate,0.001,13.40148109065601,0.9999226803374133,1.0000805859329596,0.011256094435023435,0.9949710842186484,0.0,0.011336680367983,,analysis/fp16_direct_hstar_mse_roberta_20260520_180346
A_seed,roberta-large,sst-5,16,absG_candidate,0.0015,13.06073423780062,0.9999662333749548,1.0000346041906913,0.007504832068387466,0.9833700745298916,0.03125,0.007539436259078811,,analysis/fp16_direct_hstar_mse_roberta_20260520_180346
A_seed,roberta-large,sst-5,16,absG_candidate,0.002,12.60551696090429,0.9999812776795343,1.000022525379893,0.005628331267930322,0.9677006098188845,0.0625,0.005650856647823213,,analysis/fp16_direct_hstar_mse_roberta_20260520_180346
A_seed,roberta-large,sst-5,16,absG_candidate,0.003,11.829050403922647,0.9999918574920268,1.0000081935068248,0.0037515568353007796,nan,nan,0.0037597503421255736,,analysis/fp16_direct_hstar_mse_roberta_20260520_180346
A_seed,roberta-large,sst-5,16,absG_candidate,0.004,11.322113511900575,0.999995500730309,1.0000087216310791,0.0028138870990886654,nan,nan,0.002822608730167788,,analysis/fp16_direct_hstar_mse_roberta_20260520_180346
A_seed,roberta-large,sst-5,16,absG_candidate,0.005,10.880347817137574,0.9999971541759467,1.000003155346361,0.002251458996937825,-0.13661600604824686,0.59375,1.5326206203915458,candidate_not_primary_pass,analysis/fp16_direct_hstar_mse_roberta_20260520_180346
A_seed,roberta-large,sst-5,16,absG_candidate,0.01,7.192169023146749,0.9999993025990431,1.0000010143344875,0.0011251944908843557,nan,nan,0.0011262088253718703,,analysis/fp16_direct_hstar_mse_roberta_20260520_180346
A_seed,roberta-large,sst-5,16,absG,0.0003,13.599494754343972,0.9991116409810068,1.0008757062392393,0.037379652525847906,nan,nan,0.03825535876508718,,analysis/fp16_direct_hstar_mse_roberta_20260520_180346
A_seed,roberta-large,sst-5,16,absG_fixed_0.0003,0.0003,13.599494754343972,,,,,,,diagnostic_only,analysis/fp16_direct_hstar_mse_roberta_20260520_180346
A_seed,roberta-large,sst-5,16,absG_fixed_0.001,0.001,13.40148109065601,,,,,,,diagnostic_only,analysis/fp16_direct_hstar_mse_roberta_20260520_180346
A_seed,roberta-large,sst-5,16,richardsonG_candidate,0.001,13.666802467239918,,,,,,,diagnostic_only,analysis/fp16_direct_hstar_mse_roberta_20260520_180346
