global_step,eps,zo_two_point_precision,fd_mean,td_mean,mae,rmse,sign_acc,corr,probe_num_seeds
200,3e-07,fp16,15.894569993019104,-0.9381941854953766,133.34177014231682,185.58158229627043,0.5,-0.2073444927657463,16
400,3e-07,fp16,-27.02077043056488,9.58892998099327,215.4240324795246,271.4431011109572,0.625,0.0660900179764573,16
600,3e-07,fp16,93.7779711484909,5.330696657299995,220.7313789576292,262.8239850615264,0.375,-0.10716639038577366,16
800,3e-07,fp16,12.715657234191895,-2.794412925839424,220.1849955767393,293.31987617027767,0.6875,0.0815987410857429,16
1000,3e-07,fp16,136.69331419467926,0.10565519332885742,191.17780619859695,230.78219846465424,0.3125,-0.3541766949924509,16
1200,3e-07,fp16,-125.56712174415588,9.747858852148056,577.7050412595272,751.0887071572961,0.3125,-0.3781181137597151,16
1400,3e-07,fp16,11.126197457313538,1.465519666671753,247.3789725601673,303.87443708479003,0.375,-0.006019133292039789,16
1600,3e-07,fp16,9.536742925643921,1.721300631761551,148.9728157222271,186.8416076491378,0.4375,-0.053907182697512324,16
1800,3e-07,fp16,7.947286486625671,0.19162243604660034,282.59791427850723,345.4686523288429,0.4375,0.1586642054766899,16
2000,3e-07,fp16,-28.61022698879242,-4.148050561547279,168.588293120265,201.20698788592455,0.375,-0.11682316986495601,16
2200,3e-07,fp16,34.96805787086487,2.647551581263542,208.9602084904909,234.15778453276604,0.5,0.09832477880622323,16
2400,3e-07,fp16,82.6517721414566,-5.577039033174515,248.69545736908913,304.69543007013294,0.125,-0.4659735802146014,16
2600,3e-07,fp16,38.146974205970764,-0.4190191477537155,202.58676601946354,250.61167919110312,0.25,-0.06102949692524416,16
2800,3e-07,fp16,71.5255719423294,-3.39407629519701,161.31257659941912,205.32368359877788,0.5,-0.03503191385817553,16
3000,3e-07,fp16,-34.96805822849274,0.5007879436016083,240.61521485447884,290.51096679435756,0.5,-0.17378387807275678,16
3200,3e-07,fp16,-125.56711459159851,11.68118366599083,234.18787118792534,286.0622342743109,0.375,0.028804763619141496,16
3400,3e-07,fp16,-50.862629532814026,-2.171945869922638,149.25949949026108,190.84658798435225,0.625,-0.2878813240510947,16
3600,3e-07,fp16,17.48403012752533,-2.0461104065179825,165.62821419537067,190.28841671032896,0.5,0.06823039566309745,16
3800,3e-07,fp16,1.5894572734832764,0.7463305369019508,313.0625843629241,428.21311610704555,0.5625,0.2370558296471472,16
4000,3e-07,fp16,7.947287201881409,-8.405807048082352,141.47059336304665,177.84384217562695,0.5,-0.020587286368993596,16
4200,3e-07,fp16,50.86262810230255,2.9908644556999207,178.93738025426865,227.92702961324972,0.4375,-0.07706137510747593,16
4400,3e-07,fp16,89.009601354599,0.05063093826174736,166.50399329140782,224.36103991841006,0.5,-0.5989223117845839,16
4600,3e-07,fp16,34.968056440353394,3.4713214635849,177.00217235088348,233.67202575790427,0.3125,-0.3791937266484079,16
