sweep,model,task,h_str,h,status,eval_loss,mse,metrics_csv,probe_csv,run_summary
quzo16,roberta-large,sst5,1e-8,1e-08,skipped_nan_guard,,,/Users/jichaoyu/Documents/GitHub/MeZO/experiments/main/mezo/roberta-large/sst5/fp16/h_sweep_14h/results/h_1e-8/run_quzo16/seed16/metrics_logs/metrics_adaptiveH-0_cscale-0.csv,/Users/jichaoyu/Documents/GitHub/MeZO/experiments/main/mezo/roberta-large/sst5/fp16/h_sweep_14h/results/h_1e-8/run_quzo16/seed16/zo_directional_probe.csv,
quzo16,roberta-large,sst5,3e-8,3e-08,skipped_nan_guard,,,/Users/jichaoyu/Documents/GitHub/MeZO/experiments/main/mezo/roberta-large/sst5/fp16/h_sweep_14h/results/h_3e-8/run_quzo16/seed16/metrics_logs/metrics_adaptiveH-0_cscale-0.csv,/Users/jichaoyu/Documents/GitHub/MeZO/experiments/main/mezo/roberta-large/sst5/fp16/h_sweep_14h/results/h_3e-8/run_quzo16/seed16/zo_directional_probe.csv,
quzo16,roberta-large,sst5,1e-7,1e-07,skipped_nan_guard,,6027097.903861383,/Users/jichaoyu/Documents/GitHub/MeZO/experiments/main/mezo/roberta-large/sst5/fp16/h_sweep_14h/results/h_1e-7/run_quzo16/seed16/metrics_logs/metrics_adaptiveH-0_cscale-0.csv,/Users/jichaoyu/Documents/GitHub/MeZO/experiments/main/mezo/roberta-large/sst5/fp16/h_sweep_14h/results/h_1e-7/run_quzo16/seed16/zo_directional_probe.csv,
quzo16,roberta-large,sst5,3e-7,3e-07,skipped_nan_guard,,918360.754242338,/Users/jichaoyu/Documents/GitHub/MeZO/experiments/main/mezo/roberta-large/sst5/fp16/h_sweep_14h/results/h_3e-7/run_quzo16/seed16/metrics_logs/metrics_adaptiveH-0_cscale-0.csv,/Users/jichaoyu/Documents/GitHub/MeZO/experiments/main/mezo/roberta-large/sst5/fp16/h_sweep_14h/results/h_3e-7/run_quzo16/seed16/zo_directional_probe.csv,
quzo16,roberta-large,sst5,1e-6,1e-06,skipped_nan_guard,1.90234375,6957006.484945232,/Users/jichaoyu/Documents/GitHub/MeZO/experiments/main/mezo/roberta-large/sst5/fp16/h_sweep_14h/results/h_1e-6/run_quzo16/seed16/metrics_logs/metrics_adaptiveH-0_cscale-0.csv,/Users/jichaoyu/Documents/GitHub/MeZO/experiments/main/mezo/roberta-large/sst5/fp16/h_sweep_14h/results/h_1e-6/run_quzo16/seed16/zo_directional_probe.csv,
quzo16,roberta-large,sst5,3e-6,3e-06,completed,1.583984375,4440.656536789282,/Users/jichaoyu/Documents/GitHub/MeZO/experiments/main/mezo/roberta-large/sst5/fp16/h_sweep_14h/results/h_3e-6/run_quzo16/seed16/metrics_logs/metrics_adaptiveH-0_cscale-0.csv,/Users/jichaoyu/Documents/GitHub/MeZO/experiments/main/mezo/roberta-large/sst5/fp16/h_sweep_14h/results/h_3e-6/run_quzo16/seed16/zo_directional_probe.csv,/Users/jichaoyu/Documents/GitHub/MeZO/experiments/main/mezo/roberta-large/sst5/fp16/h_sweep_14h/results/h_3e-6/run_quzo16/seed16/run_summary.json
quzo16,roberta-large,sst5,1e-5,1e-05,completed,1.0908203125,3057.310025573711,/Users/jichaoyu/Documents/GitHub/MeZO/experiments/main/mezo/roberta-large/sst5/fp16/h_sweep_14h/results/h_1e-5/run_quzo16/seed16/metrics_logs/metrics_adaptiveH-0_cscale-0.csv,/Users/jichaoyu/Documents/GitHub/MeZO/experiments/main/mezo/roberta-large/sst5/fp16/h_sweep_14h/results/h_1e-5/run_quzo16/seed16/zo_directional_probe.csv,/Users/jichaoyu/Documents/GitHub/MeZO/experiments/main/mezo/roberta-large/sst5/fp16/h_sweep_14h/results/h_1e-5/run_quzo16/seed16/run_summary.json
quzo16,roberta-large,sst5,3e-5,3e-05,completed,1.0732421875,1597.7031567144804,/Users/jichaoyu/Documents/GitHub/MeZO/experiments/main/mezo/roberta-large/sst5/fp16/h_sweep_14h/results/h_3e-5/run_quzo16/seed16/metrics_logs/metrics_adaptiveH-0_cscale-0.csv,/Users/jichaoyu/Documents/GitHub/MeZO/experiments/main/mezo/roberta-large/sst5/fp16/h_sweep_14h/results/h_3e-5/run_quzo16/seed16/zo_directional_probe.csv,/Users/jichaoyu/Documents/GitHub/MeZO/experiments/main/mezo/roberta-large/sst5/fp16/h_sweep_14h/results/h_3e-5/run_quzo16/seed16/run_summary.json
quzo16,roberta-large,sst5,1e-4,0.0001,completed,1.0771484375,2765.7266443320855,/Users/jichaoyu/Documents/GitHub/MeZO/experiments/main/mezo/roberta-large/sst5/fp16/h_sweep_14h/results/h_1e-4/run_quzo16/seed16/metrics_logs/metrics_adaptiveH-0_cscale-0.csv,/Users/jichaoyu/Documents/GitHub/MeZO/experiments/main/mezo/roberta-large/sst5/fp16/h_sweep_14h/results/h_1e-4/run_quzo16/seed16/zo_directional_probe.csv,/Users/jichaoyu/Documents/GitHub/MeZO/experiments/main/mezo/roberta-large/sst5/fp16/h_sweep_14h/results/h_1e-4/run_quzo16/seed16/run_summary.json
quzo16,roberta-large,sst5,3e-4,0.0003,completed,1.0732421875,1347.5972055976204,/Users/jichaoyu/Documents/GitHub/MeZO/experiments/main/mezo/roberta-large/sst5/fp16/h_sweep_14h/results/h_3e-4/run_quzo16/seed16/metrics_logs/metrics_adaptiveH-0_cscale-0.csv,/Users/jichaoyu/Documents/GitHub/MeZO/experiments/main/mezo/roberta-large/sst5/fp16/h_sweep_14h/results/h_3e-4/run_quzo16/seed16/zo_directional_probe.csv,/Users/jichaoyu/Documents/GitHub/MeZO/experiments/main/mezo/roberta-large/sst5/fp16/h_sweep_14h/results/h_3e-4/run_quzo16/seed16/run_summary.json
