run_name,model,dataset,quantization_algorithm,group_size,update_backend,direction_type,h,h_active,sparse_rate,lr,steps_completed,seed,best_eval_acc,last_eval_acc,best_eval_loss,last_eval_loss,corr_fd_true,nMSE_fd_true,probe_alignment,probe_norm_ratio,active_frac,cos_intended_actual,actual_over_intended_norm_ratio,acc_actual_cos,actual_over_acc_norm_ratio,residual_bound_violation_frac,grid_error_norm,scale_drift_max,nan_occurred,status,notes
dense_probe_p1_h0.0001,roberta-large,SST-5,groupwise_int8_block256,256,probe_only,dense,0.0001,0.0001,1.0,0,0,16,,,,,0.6950809558779053,1.4901856144817933,0.4628627573266361,2.160473760024687,,,,,,,,,,probe_only,02_dense_probe_window
dense_probe_p1_h0.0003,roberta-large,SST-5,groupwise_int8_block256,256,probe_only,dense,0.0003,0.0003,1.0,0,0,16,,,,,0.8570012376791822,0.3312004483199454,0.7688788746387581,1.300603896466307,,,,,,,,,,probe_only,02_dense_probe_window
dense_probe_p1_h0.0007,roberta-large,SST-5,groupwise_int8_block256,256,probe_only,dense,0.0007,0.0007,1.0,0,0,16,,,,,0.9660296596914298,0.06825275529802684,0.9375466468970691,1.0666158878573575,,,,,,,,,,probe_only,02_dense_probe_window
dense_probe_p1_h0.001,roberta-large,SST-5,groupwise_int8_block256,256,probe_only,dense,0.001,0.001,1.0,0,0,16,,,,,0.9827797999348691,0.033538760318110955,0.9678022147207801,1.0332674106496176,,,,,,,,,,probe_only,02_dense_probe_window
dense_probe_p1_h0.0015,roberta-large,SST-5,groupwise_int8_block256,256,probe_only,dense,0.0015,0.0015,1.0,0,0,16,,,,,0.9903729237876536,0.02027371317704562,0.9852735947264205,1.0149449685842828,,,,,,,,,,probe_only,02_dense_probe_window
dense_probe_p1_h0.002,roberta-large,SST-5,groupwise_int8_block256,256,probe_only,dense,0.002,0.002,1.0,0,0,16,,,,,0.9893764702577811,0.02212406685155305,0.991626762846368,1.0084438082566183,,,,,,,,,,probe_only,02_dense_probe_window
dense_probe_p1_h0.0025,roberta-large,SST-5,groupwise_int8_block256,256,probe_only,dense,0.0025,0.0025,1.0,0,0,16,,,,,0.9829215045111221,0.03688036774306651,0.9946106693088586,1.0054178142783323,,,,,,,,,,probe_only,02_dense_probe_window
dense_probe_p1_h0.003,roberta-large,SST-5,groupwise_int8_block256,256,probe_only,dense,0.003,0.003,1.0,0,0,16,,,,,0.9764019997214975,0.0524591519864311,0.996243093744777,1.0037727066772162,,,,,,,,,,probe_only,02_dense_probe_window
dense_probe_p1_h0.004,roberta-large,SST-5,groupwise_int8_block256,256,probe_only,dense,0.004,0.004,1.0,0,0,16,,,,,0.9440130978744673,0.11587489452804287,0.9978745004365175,1.0021301368625706,,,,,,,,,,probe_only,02_dense_probe_window
dense_probe_p1_h0.005,roberta-large,SST-5,groupwise_int8_block256,256,probe_only,dense,0.005,0.005,1.0,0,0,16,,,,,0.8825608525165924,0.22447410779604965,0.99863240865962,1.0013694733218346,,,,,,,,,,probe_only,02_dense_probe_window
