precision,h,corr_fd_true,nMSE_fd_true,sign_agreement
bf16,0.0001,0.9213390833172269,0.17314767937051853,0.9
bf16,0.0003,0.9861013710833927,0.027893038192781435,0.98
bf16,0.001,0.9979581804430964,0.004620757523848902,0.98
bf16,0.0015,0.9957367584394773,0.009505795912987482,1.0
bf16,0.002,0.9911182857752815,0.019982850133979442,1.0
bf16,0.003,0.9748620345275577,0.05565317019776137,0.96
bf16,0.004,0.9458635036634844,0.11704312012355696,0.92
bf16,0.005,0.902100218756299,0.20726603014158898,0.86
bf16,0.01,-0.10034172425038886,1.387434528387526,0.42
bf16,1e-05,0.2041549274974257,12.57405533512491,0.56
bf16,3e-05,0.6270547122637764,1.7931033904211042,0.72
fp32,0.0001,0.9999704455539464,6.981259205452803e-05,1.0
fp32,0.0003,0.9998963739573881,0.0002274273157022854,0.98
fp32,0.001,0.9984971350798002,0.003145719650118696,1.0
fp32,0.0015,0.9960686634843207,0.00845600700502795,1.0
fp32,0.002,0.9916371474179961,0.01834973254302744,1.0
fp32,0.003,0.9753426330022097,0.05431968635684708,0.96
fp32,0.004,0.9460551764735384,0.11603884686795121,0.92
fp32,0.005,0.9015224196982282,0.20788591311594312,0.86
fp32,0.01,-0.09860844632614087,1.389050580311459,0.42
fp32,1e-05,0.9999997106604281,6.666072230573788e-07,1.0
fp32,3e-05,0.999993537747967,1.287287977453294e-05,1.0
int8,0.0001,0.26706244028693665,9.681650245809939,0.58
int8,0.0003,0.593826812958855,1.3466336869927324,0.68
int8,0.001,0.8595888313023646,0.270916278999858,0.86
int8,0.0015,0.9110203540222924,0.1648676289216817,0.84
int8,0.002,0.9318974186941704,0.1349164500518517,0.88
int8,0.003,0.9375666196909768,0.12639306022704247,0.94
int8,0.004,0.9187465648212286,0.1645892490613399,0.92
int8,0.005,0.861696385751256,0.26827499534506455,0.88
int8,0.01,0.05671528321337012,1.290381585393147,0.52
int8,1e-05,0.12096525191839812,71.0439701638795,0.48
int8,3e-05,0.13557610957923102,35.64372138229162,0.38
