precision,h,probe_mse,corr,last100_train_acc,last5_eval_acc,last100_train_loss,last5_eval_loss,update_scale_proxy_if_available
fp16,1e-8,,nan,0.3,0.2,1.62266540527,nan,
fp16,3e-8,,nan,0.3,0.2,1.88126373291,nan,
fp16,1e-7,2987432515.42,-0.044669377524,0.3,0.2,49.623301506,39.4027290344,12207.03125
fp16,3e-7,125992057.967,0.0112221605196,0.3,0.2,76.26875,33.7680393219,7010.9228817
fp16,1e-6,44604301.2564,0.11893962344,0.15,0.2,17.9581089973,16.9123760223,687.744849678
fp16,3e-6,10684.6611735,0.667903440322,0.278125,0.1975,1.6708190918,1.75993356705,7.739066588
fp16,1e-5,227.621081835,0.944795021633,0.70625,0.4225,0.955082702637,1.32202732563,0.976037979126
fp16,3e-5,36.7883066966,0.991117079686,0.715625,0.475,0.900173187256,1.31100869179,0.303713503443
fp16,1e-4,10.7709688521,0.997265772859,0.721875,0.46,0.927206420898,1.31680157185,0.0921077728271
fp16,3e-4,2.23208005596,0.999057949832,0.734375,0.45,0.933965301514,1.31557588577,0.0304906358201
fp16,1e-3,7.66437858953,0.997783058397,0.640625,0.4475,0.998658752441,1.30543117523,0.00902861996039
fp16,3e-3,87.7647244724,0.972314088773,0.49375,0.4,1.31852416992,1.42445921898,0.00261551811701
fp16,1e-2,1445.81336598,0.463266330516,0.3,0.2,1.67371368408,1.77287285328,0.000583673381805
