precision,h,probe_alignment,probe_norm_ratio,probe_active_frac
bf16,0.0001,0.999999999691771,1.0000000002828395,0.999986072545283
bf16,0.0003,0.9999999954933593,0.999999982300864,0.9999952841379564
bf16,0.001,1.0000000099939217,1.000000018702057,0.9999985164417403
bf16,0.0015,0.9999999988871283,0.9999999649898844,0.9999989978382556
bf16,0.002,1.0000000090700256,1.0000000176348558,0.9999992289026997
bf16,0.003,0.9999999998863854,0.9999999674937755,0.999999460408387
bf16,0.004,1.0000000071698463,1.0000000158775728,0.9999995767005283
bf16,0.005,1.0000000000000018,0.9999999999999969,0.9999996475936295
bf16,0.01,1.0,0.9999999999999974,0.9999997811923161
bf16,1e-05,0.9999999997739784,1.0000000172943435,0.9998619636797776
bf16,3e-05,0.9999999951734434,0.9999999677229737,0.9999538781053722
fp32,0.0001,0.9999999982291212,1.0000000004340655,0.9999861272594608
fp32,0.0003,0.9999999990969528,1.0000000019352089,0.9999953018857453
fp32,0.001,0.999999999330088,1.000000000437686,0.999998523158445
fp32,0.0015,1.000000000516906,1.0000000002606326,0.9999990014172295
fp32,0.002,0.9999999999172992,0.9999999995448656,0.9999992312069705
fp32,0.003,0.9999999990986485,1.000000000615557,0.9999994616830902
fp32,0.004,0.9999999986482959,1.000000000420037,0.9999995781223124
fp32,0.005,0.9999999987794287,1.0000000007126337,0.9999996486722245
fp32,0.01,1.0000000001019573,1.0000000003258158,0.9999997814374514
fp32,1e-05,0.9999999972731268,1.0000000791861667,0.9998623606027014
fp32,3e-05,1.000000000016729,1.0000000128380553,0.9999540376883905
int8,0.0001,0.23565858009720453,4.243437746971213,0.9556657624821951
int8,0.0003,0.40758976897663973,2.4535204931193277,0.9591464799092015
int8,0.001,0.7181631742624479,1.3924321034010059,0.9690901735292995
int8,0.0015,0.8293570161549783,1.2057415175430084,0.9745614444652738
int8,0.002,0.8910269144599297,1.122298126590846,0.9787604693262538
int8,0.003,0.9467247091642914,1.0562734989199134,0.9844043816819659
int8,0.004,0.9689231824825555,1.0320730298280691,0.9878307555266553
int8,0.005,0.9797462951806055,1.0206749350076019,0.9900681238578568
int8,0.01,0.9947742097885973,1.0052535267221125,0.9948712461410387
int8,1e-05,0.07450058398802936,13.424008104733753,0.9523344237813389
int8,3e-05,0.12903906294902528,7.7493614731525,0.9541280397359853
