p,h_raw,h_active,corr_fd_true,nMSE_fd_true,probe_alignment,probe_norm_ratio
0.003,0.00016431676725154983,0.0029999999999999996,0.9619300462581334,0.07055261129423321,0.9306156101198416,1.0750645644174242
0.003,0.0003286335345030997,0.006,0.9906913979566745,0.01746394596815875,0.9775259258171274,1.0231340858153752
0.003,0.0006572670690061994,0.012,0.9881120723050699,0.021157469034634172,0.9902248417192625,1.0099089484886399
0.003,0.0013145341380123988,0.024,0.9767959651691888,0.0407386815893959,0.9945996055614438,1.005475894624544
0.003,4.107919181288746e-05,0.0007499999999999999,0.854869959887324,0.3539201498153629,0.6102726576636438,1.6430458336854785
0.003,8.215838362577491e-05,0.0014999999999999998,0.9065386889914556,0.2649669473755392,0.8051189080426078,1.2438970059877732
0.01,0.00015,0.0014999999999999998,0.7927410289820659,0.5187769559033438,0.8028896404306884,1.2598385175174234
0.01,0.0003,0.0029999999999999996,0.9242056864778558,0.21420233273585707,0.9269492935737109,1.0832206602563137
0.01,0.0006,0.005999999999999999,0.9553793855094993,0.0922188742017937,0.9751709398866611,1.0260352144630385
0.01,0.0012,0.011999999999999999,0.9824555882747362,0.034933276567558486,0.990750041160201,1.0093906741856846
0.01,0.0024,0.023999999999999997,0.9238386286759943,0.14795927706109283,0.9964977430457074,1.0035178496062538
0.01,7.5e-05,0.0007499999999999999,0.623729475015669,1.7884371236211223,0.6101409060561824,1.66517740109059
0.03,0.0001299038105676658,0.00075,0.8187726672360642,0.7654455667946289,0.6130902523274763,1.6334909351032583
0.03,0.0002598076211353316,0.0015,0.9245233902848458,0.2279048484305766,0.8070016720647883,1.2404226610309215
0.03,0.0005196152422706632,0.003,0.9635842323355494,0.08053417051783855,0.9306211533296564,1.074984919909203
0.03,0.0010392304845413265,0.006,0.981232862543972,0.03705922480681652,0.9769387188180638,1.02370418618349
0.03,0.002078460969082653,0.012,0.9808611052490597,0.037331185047610765,0.9920074536291603,1.0080726030117109
0.03,0.004156921938165306,0.024,0.8909403056396739,0.20329870944483489,0.997174440318557,1.0028345213487202
0.1,0.00023717082451262845,0.00075,0.7764994556916835,0.5190123461520451,0.6139980565039057,1.6302162724467968
0.1,0.0004743416490252569,0.0015,0.9569491078838158,0.10727207332904606,0.8081609263043076,1.2381300854470665
0.1,0.0009486832980505138,0.003,0.9817639174690634,0.03667264277150556,0.9320082203322698,1.0731663113737002
0.1,0.0018973665961010276,0.006,0.9824614024168168,0.037494730196405715,0.9785587343181421,1.0219371795515266
0.1,0.003794733192202055,0.011999999999999999,0.9392351261589259,0.14743732123421516,0.9933217302954247,1.0067258010779727
0.1,0.00758946638440411,0.023999999999999997,0.13788299768095255,1.045235909586726,0.9978010993431559,1.0022039966642695
