precision_mode,quantization_algorithm,group_size,direction_type,h_raw,h_active,num_probe_rows,probe_active_frac_mean,probe_alignment_mean,probe_norm_ratio_mean,fd_zero_ratio,corr_fd_true,nMSE_fd_true,sign_agreement
int8,groupwise_int8_block256,256,dense,0.0001,0.0001,50,0.991308059004691,0.4628627573266361,2.160473760024687,0.0,0.6950809558779053,1.4901856144817933,0.7
int8,groupwise_int8_block256,256,dense,0.0003,0.0003,50,0.9942540035886127,0.7688788746387581,1.300603896466307,0.0,0.8570012376791822,0.3312004483199454,0.86
int8,groupwise_int8_block256,256,dense,0.0007,0.0007,50,0.9968898307135987,0.9375466468970691,1.0666158878573575,0.0,0.9660296596914298,0.06825275529802684,0.98
int8,groupwise_int8_block256,256,dense,0.001,0.001,50,0.9977289927942066,0.9678022147207801,1.0332674106496176,0.0,0.9827797999348691,0.033538760318110955,0.92
int8,groupwise_int8_block256,256,dense,0.0015,0.0015,50,0.9984462273204157,0.9852735947264205,1.0149449685842828,0.0,0.9903729237876536,0.02027371317704562,0.96
int8,groupwise_int8_block256,256,dense,0.002,0.002,50,0.9988230904870866,0.991626762846368,1.0084438082566183,0.0,0.9893764702577811,0.02212406685155305,0.96
int8,groupwise_int8_block256,256,dense,0.0025,0.0025,50,0.9990536061714965,0.9946106693088586,1.0054178142783323,0.0,0.9829215045111221,0.03688036774306651,0.96
int8,groupwise_int8_block256,256,dense,0.003,0.003,50,0.9992089194738746,0.996243093744777,1.0037727066772162,0.0,0.9764019997214975,0.0524591519864311,0.94
int8,groupwise_int8_block256,256,dense,0.004,0.004,50,0.9994041580451185,0.9978745004365175,1.0021301368625706,0.0,0.9440130978744673,0.11587489452804287,0.88
int8,groupwise_int8_block256,256,dense,0.005,0.005,50,0.9995216163925167,0.99863240865962,1.0013694733218346,0.0,0.8825608525165924,0.22447410779604965,0.84
int8,groupwise_int8_block256,256,dense,0.01,0.01,50,0.9997549482882138,0.9996463673553541,1.0003537980651585,0.0,0.21594015937980246,1.0631087608554082,0.62
