group,model,dataset,seed,L_mode,selector,selected_h2,selected_L_q50,selected_L_q90,selected_L_q95,selection_status,flags
A_seed,roberta-large,sst-5,16,L_clean32,plateau_q90_primary,1e-05,1.314945407346826e-05,5.6396477336091626e-05,7.787436762410518e-05,selected,
A_seed,roberta-large,sst-5,16,L_oracle_precision,plateau_q90_primary,0.0003,1.4441578767773483e-05,2.7783449129251515e-05,2.9164390272689458e-05,selected,
A_seed,roberta-large,sst-5,16,L_oracle_precision,old_snr_max_fallback_ablation,3e-05,0.0006233803779036149,0.0008291248636179421,0.0008508979617033037,selected,ablation_only
A_seed,roberta-large,sst-5,17,L_clean32,plateau_q90_primary,1e-05,1.753287147464424e-05,4.1787207834611823e-05,4.2810042324715576e-05,selected,
A_seed,roberta-large,sst-5,17,L_oracle_precision,plateau_q90_primary,0.0003,1.1012691767944354e-05,2.8240023469181853e-05,2.8458166272649638e-05,selected,
A_seed,roberta-large,sst-5,17,L_oracle_precision,old_snr_max_fallback_ablation,0.0001,5.704247074899267e-05,0.00013372420625242974,0.00016972559366874277,selected,ablation_only
A_seed,roberta-large,sst-5,18,L_clean32,plateau_q90_primary,1e-05,1.899399735621089e-05,3.0102578487417796e-05,3.1124845076494956e-05,selected,
A_seed,roberta-large,sst-5,18,L_oracle_precision,plateau_q90_primary,0.0003,1.4546594410945442e-05,2.1903170165875792e-05,2.6850721664037613e-05,selected,
A_seed,roberta-large,sst-5,18,L_oracle_precision,old_snr_max_fallback_ablation,0.0003,1.4546594410945442e-05,2.1903170165875792e-05,2.6850721664037613e-05,selected,ablation_only
A_seed,roberta-large,sst-5,19,L_clean32,plateau_q90_primary,3e-05,1.0065598530933538e-05,1.526074956373058e-05,1.867028525348207e-05,selected,
A_seed,roberta-large,sst-5,19,L_oracle_precision,plateau_q90_primary,0.0003,4.364085881588474e-06,1.6085250761613418e-05,1.812141522154427e-05,selected,
A_seed,roberta-large,sst-5,19,L_oracle_precision,old_snr_max_fallback_ablation,3e-05,0.0006546158324493782,0.0008166860721919118,0.0008239837691532066,selected,ablation_only
B_task,roberta-large,rte,16,L_clean32,plateau_q90_primary,0.0003,6.001720027454523e-06,9.779124066536904e-06,9.84621286019322e-06,selected,
B_task,roberta-large,rte,16,L_oracle_precision,plateau_q90_primary,0.0003,7.1691407716322655e-06,8.717442008800566e-06,9.553650831351e-06,selected,
B_task,roberta-large,rte,16,L_oracle_precision,old_snr_max_fallback_ablation,0.004,6.853544151466581e-06,1.129773821592767e-05,1.1304423520985706e-05,selected,ablation_only;fallback_max_snr
B_task,roberta-large,rte,17,L_clean32,plateau_q90_primary,1e-05,5.844533400957152e-06,9.643444525352297e-06,1.066615070915645e-05,selected,
B_task,roberta-large,rte,17,L_oracle_precision,plateau_q90_primary,0.0003,8.5199577577303e-06,1.2363525342458698e-05,1.2364134700594505e-05,selected,
B_task,roberta-large,rte,17,L_oracle_precision,old_snr_max_fallback_ablation,0.001,6.8844142434189795e-06,9.254530166123733e-06,9.431352096038985e-06,selected,ablation_only
B_task,roberta-large,rte,18,L_clean32,plateau_q90_primary,1e-05,1.607283627138207e-05,7.685795042178557e-05,9.32155916647633e-05,selected,
B_task,roberta-large,rte,18,L_oracle_precision,plateau_q90_primary,0.0003,7.428815196252207e-06,1.0796358328852658e-05,1.1632204248327622e-05,selected,
B_task,roberta-large,rte,18,L_oracle_precision,old_snr_max_fallback_ablation,0.0003,7.428815196252207e-06,1.0796358328852658e-05,1.1632204248327622e-05,selected,ablation_only;fallback_max_snr
C_model,OPT-1.3B,sst-2,16,L_clean32,plateau_q90_primary,3e-05,0.00010905149446924025,0.00014293973158293146,0.00014734910874309319,selected,
C_model,OPT-1.3B,sst-2,16,L_oracle_precision,plateau_q90_primary,0.002,3.7970798204261663e-05,0.00014626572668987808,0.000166562988392025,fallback_unreliable,fallback_plateau
C_model,OPT-1.3B,sst-2,16,L_oracle_precision,old_snr_max_fallback_ablation,3e-05,0.002708021912692718,0.0028571025219365394,0.0028737552390584497,selected,ablation_only
C_model,OPT-1.3B,sst-2,17,L_clean32,plateau_q90_primary,3e-05,8.395452192493775e-05,0.0001840807800535694,0.00019897873907061075,selected,
C_model,OPT-1.3B,sst-2,17,L_oracle_precision,plateau_q90_primary,0.0003,4.790895296899052e-05,8.073381884997665e-05,8.287849210604686e-05,selected,
C_model,OPT-1.3B,sst-2,17,L_oracle_precision,old_snr_max_fallback_ablation,1e-05,0.0053065873810605735,0.007093892367976192,0.00715908303741712,selected,ablation_only;fallback_max_snr
