group,model,dataset,seed,selector,Delta_mode,Delta_value,G_method,G_hat,G_h_used,L_mode,L_q,L_hat,L_h2_used,d_trainable,hstar_cont,hstar_nearest_grid,nmse_at_selected_h,corr_at_selected_h,empirical_min_nmse_h,empirical_min_nmse,empirical_max_corr_h,empirical_max_corr,nmse_ratio,corr_gap,success_pass,strict_success_pass,notes
A_seed,roberta-large,sst-5,16,calibrated_hstar_absG_Lclean32_q90,delta_ulp_rms,4.466073069942735e-05,absG,13.599494754343972,0.0003,L_clean32,q90,5.6396477336091626e-05,1e-05,407938142,8.124023243321695e-05,0.0001,0.005800781438414534,0.9970338671494801,0.0003,0.0031969521112075946,0.0003,0.9985536002506507,1.8144724208611667,0.001519733101170595,True,False,
A_seed,roberta-large,sst-5,16,calibrated_hstar_absG_Lclean32_q50,delta_ulp_rms,4.466073069942735e-05,absG,13.599494754343972,0.0003,L_clean32,q50,1.314945407346826e-05,1e-05,407938142,0.00016824543325566697,0.0001,0.005800781438414534,0.9970338671494801,0.0003,0.0031969521112075946,0.0003,0.9985536002506507,1.8144724208611667,0.001519733101170595,True,False,
A_seed,roberta-large,sst-5,16,calibrated_hstar_absG_Lclean32_q95,delta_ulp_rms,4.466073069942735e-05,absG,13.599494754343972,0.0003,L_clean32,q95,7.787436762410518e-05,1e-05,407938142,6.9135304442445e-05,0.0001,0.005800781438414534,0.9970338671494801,0.0003,0.0031969521112075946,0.0003,0.9985536002506507,1.8144724208611667,0.001519733101170595,True,False,
A_seed,roberta-large,sst-5,16,calibrated_hstar_absG_Loracle_q90,delta_ulp_rms,4.466073069942735e-05,absG,13.599494754343972,0.0003,L_oracle_precision,q90,2.7783449129251515e-05,0.0003,407938142,0.000115745486952352,0.0001,0.005800781438414534,0.9970338671494801,0.0003,0.0031969521112075946,0.0003,0.9985536002506507,1.8144724208611667,0.001519733101170595,True,False,diagnostic oracle-precision L
A_seed,roberta-large,sst-5,16,oldSNR_L_ablation,delta_ulp_rms,4.466073069942735e-05,absG,13.599494754343972,0.0003,L_oracle_precision,q90,0.0008291248636179421,3e-05,407938142,2.11878640032012e-05,3e-05,0.05234975737244853,0.9719436123972812,0.0003,0.0031969521112075946,0.0003,0.9985536002506507,16.374895692853965,0.026609987853369432,False,False,old SNR L ablation only
A_seed,roberta-large,sst-5,16,calibrated_hstar_richardsonG_Lclean32_q90,delta_ulp_rms,4.466073069942735e-05,richardsonG_candidate,13.666802467239918,0.001,L_clean32,q90,5.6396477336091626e-05,1e-05,407938142,8.144102464083991e-05,0.0001,0.005800781438414534,0.9970338671494801,0.0003,0.0031969521112075946,0.0003,0.9985536002506507,1.8144724208611667,0.001519733101170595,True,False,
A_seed,roberta-large,sst-5,16,mezo_default_h_1e-3,,,,,,,,,,407938142,0.001,0.001,0.0032858061958666402,0.9983672532162138,0.0003,0.0031969521112075946,0.0003,0.9985536002506507,1.0277933733570033,0.0001863470344368734,True,True,reference selector
A_seed,roberta-large,sst-5,16,empirical_probe_min_nmse,,,,,,,,,,407938142,0.0003,0.0003,0.0031969521112075946,0.9985536002506507,0.0003,0.0031969521112075946,0.0003,0.9985536002506507,0.9999999996872021,0.0,True,True,reference selector
A_seed,roberta-large,sst-5,16,empirical_probe_max_corr,,,,,,,,,,407938142,0.0003,0.0003,0.0031969521112075946,0.9985536002506507,0.0003,0.0031969521112075946,0.0003,0.9985536002506507,0.9999999996872021,0.0,True,True,reference selector
A_seed,roberta-large,sst-5,17,calibrated_hstar_absG_Lclean32_q90,delta_ulp_rms,4.466085632157065e-05,absG,18.308295534448792,0.0003,L_clean32,q90,4.1787207834611823e-05,1e-05,407938142,0.00010950618534696413,0.0001,0.0038896694816217873,0.9982430454227458,0.0003,0.0005510358333253506,0.0003,0.9997241517937452,7.058832183543968,0.0014811063709994077,True,False,
A_seed,roberta-large,sst-5,17,calibrated_hstar_absG_Lclean32_q50,delta_ulp_rms,4.466085632157065e-05,absG,18.308295534448792,0.0003,L_clean32,q50,1.753287147464424e-05,1e-05,407938142,0.00016905725091611397,0.0001,0.0038896694816217873,0.9982430454227458,0.0003,0.0005510358333253506,0.0003,0.9997241517937452,7.058832183543968,0.0014811063709994077,True,False,
A_seed,roberta-large,sst-5,17,calibrated_hstar_absG_Lclean32_q95,delta_ulp_rms,4.466085632157065e-05,absG,18.308295534448792,0.0003,L_clean32,q95,4.2810042324715576e-05,1e-05,407938142,0.00010819009409856471,0.0001,0.0038896694816217873,0.9982430454227458,0.0003,0.0005510358333253506,0.0003,0.9997241517937452,7.058832183543968,0.0014811063709994077,True,False,
A_seed,roberta-large,sst-5,17,calibrated_hstar_absG_Loracle_q90,delta_ulp_rms,4.466085632157065e-05,absG,18.308295534448792,0.0003,L_oracle_precision,q90,2.8240023469181853e-05,0.0003,407938142,0.00013320723094665008,0.0001,0.0038896694816217873,0.9982430454227458,0.0003,0.0005510358333253506,0.0003,0.9997241517937452,7.058832183543968,0.0014811063709994077,True,False,diagnostic oracle-precision L
A_seed,roberta-large,sst-5,17,oldSNR_L_ablation,delta_ulp_rms,4.466085632157065e-05,absG,18.308295534448792,0.0003,L_oracle_precision,q90,0.00013372420625242974,0.0001,407938142,6.121464183036457e-05,0.0001,0.0038896694816217873,0.9982430454227458,0.0003,0.0005510358333253506,0.0003,0.9997241517937452,7.058832183543968,0.0014811063709994077,True,False,old SNR L ablation only
A_seed,roberta-large,sst-5,17,calibrated_hstar_richardsonG_Lclean32_q90,delta_ulp_rms,4.466085632157065e-05,richardsonG_candidate,18.350154308173572,0.001,L_clean32,q90,4.1787207834611823e-05,1e-05,407938142,0.00010963129741983017,0.0001,0.0038896694816217873,0.9982430454227458,0.0003,0.0005510358333253506,0.0003,0.9997241517937452,7.058832183543968,0.0014811063709994077,True,False,
A_seed,roberta-large,sst-5,17,mezo_default_h_1e-3,,,,,,,,,,407938142,0.001,0.001,0.0011439426016393835,0.9994685112805256,0.0003,0.0005510358333253506,0.0003,0.9997241517937452,2.075985862226086,0.00025564051321957937,True,True,reference selector
A_seed,roberta-large,sst-5,17,empirical_probe_min_nmse,,,,,,,,,,407938142,0.0003,0.0003,0.0005510358333253506,0.9997241517937452,0.0003,0.0005510358333253506,0.0003,0.9997241517937452,0.999999998185236,0.0,True,True,reference selector
A_seed,roberta-large,sst-5,17,empirical_probe_max_corr,,,,,,,,,,407938142,0.0003,0.0003,0.0005510358333253506,0.9997241517937452,0.0003,0.0005510358333253506,0.0003,0.9997241517937452,0.999999998185236,0.0,True,True,reference selector
A_seed,roberta-large,sst-5,18,calibrated_hstar_absG_Lclean32_q90,delta_ulp_rms,4.466086710821347e-05,absG,17.39243253766267,0.0003,L_clean32,q90,3.0102578487417796e-05,1e-05,407938142,0.00012575195266941092,0.0001,0.002245322978280184,0.9987912225119195,0.0003,0.0003688132040030831,0.0003,0.9997929282320096,6.087967968124715,0.0010017057200900625,True,False,
A_seed,roberta-large,sst-5,18,calibrated_hstar_absG_Lclean32_q50,delta_ulp_rms,4.466086710821347e-05,absG,17.39243253766267,0.0003,L_clean32,q50,1.899399735621089e-05,1e-05,407938142,0.00015831001847550888,0.0001,0.002245322978280184,0.9987912225119195,0.0003,0.0003688132040030831,0.0003,0.9997929282320096,6.087967968124715,0.0010017057200900625,True,False,
A_seed,roberta-large,sst-5,18,calibrated_hstar_absG_Lclean32_q95,delta_ulp_rms,4.466086710821347e-05,absG,17.39243253766267,0.0003,L_clean32,q95,3.1124845076494956e-05,1e-05,407938142,0.00012366960879482542,0.0001,0.002245322978280184,0.9987912225119195,0.0003,0.0003688132040030831,0.0003,0.9997929282320096,6.087967968124715,0.0010017057200900625,True,False,
A_seed,roberta-large,sst-5,18,calibrated_hstar_absG_Loracle_q90,delta_ulp_rms,4.466086710821347e-05,absG,17.39243253766267,0.0003,L_oracle_precision,q90,2.1903170165875792e-05,0.0003,407938142,0.00014742227116333522,0.0001,0.002245322978280184,0.9987912225119195,0.0003,0.0003688132040030831,0.0003,0.9997929282320096,6.087967968124715,0.0010017057200900625,True,False,diagnostic oracle-precision L
A_seed,roberta-large,sst-5,18,oldSNR_L_ablation,delta_ulp_rms,4.466086710821347e-05,absG,17.39243253766267,0.0003,L_oracle_precision,q90,2.1903170165875792e-05,0.0003,407938142,0.00014742227116333522,0.0001,0.002245322978280184,0.9987912225119195,0.0003,0.0003688132040030831,0.0003,0.9997929282320096,6.087967968124715,0.0010017057200900625,True,False,old SNR L ablation only
A_seed,roberta-large,sst-5,18,calibrated_hstar_richardsonG_Lclean32_q90,delta_ulp_rms,4.466086710821347e-05,richardsonG_candidate,17.45595528113198,0.001,L_clean32,q90,3.0102578487417796e-05,1e-05,407938142,0.00012598138660620966,0.0001,0.002245322978280184,0.9987912225119195,0.0003,0.0003688132040030831,0.0003,0.9997929282320096,6.087967968124715,0.0010017057200900625,True,False,
A_seed,roberta-large,sst-5,18,mezo_default_h_1e-3,,,,,,,,,,407938142,0.001,0.001,0.001003113980736314,0.9994962371240971,0.0003,0.0003688132040030831,0.0003,0.9997929282320096,2.71984290998455,0.00029669110791252784,True,True,reference selector
A_seed,roberta-large,sst-5,18,empirical_probe_min_nmse,,,,,,,,,,407938142,0.0003,0.0003,0.0003688132040030831,0.9997929282320096,0.0003,0.0003688132040030831,0.0003,0.9997929282320096,0.9999999972886003,0.0,True,True,reference selector
A_seed,roberta-large,sst-5,18,empirical_probe_max_corr,,,,,,,,,,407938142,0.0003,0.0003,0.0003688132040030831,0.9997929282320096,0.0003,0.0003688132040030831,0.0003,0.9997929282320096,0.9999999972886003,0.0,True,True,reference selector
A_seed,roberta-large,sst-5,19,calibrated_hstar_absG_Lclean32_q90,delta_ulp_rms,4.466083881123877e-05,absG,15.760413483574519,0.0003,L_clean32,q90,1.526074956373058e-05,3e-05,407938142,0.00016812494519997118,0.0001,0.004490579813533493,0.9979791187190773,0.0003,0.0003231810271138406,0.0003,0.9998386912928108,13.894936344938184,0.0018595725737334812,True,False,
A_seed,roberta-large,sst-5,19,calibrated_hstar_absG_Lclean32_q50,delta_ulp_rms,4.466083881123877e-05,absG,15.760413483574519,0.0003,L_clean32,q50,1.0065598530933538e-05,3e-05,407938142,0.00020701427133702286,0.0003,0.0003231810271138406,0.9998386912928108,0.0003,0.0003231810271138406,0.0003,0.9998386912928108,0.999999996905759,0.0,True,True,
A_seed,roberta-large,sst-5,19,calibrated_hstar_absG_Lclean32_q95,delta_ulp_rms,4.466083881123877e-05,absG,15.760413483574519,0.0003,L_clean32,q95,1.867028525348207e-05,3e-05,407938142,0.0001520003583509631,0.0001,0.004490579813533493,0.9979791187190773,0.0003,0.0003231810271138406,0.0003,0.9998386912928108,13.894936344938184,0.0018595725737334812,True,False,
A_seed,roberta-large,sst-5,19,calibrated_hstar_absG_Loracle_q90,delta_ulp_rms,4.466083881123877e-05,absG,15.760413483574519,0.0003,L_oracle_precision,q90,1.6085250761613418e-05,0.0003,407938142,0.00016375937443150073,0.0001,0.004490579813533493,0.9979791187190773,0.0003,0.0003231810271138406,0.0003,0.9998386912928108,13.894936344938184,0.0018595725737334812,True,False,diagnostic oracle-precision L
A_seed,roberta-large,sst-5,19,oldSNR_L_ablation,delta_ulp_rms,4.466083881123877e-05,absG,15.760413483574519,0.0003,L_oracle_precision,q90,0.0008166860721919118,3e-05,407938142,2.298224837757744e-05,3e-05,0.03983272671602085,0.9798596019131349,0.0003,0.0003231810271138406,0.0003,0.9998386912928108,123.25205767335379,0.019979089379675852,False,False,old SNR L ablation only
