h,G_abs,G_rms,d2_mean,d2_abs_mean,alignment_eff,norm_ratio_eff,active_frac_eff,zero_coord_frac_eff,delta_visibility_mse,lowbit_visibility_nmse,corr_d2_h_2h,sign_flip_rate_h_2h,strict_fp16_visibility_pass,lowbit_window_visibility_pass
1e-05,734.3637523333009,585.9375,-585.9375,585.9375,0.054086698698562516,15.108151421885664,0.0018974021856910405,0.998102597814309,9.104321095832797e-08,227.62193935548046,,,False,False
3e-05,101.99496560184734,81.38020833333333,-81.38020833333333,81.38020833333333,0.09399164861332157,8.730746976128312,0.005703588489617832,0.9942964115103822,2.720883187236274e-07,75.58470816501065,,,False,False
0.0001,97.91516697777345,78.125,-78.125,78.125,0.17310013929271859,4.807726133546139,0.01921725265854045,0.9807827473414595,8.979368938693237e-07,22.44979444618757,,,False,False
0.0003,14.279295184258629,11.393229166666668,-11.393229166666668,11.393229166666668,0.30577585497032306,2.8145617842493205,0.05925392458708925,0.9407460754129108,2.5920248156079607e-06,7.200507967298167,,,False,True
0.001,35.49424802944287,28.3203125,-28.3203125,28.3203125,0.580818990001387,1.5922102179579387,0.21017021937458602,0.789829780625414,6.74183497056365e-06,1.6855615168445286,nan,0.0,False,True
0.0015,50.58950293851628,40.364583333333336,-40.364583333333336,40.364583333333336,0.7135274187315497,1.3314615496888398,0.31952582480902425,0.6804741751909757,7.85401139303149e-06,0.8727212129916035,nan,1.0,False,True
0.002,25.090761538054444,20.01953125,-20.01953125,20.01953125,0.8029975190101329,1.202471967841469,0.41677727512653717,0.5832227248734628,8.23589491560698e-06,0.5147748197313865,nan,0.0,False,True
0.003,18.35909380833252,14.6484375,14.6484375,14.6484375,0.8943862684345549,1.0937606507947204,0.5600897274276057,0.43991027257239435,8.633113407078758e-06,0.23982334718805903,,,False,True
0.004,8.108599765346863,6.4697265625,-6.4697265625,6.4697265625,0.9339785493056604,1.049184557945809,0.651951125357292,0.34804887464270795,9.020665554219106e-06,0.14095649386354625,,,False,True
0.005,7.221243564610791,5.76171875,-5.76171875,5.76171875,0.9541240528430303,1.026062556818009,0.7134940896073928,0.2865059103926072,9.481664526904852e-06,0.09482244013513752,nan,1.0,False,True
0.01,11.566229099249488,9.228515625,9.228515625,9.228515625,0.9826046473721722,0.9844359893103917,0.849862336833655,0.15013766316634503,1.3795741161940902e-05,0.03449146077505808,,,False,True
