h2,lambda_q50,lambda_q90,lambda_q95,median_abs_K,MAD_K,SNR2,finite_rate,stability_q90_next,stability_q90_prev,low_h2_noise_suspected
1e-05,4.675494106134234e-05,4.675494106134234e-05,4.675494106134234e-05,19073.486328124996,0.0,1.9073486328124996e+16,1.0,0.013888888591831596,nan,False
3e-05,4.610556687993481e-05,4.610556687993481e-05,4.610556687993481e-05,18808.57679578993,0.0,1.8808576795789932e+16,1.0,,,
0.0001,4.862513870379604e-05,4.862513870379604e-05,4.862513870379604e-05,19836.42578125,0.0,1.983642578125e+16,1.0,,,
0.0003,5.630074152803308e-05,5.630074152803308e-05,5.630074152803308e-05,22967.656453450523,0.0,2.2967656453450524e+16,1.0,,,
0.001,5.546918542003166e-05,5.546918542003166e-05,5.546918542003166e-05,22628.426551818848,0.0,2.262842655181885e+16,1.0,,,
0.0015,4.347339357301752e-05,4.347339357301752e-05,4.347339357301752e-05,17734.79249742296,0.0,1.7734792497422962e+16,1.0,,,
0.002,3.9161281141621675e-05,3.9161281141621675e-05,3.9161281141621675e-05,15975.68392753601,0.0,1.5975683927536012e+16,1.0,,,
0.003,5.9402899398744064e-05,5.9402899398744064e-05,5.9402899398744064e-05,24233.169025844996,0.0,2.4233169025844996e+16,1.0,,,
0.004,4.3870343834346044e-05,4.3870343834346044e-05,4.3870343834346044e-05,17896.726727485657,0.0,1.7896726727485658e+16,1.0,,,
0.005,1.1850121633144075e-05,1.1850121633144075e-05,1.1850121633144075e-05,4834.2084884643555,0.0,4834208488464356.0,1.0,,,
0.01,1.6760535940641024e-05,1.6760535940641024e-05,1.6760535940641024e-05,6837.3918533325195,0.0,6837391853332520.0,1.0,,,
