precision,checkpoint_id,fit_method,A,B,C,h_ref_fit,tau,rho_min_dep,h_low,h_high,default_h,tiny_h,default_in_window,tiny_in_window,fit_quality_r2_or_log_error,fit_stability_flag,status,notes
fp16,task_start_seed16_deterministic,dep_log_soft_l1_reused,3.5484455729321685e-11,7835.639680662244,0.0,,1.0,,,,0.001,1e-05,,,-0.2614445021856537,poor_fit,no_stable_smooth_fit,"fit not used: fit unstable: poor_fit; insufficient fit quality: log_R2=-0.2614, log_RMSE=2.177"
fp16,task_start_seed16_deterministic,dep_log_soft_l1_reused,3.5484455729321685e-11,7835.639680662244,0.0,,5.0,,,,0.001,1e-05,,,-0.2614445021856537,poor_fit,no_stable_smooth_fit,"fit not used: fit unstable: poor_fit; insufficient fit quality: log_R2=-0.2614, log_RMSE=2.177"
fp16,task_start_seed16_deterministic,dep_log_soft_l1_reused,3.5484455729321685e-11,7835.639680662244,0.0,,10.0,,,,0.001,1e-05,,,-0.2614445021856537,poor_fit,no_stable_smooth_fit,"fit not used: fit unstable: poor_fit; insufficient fit quality: log_R2=-0.2614, log_RMSE=2.177"
fp32,task_start_seed16_deterministic,dep_log_soft_l1_reused,7.646493709026629e-17,9938.603472987535,0.0,9.365570620627088e-06,1.0,1.7435076017351848e-06,8.744382759860472e-09,0.01003084034815507,0.001,1e-05,True,True,0.9792953392175414,stable,window,
fp32,task_start_seed16_deterministic,dep_log_soft_l1_reused,7.646493709026629e-17,9938.603472987535,0.0,9.365570620627088e-06,5.0,1.7435076017351848e-06,3.909178322233102e-09,0.022429640889930574,0.001,1e-05,True,True,0.9792953392175414,stable,window,
fp32,task_start_seed16_deterministic,dep_log_soft_l1_reused,7.646493709026629e-17,9938.603472987535,0.0,9.365570620627088e-06,10.0,1.7435076017351848e-06,2.7722771936074128e-09,0.031720302345698316,0.001,1e-05,True,True,0.9792953392175414,stable,window,
int4,task_start_seed16_deterministic,dep_log_soft_l1_reused,6.479899473756806e-06,8525.439776486754,0.0,,1.0,,,,0.001,1e-05,,,0.7072279368948464,poor_fit,no_stable_smooth_fit,"fit not used: fit unstable: poor_fit; insufficient fit quality: log_R2=0.7072, log_RMSE=1.502"
int4,task_start_seed16_deterministic,dep_log_soft_l1_reused,6.479899473756806e-06,8525.439776486754,0.0,,5.0,,,,0.001,1e-05,,,0.7072279368948464,poor_fit,no_stable_smooth_fit,"fit not used: fit unstable: poor_fit; insufficient fit quality: log_R2=0.7072, log_RMSE=1.502"
int4,task_start_seed16_deterministic,dep_log_soft_l1_reused,6.479899473756806e-06,8525.439776486754,0.0,,10.0,,,,0.001,1e-05,,,0.7072279368948464,poor_fit,no_stable_smooth_fit,"fit not used: fit unstable: poor_fit; insufficient fit quality: log_R2=0.7072, log_RMSE=1.502"
int8,task_start_seed16_deterministic,dep_log_soft_l1_reused,1.4801532712577964e-08,4381.627049720918,0.0,0.0013557131858420257,1.0,0.016106495101139866,0.00012166549546810816,0.015106651521817732,0.001,1e-05,True,False,0.9233128169899631,stable,window,
int8,task_start_seed16_deterministic,dep_log_soft_l1_reused,1.4801532712577964e-08,4381.627049720918,0.0,0.0013557131858420257,5.0,0.016106495101139866,5.44087697170797e-05,0.03378055140399436,0.001,1e-05,True,False,0.9233128169899631,stable,window,
int8,task_start_seed16_deterministic,dep_log_soft_l1_reused,1.4801532712577964e-08,4381.627049720918,0.0,0.0013557131858420257,10.0,0.016106495101139866,3.8472772596754036e-05,0.047772960414757884,0.001,1e-05,True,False,0.9233128169899631,stable,window,
