dir,csv,eps,eps_exponent,best_eval_loss,best_train_loss
SST-2-roberta-large-prompt-standard-k16-roberta-large-mezo-ftseed16-bs64-lr1e-6-eps1e-8-wd0-step50000-evalstep5000,metrics_adaptiveH-0_cscale-0_layerwiseH-0.csv,1e-08,-8,0.1850215345621109,0.0750038623809814
SST-2-roberta-large-prompt-standard-k16-roberta-large-mezo-ftseed16-bs64-lr1e-6-eps1e-7-wd0-step50000-evalstep5000,metrics_adaptiveH-0_cscale-0_layerwiseH-0.csv,1e-07,-7,0.1821150183677673,0.0687182396650314
SST-2-roberta-large-prompt-standard-k16-roberta-large-mezo-ftseed16-bs64-lr1e-6-eps1e-6-wd0-step50000-evalstep5000,metrics_adaptiveH-0_cscale-0_layerwiseH-0.csv,1e-06,-6,0.191792756319046,0.0719510465860366
SST-2-roberta-large-prompt-standard-k16-roberta-large-mezo-ftseed16-bs64-lr1e-6-eps1e-5-wd0-step50000-evalstep5000,metrics_adaptiveH-0_cscale-0_layerwiseH-0.csv,1e-05,-5,0.1914035528898239,0.0729700326919555
SST-2-roberta-large-prompt-standard-k16-roberta-large-mezo-ftseed16-bs64-lr1e-6-eps1e-4-wd0-step50000-evalstep5000,metrics_adaptiveH-0_cscale-0_layerwiseH-0.csv,0.0001,-4,0.187852069735527,0.0718562602996826
SST-2-roberta-large-prompt-standard-k16-roberta-large-mezo-ftseed16-bs64-lr1e-6-eps1.78e-4-wd0-step50000-evalstep5000,metrics_adaptiveH-0_cscale-0_layerwiseH-0.csv,0.000178,-4,0.1892574578523636,0.0719706565141677
SST-2-roberta-large-prompt-standard-k16-roberta-large-mezo-ftseed16-bs64-lr1e-6-eps3.16e-4-wd0-step50000-evalstep5000,metrics_adaptiveH-0_cscale-0_layerwiseH-0.csv,0.000316,-4,0.1908374577760696,0.0709016472101211
SST-2-roberta-large-prompt-standard-k16-roberta-large-mezo-ftseed16-bs64-lr1e-6-eps5.62e-4-wd0-step50000-evalstep5000,metrics_adaptiveH-0_cscale-0_layerwiseH-0.csv,0.000562,-3,0.1933889538049698,0.0680154636502265
SST-2-roberta-large-prompt-standard-k16-roberta-large-mezo-ftseed16-bs64-lr1e-6-eps1e-3-wd0-step50000-evalstep5000,metrics_adaptiveH-0_cscale-0_layerwiseH-0.csv,0.001,-3,0.1916791945695877,0.0656127780675888
SST-2-roberta-large-prompt-standard-k16-roberta-large-mezo-ftseed16-bs64-lr1e-6-eps1.78e-3-wd0-step50000-evalstep5000,metrics_adaptiveH-0_cscale-0_layerwiseH-0.csv,0.00178,-3,0.189287930727005,0.0641509592533111
SST-2-roberta-large-prompt-standard-k16-roberta-large-mezo-ftseed16-bs64-lr1e-6-eps3.16e-3-wd0-step50000-evalstep5000,metrics_adaptiveH-0_cscale-0_layerwiseH-0.csv,0.00316,-3,0.1933523416519165,0.0731806457042694
SST-2-roberta-large-prompt-standard-k16-roberta-large-mezo-ftseed16-bs64-lr1e-6-eps5.62e-3-wd0-step50000-evalstep5000,metrics_adaptiveH-0_cscale-0_layerwiseH-0.csv,0.00562,-2,0.2859965562820434,0.2730322182178497
SST-2-roberta-large-prompt-standard-k16-roberta-large-mezo-ftseed16-bs64-lr1e-6-eps1e-2-wd0-step50000-evalstep5000,metrics_adaptiveH-0_cscale-0_layerwiseH-0.csv,0.01,-2,0.8172279596328735,0.5502142906188965
