h,fp32_eval_acc_last5_mean,fp16_eval_acc
1e-08,0.2588555858310627,
3e-08,0.5302452316076293,
1e-07,0.4948228882833788,
3e-07,0.49936421435059036,
1e-06,0.5160762942779292,0.2997658079625293
3e-06,0.51480472297911,0.4918032786885246
1e-05,0.5158946412352406,0.5199063231850117
3e-05,0.5235240690281563,0.5199063231850117
0.0001,0.522252497729337,0.5187353629976581
0.0003,0.5211625794732062,0.5175644028103045
0.001,0.5200726612170754,0.531615925058548
0.003,0.5046321525885559,0.5128805620608899
0.01,0.25340599455040874,0.275175644028103
