global_step,eps,zo_two_point_precision,fd_mean,td_mean,mae,rmse,sign_acc,corr,probe_num_seeds
200,3e-08,fp32,-2.6077037304639816,-2.9146960377693176,2.611685112118721,3.024605719547283,1.0,0.9986051821962478,16
400,3e-08,fp32,9.064873330295086,7.144229352474213,2.855799727141857,3.664160766327227,1.0,0.996734062025385,16
600,3e-08,fp32,-3.7252903804183006,-5.1725426614284515,3.874016486108303,4.641362455073093,0.875,0.9851099153078636,16
800,3e-08,fp32,11.051695317029953,11.161958158016205,4.25988295674324,5.063253327808137,0.875,0.9949408065320916,16
1000,3e-08,fp32,-7.574757032096386,-7.808039426803589,3.8991276547312737,4.899524172765657,1.0,0.995416666596155,16
1200,3e-08,fp32,4.594524830579758,3.423257052898407,4.133717507123947,5.0311197041023785,0.875,0.9843143627822998,16
1400,3e-08,fp32,11.424223504960537,10.897698819637299,3.018089197576046,3.4253766630063214,1.0,0.9956387137278659,16
1600,3e-08,fp32,12.541811101138592,12.224324256181717,2.4924856200814247,2.9691333715383874,1.0,0.994340562551039,16
1800,3e-08,fp32,-6.208817087113857,-6.109711483120918,3.128784291446209,3.7439119029044474,0.9375,0.9938500998895784,16
2000,3e-08,fp32,-8.443991988897324,-6.670198023319244,2.873065620660782,3.6387994158237875,1.0,0.9977519503124151,16
2200,3e-08,fp32,-5.339582845568657,-5.466435670852661,3.6558380872011185,4.422706752686251,1.0,0.9938322256625909,16
2400,3e-08,fp32,5.339583069086075,4.931282877922058,3.221353381872177,3.9468390435488323,0.875,0.9951351131482891,16
2600,3e-08,fp32,2.9802322313189507,2.460828512907028,3.308817259967327,4.174237566080633,0.875,0.9952701334066324,16
2800,3e-08,fp32,1.6142923459410667,0.5517393350601196,3.7234236374497414,4.571122733371141,1.0,0.9960848908705704,16
3000,3e-08,fp32,12.541810810565948,13.352786600589752,3.084445148706436,3.9944458959344553,1.0,0.9938024217678899,16
3200,3e-08,fp32,10.306636273860931,8.10702508687973,2.50923752784729,3.7895575333432707,1.0,0.9975889494623403,16
3400,3e-08,fp32,27.070444107055664,28.380226463079453,4.2674082815647125,5.135716816631092,1.0,0.984221523073498,16
3600,3e-08,fp32,-8.692344062030315,-8.890948504209518,3.0866445675492287,3.9153879537315603,0.75,0.9966208829253549,16
3800,3e-08,fp32,12.541810870170593,12.175488770008087,3.548052132129669,4.0900293491168735,0.875,0.9926861455105769,16
4000,3e-08,fp32,4.097819268703461,5.484628796577454,3.480569541454315,4.320955958948336,1.0,0.9968252161670462,16
4200,3e-08,fp32,0.37252940982580185,1.6859430074691772,3.8765788599848747,4.731083120450512,1.0,0.9957687015022396,16
4400,3e-08,fp32,-3.973642908036709,-3.5924111902713776,2.719888411462307,3.7955756743076035,0.9375,0.9969183882696713,16
4600,3e-08,fp32,-5.215406410396099,-5.110808342695236,3.6692709252238274,4.492207251055015,1.0,0.9900991221141069,16
4800,3e-08,fp32,0.7450576797127724,1.929409682750702,3.714488960802555,5.057959564550501,1.0,0.9910792678442356,16
5000,3e-08,fp32,-3.8494666814804077,-3.721956253051758,4.1303359270095825,5.3218812781158045,1.0,0.9938553009759685,16
5200,3e-08,fp32,-4.097819320857525,-3.522084206342697,3.394822381436825,4.227994002213052,1.0,0.9929560561198476,16
5400,3e-08,fp32,7.450580298900604,9.502625554800034,4.219493478536606,5.391041568641506,1.0,0.9922741157741413,16
