precision_mode,h,best_eval_loss,last_eval_loss
fp32,1e-05,1.2051464319229126,1.2051464319229126
fp16,1e-05,1.380859375,1.380859375
fp32,0.002,1.232218623161316,1.232218623161316
fp16,0.002,1.46875,1.46875
fp32,3e-05,1.2054637670516968,1.2054637670516968
fp16,3e-05,1.3984375,1.3984375
fp32,0.003,1.2771409749984741,1.2771409749984741
fp16,0.003,1.4853515625,1.4853515625
fp32,0.0001,1.2052714824676514,1.2052714824676514
fp16,0.0001,1.4072265625,1.4072265625
fp32,0.004,1.3590304851531982,1.3590304851531982
fp16,0.004,1.5478515625,1.5478515625
fp32,0.0003,1.2217601537704468,1.2217601537704468
fp16,0.0003,1.45703125,1.45703125
fp32,0.005,1.4804675579071045,1.4804675579071045
fp16,0.005,1.5478515625,1.5478515625
fp32,0.001,1.2280547618865967,1.2280547618865967
fp16,0.001,1.4482421875,1.4482421875
fp32,0.0015,1.2346433401107788,1.2346433401107788
fp16,0.0015,1.392578125,1.392578125
fp32,0.01,1.6413358449935913,1.689415693283081
fp16,0.01,1.615234375,1.6328125
