precision_mode,h,probe_nMSE_fd_true,probe_corr_fd_true,best_eval_acc,last_eval_acc,best_eval_loss,last_eval_loss
fp32,1e-05,,,0.48243559718969553,0.477751756440281,1.2051464319229126,1.2051464319229126
fp16,1e-05,,,0.4637002341920375,0.4637002341920375,1.380859375,1.380859375
fp32,0.002,,,0.4812646370023419,0.48009367681498827,1.232218623161316,1.232218623161316
fp16,0.002,,,0.4379391100702576,0.4379391100702576,1.46875,1.46875
fp32,3e-05,,,0.48711943793911006,0.48009367681498827,1.2054637670516968,1.2054637670516968
fp16,3e-05,,,0.4566744730679157,0.4566744730679157,1.3984375,1.3984375
fp32,0.003,,,0.48009367681498827,0.48009367681498827,1.2771409749984741,1.2771409749984741
fp16,0.003,,,0.40866510538641687,0.40866510538641687,1.4853515625,1.4853515625
fp32,0.0001,,,0.48360655737704916,0.477751756440281,1.2052714824676514,1.2052714824676514
fp16,0.0001,,,0.4637002341920375,0.4637002341920375,1.4072265625,1.4072265625
fp32,0.004,,,0.4613583138173302,0.4613583138173302,1.3590304851531982,1.3590304851531982
fp16,0.004,,,0.32669789227166274,0.32669789227166274,1.5478515625,1.5478515625
fp32,0.0003,,,0.48009367681498827,0.4718969555035129,1.2217601537704468,1.2217601537704468
fp16,0.0003,,,0.43559718969555034,0.43559718969555034,1.45703125,1.45703125
fp32,0.005,,,0.38875878220140514,0.38875878220140514,1.4804675579071045,1.4804675579071045
fp16,0.005,,,0.3372365339578454,0.3372365339578454,1.5478515625,1.5478515625
fp32,0.001,,,0.477751756440281,0.46955503512880564,1.2280547618865967,1.2280547618865967
fp16,0.001,,,0.44730679156908665,0.44730679156908665,1.4482421875,1.4482421875
fp32,0.0015,,,0.477751756440281,0.477751756440281,1.2346433401107788,1.2346433401107788
fp16,0.0015,,,0.45784543325526933,0.45784543325526933,1.392578125,1.392578125
fp32,0.01,,,0.2775175644028103,0.275175644028103,1.6413358449935913,1.689415693283081
fp16,0.01,,,0.26229508196721313,0.2611241217798595,1.615234375,1.6328125
