file,h,step,total_steps,progress_pct,elapsed,remain_from_tqdm,sec_per_step,steps_per_hour,est_total_hours,est_remaining_hours
mnli_opt2p7b_zo_hsweep_43655841_0.out,1e-8,4993,49087,10.171735897488134,99:57:05,884:25:06,72.21,49.85459077690071,984.6034083333332,884.45215
mnli_opt2p7b_zo_hsweep_43655841_1.out,3e-8,4976,49087,10.137103510094322,99:57:21,887:42:14,72.45,49.68944099378882,987.875875,887.733875
mnli_opt2p7b_zo_hsweep_43655841_10.out,1e-3,827,49087,1.6847637867459817,16:33:52,965:44:05,72.04,49.97223764575236,982.2854111111112,965.7362222222223
mnli_opt2p7b_zo_hsweep_43655841_11.out,3e-3,315,49087,0.6417177664147331,6:18:57,977:33:44,72.16,49.889135254988915,983.9216444444444,977.6076444444444
mnli_opt2p7b_zo_hsweep_43655841_2.out,1e-7,4975,49087,10.135066310835864,99:57:06,897:21:47,73.23,49.16018025399426,998.5113916666668,897.3116000000001
mnli_opt2p7b_zo_hsweep_43655841_3.out,3e-7,4981,49087,10.14728950638662,99:55:35,885:09:30,72.25,49.826989619377166,985.1488194444445,885.1829166666666
mnli_opt2p7b_zo_hsweep_43655841_4.out,1e-6,4948,49087,10.080061930857457,99:06:18,892:44:17,72.81,49.44375772558714,992.784575,892.7112750000001
mnli_opt2p7b_zo_hsweep_43655841_5.out,3e-6,5432,49087,11.066066371951841,97:59:10,787:47:21,64.96,55.41871921182266,885.7476444444443,787.7302222222222
mnli_opt2p7b_zo_hsweep_43655841_6.out,1e-5,2915,49087,5.9384358384093545,58:30:29,925:17:33,72.14,49.90296645411699,983.6489388888889,925.2355777777778
mnli_opt2p7b_zo_hsweep_43655841_7.out,3e-5,2664,49087,5.427098824536028,48:01:49,837:04:29,64.91,55.461408103527965,885.0658805555555,837.0324805555555
mnli_opt2p7b_zo_hsweep_43655841_8.out,1e-4,825,49087,1.6806893882290626,16:34:35,972:40:48,72.55,49.62095106822881,989.2394027777779,972.6133611111111
mnli_opt2p7b_zo_hsweep_43655841_9.out,3e-4,825,49087,1.6806893882290626,16:34:28,967:20:26,72.16,49.889135254988915,983.9216444444444,967.3849777777777
