task,mode,h_policy,h_value,seeds,n_seeds,run_types,best_eval_acc_mean,best_eval_acc_std,final_eval_acc_mean,final_eval_acc_std,n_runs
mnli,prefix,default,0.001,16,1,full,0.394270435446906,,0.3332824038706392,,1
mnli,prefix,fixed-small,1e-05,16,1,full,0.3359052711993888,,0.3332060096765979,,1
mnli,prefix,reference,0.1059865385430891,16,1,full,0.4210084033613445,,0.4210084033613445,,1
rte,prefix,default,0.001,16,1,full,0.5341365461847389,,0.4979919678714859,,1
rte,prefix,fixed-small,1e-05,16,1,medium,0.5622489959839357,,0.5261044176706827,,1
rte,prefix,reference,0.072807568266058,16,1,full,0.5622489959839357,,0.5622489959839357,,1
sst-2,prefix,default,0.001,16,1,full,0.6120267260579064,,0.5606533036377135,,1
sst-2,prefix,fixed-small,1e-05,16,1,full,0.5529324424647365,,0.4487008166295471,,1
sst-2,prefix,reference,0.0886419832658425,16,1,full,0.8911655530809206,,0.8911655530809206,,1
sst-5,prefix,default,0.001,16,1,full,0.319672131147541,,0.2599531615925058,,1
sst-5,prefix,fixed-small,1e-05,16,1,full,0.275175644028103,,0.2224824355971897,,1
sst-5,prefix,reference,0.0804720147886286,16,1,full,0.4250585480093676,,0.4250585480093676,,1
trec,prefix,default,0.001,16,1,full,0.2417582417582417,,0.1556776556776556,,1
trec,prefix,fixed-small,1e-05,16,1,full,0.2234432234432234,,0.2234432234432234,,1
trec,prefix,reference,0.0949896412434653,16,1,full,0.7234432234432234,,0.7234432234432234,,1
