run_name,precision_mode,h,seed,data_seed,batch_size,max_steps,steps_completed,best_eval_acc,best_eval_step,last_eval_acc,last_eval_step,best_eval_loss,last_eval_loss,final_train_loss,final_train_acc,nan_occurred,checkpoint_count,final_checkpoint_path,best_acc_checkpoint_path,best_loss_checkpoint_path,probe_corr_fd_true,probe_nMSE_fd_true,probe_alignment,probe_norm_ratio,status,source_path,source,last5_eval_acc_mean,last5_eval_acc_std,last5_eval_loss_mean,last5_eval_loss_std,last5_train_acc_mean,last5_train_acc_std,first_nan_step,probe_sign_agreement,model,task,run_type,h_policy,git_commit
fp32_h1e-5_seed16_bs64_ckpt1k,fp32,1e-05,16,16,64,20000,19990,0.4824355971896955,16990.0,0.477751756440281,19990.0,1.2051464319229126,1.2051464319229126,1.2351832389831543,0.484375,False,23,/scratch/jy03364/MeZO_/experiments/main_latest/mezo/roberta-large/sst5/fp32_fp16_h_sweep_11h_seed16_bs64_ckpt1k_20260517/fp32/h_sweep_11h_checkpointed/results/fp32_h1e-5_seed16_bs64_ckpt1k/seed16/checkpoints/final,/scratch/jy03364/MeZO_/experiments/main_latest/mezo/roberta-large/sst5/fp32_fp16_h_sweep_11h_seed16_bs64_ckpt1k_20260517/fp32/h_sweep_11h_checkpointed/results/fp32_h1e-5_seed16_bs64_ckpt1k/seed16/checkpoints/best_acc,/scratch/jy03364/MeZO_/experiments/main_latest/mezo/roberta-large/sst5/fp32_fp16_h_sweep_11h_seed16_bs64_ckpt1k_20260517/fp32/h_sweep_11h_checkpointed/results/fp32_h1e-5_seed16_bs64_ckpt1k/seed16/checkpoints/best_loss,,,1.0000000025583198,1.0000000525835189,completed,experiments/main_latest/mezo/roberta-large/sst5/fp32_fp16_h_sweep_11h_seed16_bs64_ckpt1k_20260517/summaries/summary_all.csv,,,,,,,,,,roberta-large,sst-5,partial,h=1e-05,07c96b8c93a576c66f468835f06a3d8861b1b27a
fp16_h1e-5_seed16_bs64_ckpt1k,fp16,1e-05,16,16,64,20000,19990,0.4637002341920375,18990.0,0.4637002341920375,19990.0,1.380859375,1.380859375,1.365997314453125,0.46875,False,23,/scratch/jy03364/MeZO_/experiments/main_latest/mezo/roberta-large/sst5/fp32_fp16_h_sweep_11h_seed16_bs64_ckpt1k_20260517/fp16/h_sweep_11h_checkpointed/results/fp16_h1e-5_seed16_bs64_ckpt1k/seed16/checkpoints/final,/scratch/jy03364/MeZO_/experiments/main_latest/mezo/roberta-large/sst5/fp32_fp16_h_sweep_11h_seed16_bs64_ckpt1k_20260517/fp16/h_sweep_11h_checkpointed/results/fp16_h1e-5_seed16_bs64_ckpt1k/seed16/checkpoints/best_acc,/scratch/jy03364/MeZO_/experiments/main_latest/mezo/roberta-large/sst5/fp32_fp16_h_sweep_11h_seed16_bs64_ckpt1k_20260517/fp16/h_sweep_11h_checkpointed/results/fp16_h1e-5_seed16_bs64_ckpt1k/seed16/checkpoints/best_loss,,,0.999999997848377,1.0000002589327206,completed,experiments/main_latest/mezo/roberta-large/sst5/fp32_fp16_h_sweep_11h_seed16_bs64_ckpt1k_20260517/summaries/summary_all.csv,,,,,,,,,,roberta-large,sst-5,partial,h=1e-05,07c96b8c93a576c66f468835f06a3d8861b1b27a
fp32_h2e-3_seed16_bs64_ckpt1k,fp32,0.002,16,16,64,20000,19990,0.4812646370023419,18990.0,0.4800936768149882,19990.0,1.232218623161316,1.232218623161316,1.278825283050537,0.453125,False,23,/scratch/jy03364/MeZO_/experiments/main_latest/mezo/roberta-large/sst5/fp32_fp16_h_sweep_11h_seed16_bs64_ckpt1k_20260517/fp32/h_sweep_11h_checkpointed/results/fp32_h2e-3_seed16_bs64_ckpt1k/seed16/checkpoints/final,/scratch/jy03364/MeZO_/experiments/main_latest/mezo/roberta-large/sst5/fp32_fp16_h_sweep_11h_seed16_bs64_ckpt1k_20260517/fp32/h_sweep_11h_checkpointed/results/fp32_h2e-3_seed16_bs64_ckpt1k/seed16/checkpoints/best_acc,/scratch/jy03364/MeZO_/experiments/main_latest/mezo/roberta-large/sst5/fp32_fp16_h_sweep_11h_seed16_bs64_ckpt1k_20260517/fp32/h_sweep_11h_checkpointed/results/fp32_h2e-3_seed16_bs64_ckpt1k/seed16/checkpoints/best_loss,,,0.999999999565907,0.9999999983988014,completed,experiments/main_latest/mezo/roberta-large/sst5/fp32_fp16_h_sweep_11h_seed16_bs64_ckpt1k_20260517/summaries/summary_all.csv,,,,,,,,,,roberta-large,sst-5,partial,h=0.002,07c96b8c93a576c66f468835f06a3d8861b1b27a
fp16_h2e-3_seed16_bs64_ckpt1k,fp16,0.002,16,16,64,20000,19990,0.4379391100702576,19990.0,0.4379391100702576,19990.0,1.46875,1.46875,1.4659271240234375,0.421875,False,23,/scratch/jy03364/MeZO_/experiments/main_latest/mezo/roberta-large/sst5/fp32_fp16_h_sweep_11h_seed16_bs64_ckpt1k_20260517/fp16/h_sweep_11h_checkpointed/results/fp16_h2e-3_seed16_bs64_ckpt1k/seed16/checkpoints/final,/scratch/jy03364/MeZO_/experiments/main_latest/mezo/roberta-large/sst5/fp32_fp16_h_sweep_11h_seed16_bs64_ckpt1k_20260517/fp16/h_sweep_11h_checkpointed/results/fp16_h2e-3_seed16_bs64_ckpt1k/seed16/checkpoints/best_acc,/scratch/jy03364/MeZO_/experiments/main_latest/mezo/roberta-large/sst5/fp32_fp16_h_sweep_11h_seed16_bs64_ckpt1k_20260517/fp16/h_sweep_11h_checkpointed/results/fp16_h2e-3_seed16_bs64_ckpt1k/seed16/checkpoints/best_loss,,,0.999999999267358,1.000000000140952,completed,experiments/main_latest/mezo/roberta-large/sst5/fp32_fp16_h_sweep_11h_seed16_bs64_ckpt1k_20260517/summaries/summary_all.csv,,,,,,,,,,roberta-large,sst-5,partial,h=0.002,07c96b8c93a576c66f468835f06a3d8861b1b27a
fp32_h3e-5_seed16_bs64_ckpt1k,fp32,3e-05,16,16,64,20000,19990,0.48711943793911,16990.0,0.4800936768149882,19990.0,1.2054637670516968,1.2054637670516968,1.2338266372680664,0.46875,False,23,/scratch/jy03364/MeZO_/experiments/main_latest/mezo/roberta-large/sst5/fp32_fp16_h_sweep_11h_seed16_bs64_ckpt1k_20260517/fp32/h_sweep_11h_checkpointed/results/fp32_h3e-5_seed16_bs64_ckpt1k/seed16/checkpoints/final,/scratch/jy03364/MeZO_/experiments/main_latest/mezo/roberta-large/sst5/fp32_fp16_h_sweep_11h_seed16_bs64_ckpt1k_20260517/fp32/h_sweep_11h_checkpointed/results/fp32_h3e-5_seed16_bs64_ckpt1k/seed16/checkpoints/best_acc,/scratch/jy03364/MeZO_/experiments/main_latest/mezo/roberta-large/sst5/fp32_fp16_h_sweep_11h_seed16_bs64_ckpt1k_20260517/fp32/h_sweep_11h_checkpointed/results/fp32_h3e-5_seed16_bs64_ckpt1k/seed16/checkpoints/best_loss,,,0.9999999986707684,1.0000000140277885,completed,experiments/main_latest/mezo/roberta-large/sst5/fp32_fp16_h_sweep_11h_seed16_bs64_ckpt1k_20260517/summaries/summary_all.csv,,,,,,,,,,roberta-large,sst-5,partial,h=3e-05,07c96b8c93a576c66f468835f06a3d8861b1b27a
fp16_h3e-5_seed16_bs64_ckpt1k,fp16,3e-05,16,16,64,20000,19990,0.4566744730679157,19990.0,0.4566744730679157,19990.0,1.3984375,1.3984375,1.3907089233398438,0.4375,False,23,/scratch/jy03364/MeZO_/experiments/main_latest/mezo/roberta-large/sst5/fp32_fp16_h_sweep_11h_seed16_bs64_ckpt1k_20260517/fp16/h_sweep_11h_checkpointed/results/fp16_h3e-5_seed16_bs64_ckpt1k/seed16/checkpoints/final,/scratch/jy03364/MeZO_/experiments/main_latest/mezo/roberta-large/sst5/fp32_fp16_h_sweep_11h_seed16_bs64_ckpt1k_20260517/fp16/h_sweep_11h_checkpointed/results/fp16_h3e-5_seed16_bs64_ckpt1k/seed16/checkpoints/best_acc,/scratch/jy03364/MeZO_/experiments/main_latest/mezo/roberta-large/sst5/fp32_fp16_h_sweep_11h_seed16_bs64_ckpt1k_20260517/fp16/h_sweep_11h_checkpointed/results/fp16_h3e-5_seed16_bs64_ckpt1k/seed16/checkpoints/best_loss,,,0.9999999977795072,0.9999998970617654,completed,experiments/main_latest/mezo/roberta-large/sst5/fp32_fp16_h_sweep_11h_seed16_bs64_ckpt1k_20260517/summaries/summary_all.csv,,,,,,,,,,roberta-large,sst-5,partial,h=3e-05,07c96b8c93a576c66f468835f06a3d8861b1b27a
fp32_h3e-3_seed16_bs64_ckpt1k,fp32,0.003,16,16,64,20000,19990,0.4800936768149882,19990.0,0.4800936768149882,19990.0,1.277140974998474,1.277140974998474,1.338771939277649,0.4375,False,23,/scratch/jy03364/MeZO_/experiments/main_latest/mezo/roberta-large/sst5/fp32_fp16_h_sweep_11h_seed16_bs64_ckpt1k_20260517/fp32/h_sweep_11h_checkpointed/results/fp32_h3e-3_seed16_bs64_ckpt1k/seed16/checkpoints/final,/scratch/jy03364/MeZO_/experiments/main_latest/mezo/roberta-large/sst5/fp32_fp16_h_sweep_11h_seed16_bs64_ckpt1k_20260517/fp32/h_sweep_11h_checkpointed/results/fp32_h3e-3_seed16_bs64_ckpt1k/seed16/checkpoints/best_acc,/scratch/jy03364/MeZO_/experiments/main_latest/mezo/roberta-large/sst5/fp32_fp16_h_sweep_11h_seed16_bs64_ckpt1k_20260517/fp32/h_sweep_11h_checkpointed/results/fp32_h3e-3_seed16_bs64_ckpt1k/seed16/checkpoints/best_loss,,,1.0000000098702937,0.9999999997441888,completed,experiments/main_latest/mezo/roberta-large/sst5/fp32_fp16_h_sweep_11h_seed16_bs64_ckpt1k_20260517/summaries/summary_all.csv,,,,,,,,,,roberta-large,sst-5,partial,h=0.003,07c96b8c93a576c66f468835f06a3d8861b1b27a
fp16_h3e-3_seed16_bs64_ckpt1k,fp16,0.003,16,16,64,20000,19990,0.4086651053864168,19990.0,0.4086651053864168,19990.0,1.4853515625,1.4853515625,1.4881591796875,0.421875,False,23,/scratch/jy03364/MeZO_/experiments/main_latest/mezo/roberta-large/sst5/fp32_fp16_h_sweep_11h_seed16_bs64_ckpt1k_20260517/fp16/h_sweep_11h_checkpointed/results/fp16_h3e-3_seed16_bs64_ckpt1k/seed16/checkpoints/final,/scratch/jy03364/MeZO_/experiments/main_latest/mezo/roberta-large/sst5/fp32_fp16_h_sweep_11h_seed16_bs64_ckpt1k_20260517/fp16/h_sweep_11h_checkpointed/results/fp16_h3e-3_seed16_bs64_ckpt1k/seed16/checkpoints/best_acc,/scratch/jy03364/MeZO_/experiments/main_latest/mezo/roberta-large/sst5/fp32_fp16_h_sweep_11h_seed16_bs64_ckpt1k_20260517/fp16/h_sweep_11h_checkpointed/results/fp16_h3e-3_seed16_bs64_ckpt1k/seed16/checkpoints/best_loss,,,0.9999999988965108,0.9999999970737988,completed,experiments/main_latest/mezo/roberta-large/sst5/fp32_fp16_h_sweep_11h_seed16_bs64_ckpt1k_20260517/summaries/summary_all.csv,,,,,,,,,,roberta-large,sst-5,partial,h=0.003,07c96b8c93a576c66f468835f06a3d8861b1b27a
fp32_h1e-4_seed16_bs64_ckpt1k,fp32,0.0001,16,16,64,20000,19990,0.4836065573770491,16990.0,0.477751756440281,19990.0,1.2052714824676514,1.2052714824676514,1.2340571880340576,0.484375,False,23,/scratch/jy03364/MeZO_/experiments/main_latest/mezo/roberta-large/sst5/fp32_fp16_h_sweep_11h_seed16_bs64_ckpt1k_20260517/fp32/h_sweep_11h_checkpointed/results/fp32_h1e-4_seed16_bs64_ckpt1k/seed16/checkpoints/final,/scratch/jy03364/MeZO_/experiments/main_latest/mezo/roberta-large/sst5/fp32_fp16_h_sweep_11h_seed16_bs64_ckpt1k_20260517/fp32/h_sweep_11h_checkpointed/results/fp32_h1e-4_seed16_bs64_ckpt1k/seed16/checkpoints/best_acc,/scratch/jy03364/MeZO_/experiments/main_latest/mezo/roberta-large/sst5/fp32_fp16_h_sweep_11h_seed16_bs64_ckpt1k_20260517/fp32/h_sweep_11h_checkpointed/results/fp32_h1e-4_seed16_bs64_ckpt1k/seed16/checkpoints/best_loss,,,1.0000000004483165,1.000000010362745,completed,experiments/main_latest/mezo/roberta-large/sst5/fp32_fp16_h_sweep_11h_seed16_bs64_ckpt1k_20260517/summaries/summary_all.csv,,,,,,,,,,roberta-large,sst-5,partial,h=0.0001,07c96b8c93a576c66f468835f06a3d8861b1b27a
fp16_h1e-4_seed16_bs64_ckpt1k,fp16,0.0001,16,16,64,20000,19990,0.4637002341920375,19990.0,0.4637002341920375,19990.0,1.4072265625,1.4072265625,1.3934707641601562,0.453125,False,23,/scratch/jy03364/MeZO_/experiments/main_latest/mezo/roberta-large/sst5/fp32_fp16_h_sweep_11h_seed16_bs64_ckpt1k_20260517/fp16/h_sweep_11h_checkpointed/results/fp16_h1e-4_seed16_bs64_ckpt1k/seed16/checkpoints/final,/scratch/jy03364/MeZO_/experiments/main_latest/mezo/roberta-large/sst5/fp32_fp16_h_sweep_11h_seed16_bs64_ckpt1k_20260517/fp16/h_sweep_11h_checkpointed/results/fp16_h1e-4_seed16_bs64_ckpt1k/seed16/checkpoints/best_acc,/scratch/jy03364/MeZO_/experiments/main_latest/mezo/roberta-large/sst5/fp32_fp16_h_sweep_11h_seed16_bs64_ckpt1k_20260517/fp16/h_sweep_11h_checkpointed/results/fp16_h1e-4_seed16_bs64_ckpt1k/seed16/checkpoints/best_loss,,,1.000000009594676,0.9999999975279894,completed,experiments/main_latest/mezo/roberta-large/sst5/fp32_fp16_h_sweep_11h_seed16_bs64_ckpt1k_20260517/summaries/summary_all.csv,,,,,,,,,,roberta-large,sst-5,partial,h=0.0001,07c96b8c93a576c66f468835f06a3d8861b1b27a
