model,task,precision,mode,quantizer,h,active_frac,norm_ratio,cos_vh_u,jump_distribution,d_Q_scale_or_variance,directional_nmse,directional_corr,source_path
roberta-large,sst-5,int8,dense,G128_RTNClip_shared_grid_fake_quant,1e-05,0.0209422971034823,5.915127474055208,0.1681932332250126,,,18.152915362541084,0.1893296392459962,outputs/rtnclip_int8_mse_reprobe/int8_mse_probe_summary.csv
roberta-large,sst-5,int8,dense,G128_RTNClip_shared_grid_fake_quant,3e-05,0.0624878117769224,3.402045087128496,0.2915915692361752,,,16.543768060501403,0.3477849884349784,outputs/rtnclip_int8_mse_reprobe/int8_mse_probe_summary.csv
roberta-large,sst-5,int8,dense,G128_RTNClip_shared_grid_fake_quant,0.0001,0.2071681092781021,1.864928112383728,0.5321325258331466,,,2.5336192422767785,0.6221396810027171,outputs/rtnclip_int8_mse_reprobe/int8_mse_probe_summary.csv
roberta-large,sst-5,int8,dense,G128_RTNClip_shared_grid_fake_quant,0.0003,0.5198217487272035,1.1789908309235035,0.8439962739293776,,,0.2569452116146749,0.9032791046462032,outputs/rtnclip_int8_mse_reprobe/int8_mse_probe_summary.csv
roberta-large,sst-5,int8,dense,G128_RTNClip_shared_grid_fake_quant,0.001,0.8279214080370224,1.0150122656275018,0.9811201396207708,,,0.0640383636430435,0.9685803178599124,outputs/rtnclip_int8_mse_reprobe/int8_mse_probe_summary.csv
roberta-large,sst-5,int8,dense,G128_RTNClip_shared_grid_fake_quant,0.0015,0.8838019507269287,1.0048571766591958,0.9908988965400416,,,0.0184069803733316,0.991070451685224,outputs/rtnclip_int8_mse_reprobe/int8_mse_probe_summary.csv
roberta-large,sst-5,int8,dense,G128_RTNClip_shared_grid_fake_quant,0.002,0.9124408953473816,1.001196871535674,0.9943792421233278,,,0.0264212641548415,0.9846273389973168,outputs/rtnclip_int8_mse_reprobe/int8_mse_probe_summary.csv
roberta-large,sst-5,int8,dense,G128_RTNClip_shared_grid_fake_quant,0.003,0.9414289122658028,0.9984012422279916,0.9968572335927398,,,0.0633373361912936,0.9744932132615268,outputs/rtnclip_int8_mse_reprobe/int8_mse_probe_summary.csv
roberta-large,sst-5,int8,dense,G128_RTNClip_shared_grid_fake_quant,0.004,0.9560181421662718,0.9972187180302268,0.9976942060553314,,,0.1724000355830656,0.9142740305235336,outputs/rtnclip_int8_mse_reprobe/int8_mse_probe_summary.csv
roberta-large,sst-5,int8,dense,G128_RTNClip_shared_grid_fake_quant,0.005,0.9647964847696788,0.9964800161352688,0.9980506448651172,,,0.1542996353397276,0.9300371940393972,outputs/rtnclip_int8_mse_reprobe/int8_mse_probe_summary.csv
roberta-large,sst-5,int8,dense,G128_RTNClip_shared_grid_fake_quant,0.01,0.9823864138607358,0.9935724712549888,0.9982388203319634,,,0.7802650417920037,0.501629734167058,outputs/rtnclip_int8_mse_reprobe/int8_mse_probe_summary.csv
roberta-large,sst-5,int4,dense,G128_RTNClip_shared_grid_fake_quant,1e-05,0.0018967024162096,15.10373288823871,0.0541414665466798,,,520.6148408606313,-0.3174248255279775,outputs/rtnclip_int4_mse_reprobe_20260521_true_nmse_d16/int4_mse_probe_summary.csv
roberta-large,sst-5,int4,dense,G128_RTNClip_shared_grid_fake_quant,3e-05,0.0057052351714821,8.732649145790841,0.094029884021254,,,131.6099831233774,0.0437620853215876,outputs/rtnclip_int4_mse_reprobe_20260521_true_nmse_d16/int4_mse_probe_summary.csv
roberta-large,sst-5,int4,dense,G128_RTNClip_shared_grid_fake_quant,0.0001,0.0192187323519578,4.808340531405499,0.1730948784891444,,,152.00736243338048,-0.1904546729816665,outputs/rtnclip_int4_mse_reprobe_20260521_true_nmse_d16/int4_mse_probe_summary.csv
roberta-large,sst-5,int4,dense,G128_RTNClip_shared_grid_fake_quant,0.0003,0.0592438397153341,2.814515667831029,0.3057670376556202,,,7.878052618273031,0.1990490637486484,outputs/rtnclip_int4_mse_reprobe_20260521_true_nmse_d16/int4_mse_probe_summary.csv
roberta-large,sst-5,int4,dense,G128_RTNClip_shared_grid_fake_quant,0.001,0.2101450007793263,1.5921971424861032,0.5807719993496581,,,5.71634754735968,0.3975037669969221,outputs/rtnclip_int4_mse_reprobe_20260521_true_nmse_d16/int4_mse_probe_summary.csv
roberta-large,sst-5,int4,dense,G128_RTNClip_shared_grid_fake_quant,0.0015,0.3195277555470257,1.3315159474410367,0.7135441309683229,,,1.854662029725723,0.364601671925615,outputs/rtnclip_int4_mse_reprobe_20260521_true_nmse_d16/int4_mse_probe_summary.csv
roberta-large,sst-5,int4,dense,G128_RTNClip_shared_grid_fake_quant,0.002,0.416768057364265,1.2025323771684056,0.8029951122294233,,,0.5421256760967027,0.8274394211254475,outputs/rtnclip_int4_mse_reprobe_20260521_true_nmse_d16/int4_mse_probe_summary.csv
roberta-large,sst-5,int4,dense,G128_RTNClip_shared_grid_fake_quant,0.003,0.5600577544133324,1.0937261239081604,0.8943770244621909,,,0.7942113862009239,0.6225660652153692,outputs/rtnclip_int4_mse_reprobe_20260521_true_nmse_d16/int4_mse_probe_summary.csv
roberta-large,sst-5,int4,dense,G128_RTNClip_shared_grid_fake_quant,0.004,0.6519027823776747,1.049149761506203,0.933966286955596,,,0.5531507315920412,0.7293692668156866,outputs/rtnclip_int4_mse_reprobe_20260521_true_nmse_d16/int4_mse_probe_summary.csv
roberta-large,sst-5,int4,dense,G128_RTNClip_shared_grid_fake_quant,0.005,0.7134667905118612,1.0260769118568365,0.9541183737309704,,,0.7080436334674773,0.5912501752502053,outputs/rtnclip_int4_mse_reprobe_20260521_true_nmse_d16/int4_mse_probe_summary.csv
roberta-large,sst-5,int4,dense,G128_RTNClip_shared_grid_fake_quant,0.01,0.8498525541231001,0.984444649871826,0.9826030492091292,,,0.8575605885759294,0.3845377139574787,outputs/rtnclip_int4_mse_reprobe_20260521_true_nmse_d16/int4_mse_probe_summary.csv
roberta-large,sst-5,int4,sparse_p0p1,G128_RTNClip,0.0001,0.0011062197128659,6.473610004777358,0.1274673880820332,,,99.86751046535974,-0.3216892136317847,outputs/int4_sparsep0p1_probe_minmse_vs_default_2k_20260522_181148/probes_sparse_p0p1_minmse/sst-5/summary.csv
roberta-large,sst-5,int4,sparse_p0p1,G128_RTNClip,0.0001,2.1211663530611915e-05,0.36517591679349,0.0215146354844231,,,0.8754321118978119,0.3485777636838427,outputs/rtnclip_int4_sparse_mezo_nmse_probe_20260522_dirs32/summary.csv
