task,mode,h_policy,h_value,seeds,n_seeds,run_types,best_eval_acc_mean,best_eval_acc_std,final_eval_acc_mean,final_eval_acc_std,n_runs
mnli,sparse_p0p1,default,0.001,16,1,full,0.4708174178762414,,0.4478482302011713,,1
mnli,sparse_p0p1,fixed-small,1e-05,16,1,full,0.33475935828877,,0.3333333333333333,,1
mnli,sparse_p0p1,reference,0.000437324731266,16,1,full,0.5407944996180291,0.050921771764592734,0.5320346320346321,0.0633100953056252,2
mnli,sparse_p0p1,reference,0.0008531355897454,16,1,full,0.4756557168321874,,0.4756557168321874,,1
mnli,sparse_p0p1,reference,0.0013127067362835,16,1,full,0.4727272727272727,,0.4727272727272727,,1
rte,sparse_p0p1,default,0.001,16,1,full,0.6265060240963856,,0.6265060240963856,,1
rte,sparse_p0p1,fixed-small,1e-05,16,1,full,0.5100401606425703,,0.4979919678714859,,1
rte,sparse_p0p1,reference,0.0003591546781873,16,1,full,0.6285140562248996,0.01419893134912744,0.5883534136546185,0.04827636658703334,2
rte,sparse_p0p1,reference,0.0004352528589334,16,1,full,0.6506024096385542,,0.5582329317269076,,1
rte,sparse_p0p1,reference,0.0017056253106509,16,1,full,0.6024096385542169,,0.6024096385542169,,1
sst-2,sparse_p0p1,default,0.001,16,1,full,0.9042316258351892,,0.9042316258351892,,1
sst-2,sparse_p0p1,fixed-small,1e-05,16,1,full,0.5648106904231626,,0.5578322197475872,,1
sst-2,sparse_p0p1,reference,0.000458314754972,16,1,full,0.8988121752041573,0.0045145644530098835,0.8932442464736452,0.0014698581940031934,2
sst-2,sparse_p0p1,reference,0.0010440057466626,16,1,full,0.8974016332590944,0.009029128906019885,0.8942093541202673,0.0045145644530098835,2
sst-2,sparse_p0p1,reference,0.0014831360079805,16,1,full,0.8087602078693392,,0.8087602078693392,,1
sst-5,sparse_p0p1,default,0.001,16,1,full,0.4812646370023419,,0.4812646370023419,,1
sst-5,sparse_p0p1,fixed-small,1e-05,16,1,full,0.2728337236533958,,0.2728337236533958,,1
sst-5,sparse_p0p1,reference,0.0013388576857165,16,1,full,0.4414519906323185,,0.4414519906323185,,1
sst-5,sparse_p0p1,reference,0.0013665044203238,16,1,full,0.3852459016393442,0.12751105890249215,0.36768149882903983,0.14075896112612774,2
sst-5,sparse_p0p1,reference,0.0015509397815746,16,1,full,0.4262295081967213,,0.3348946135831381,,1
trec,sparse_p0p1,default,0.001,16,1,full,0.7875457875457875,,0.7875457875457875,,1
trec,sparse_p0p1,fixed-small,1e-05,16,1,medium,0.2307692307692307,,0.2307692307692307,,1
trec,sparse_p0p1,reference,0.0006825578664185,16,1,full,0.8141025641025641,0.03496681884988425,0.8076923076923077,0.02590134729621048,2
trec,sparse_p0p1,reference,0.0006975900432871,16,1,full,0.8278388278388278,,0.8113553113553114,,1
trec,sparse_p0p1,reference,0.0012135533363166,16,1,full,0.6904761904761905,,0.673992673992674,,1
