audit_item,num_rows,num_full_rows,policies_found,comparable_for_main_table,recommendation
prefix_rte_completeness,3,2,fixed_small;hstar_cleanGL;mezo_default,False,omit from main stress-test table or keep appendix/audit only
sparse_p0p1_trec_completeness,6,5,cleanGL_hstar_continuous;fixed_small;hstar_cleanGL;hstar_lowbitL;hstar_lowbitL_continuous;mezo_default,True,include only if all fixed/default/reference rows are same family and full
family_sources_dense_mnli,1,1,hstar_lowbitL_continuous,True,sources=outputs/int4_lowbitL_hstar_dense_sparse_20260522_20260522_223513/int4_hsearch_summary.csv
family_sources_prefix_mnli,3,3,fixed_small;hstar_cleanGL;mezo_default,True,sources=outputs/int4_sparse_prefix_seedfixed_int4fd_20k_20260523_171841/int4_hsearch_summary.csv
family_sources_sparse_p0p1_mnli,6,6,cleanGL_hstar_continuous;fixed_small;hstar_cleanGL;hstar_lowbitL;hstar_lowbitL_continuous;mezo_default,False,sources=outputs/int4_cleanGL_hstar_dense_sparsep0p1_20k_20260523_142501/int4_hsearch_summary.csv;outputs/int4_lowbitL_hstar_dense_sparse_20260522_20260522_223513/int4_hsearch_summary.csv;outputs/int4_sparse_prefix_seedfixed_int4fd_20k_20260523_171841/int4_hsearch_summary.csv
family_sources_dense_rte,1,1,hstar_lowbitL_continuous,True,sources=outputs/int4_lowbitL_hstar_dense_sparse_20260522_20260522_223513/int4_hsearch_summary.csv
family_sources_prefix_rte,3,2,fixed_small;hstar_cleanGL;mezo_default,True,sources=outputs/int4_sparse_prefix_seedfixed_int4fd_20k_20260523_171841/int4_hsearch_summary.csv
family_sources_sparse_p0p1_rte,6,6,cleanGL_hstar_continuous;fixed_small;hstar_cleanGL;hstar_lowbitL;hstar_lowbitL_continuous;mezo_default,False,sources=outputs/int4_cleanGL_hstar_dense_sparsep0p1_20k_20260523_142501/int4_hsearch_summary.csv;outputs/int4_lowbitL_hstar_dense_sparse_20260522_20260522_223513/int4_hsearch_summary.csv;outputs/int4_sparse_prefix_seedfixed_int4fd_20k_20260523_171841/int4_hsearch_summary.csv
family_sources_dense_sst-2,1,1,hstar_lowbitL_continuous,True,sources=outputs/int4_lowbitL_hstar_dense_sparse_20260522_20260522_223513/int4_hsearch_summary.csv
family_sources_prefix_sst-2,3,3,fixed_small;hstar_cleanGL;mezo_default,True,sources=outputs/int4_sparse_prefix_seedfixed_int4fd_20k_20260523_171841/int4_hsearch_summary.csv
family_sources_sparse_p0p1_sst-2,7,7,cleanGL_hstar_continuous;fixed_small;hstar_cleanGL;hstar_lowbitL;hstar_lowbitL_continuous;mezo_default,False,sources=outputs/int4_cleanGL_hstar_dense_sparsep0p1_20k_20260523_142501/int4_hsearch_summary.csv;outputs/int4_lowbitL_hstar_dense_sparse_20260522_20260522_223513/int4_hsearch_summary.csv;outputs/int4_sparse_prefix_seedfixed_int4fd_20k_20260523_171841/int4_hsearch_summary.csv
family_sources_dense_sst-5,1,1,hstar_lowbitL_continuous,True,sources=outputs/int4_lowbitL_hstar_dense_sparse_20260522_20260522_223513/int4_hsearch_summary.csv
family_sources_prefix_sst-5,3,3,fixed_small;hstar_cleanGL;mezo_default,True,sources=outputs/int4_sparse_prefix_seedfixed_int4fd_20k_20260523_171841/int4_hsearch_summary.csv
family_sources_sparse_p0p1_sst-5,6,6,cleanGL_hstar_continuous;fixed_small;hstar_cleanGL;hstar_lowbitL;hstar_lowbitL_continuous;mezo_default,False,sources=outputs/int4_cleanGL_hstar_dense_sparsep0p1_20k_20260523_142501/int4_hsearch_summary.csv;outputs/int4_lowbitL_hstar_dense_sparse_20260522_20260522_223513/int4_hsearch_summary.csv;outputs/int4_sparse_prefix_seedfixed_int4fd_20k_20260523_171841/int4_hsearch_summary.csv
family_sources_dense_trec,2,2,hstar_lowbitL_continuous,False,sources=outputs/int4_lowbitL_hstar_dense_sparse_20260522_20260522_223513/int4_hsearch_summary.csv;outputs/sharp_interval_roberta_int4_eval/int4_hsearch_summary.csv
family_sources_prefix_trec,3,3,fixed_small;hstar_cleanGL;mezo_default,True,sources=outputs/int4_sparse_prefix_seedfixed_int4fd_20k_20260523_171841/int4_hsearch_summary.csv
family_sources_sparse_p0p1_trec,6,5,cleanGL_hstar_continuous;fixed_small;hstar_cleanGL;hstar_lowbitL;hstar_lowbitL_continuous;mezo_default,False,sources=outputs/int4_cleanGL_hstar_dense_sparsep0p1_20k_20260523_142501/int4_hsearch_summary.csv;outputs/int4_lowbitL_hstar_dense_sparse_20260522_20260522_223513/int4_hsearch_summary.csv;outputs/int4_sparse_prefix_seedfixed_int4fd_20k_20260523_171841/int4_hsearch_summary.csv
