source_path,copied_to
outputs/int4_cleanGL_hstar_dense_sparsep0p1_20k_20260523_142501/int4_hsearch_summary.csv,raw_run_summaries/outputs__int4_cleanGL_hstar_dense_sparsep0p1_20k_20260523_142501__int4_hsearch_summary.csv
outputs/int4_lowbitL_hstar_dense_sparse_20260522_20260522_223513/int4_hsearch_summary.csv,raw_run_summaries/outputs__int4_lowbitL_hstar_dense_sparse_20260522_20260522_223513__int4_hsearch_summary.csv
outputs/int4_sparse_prefix_seedfixed_int4fd_20k_20260523_171841/int4_hsearch_summary.csv,raw_run_summaries/outputs__int4_sparse_prefix_seedfixed_int4fd_20k_20260523_171841__int4_hsearch_summary.csv
outputs/sharp_interval_roberta_int4_eval/int4_hsearch_summary.csv,raw_run_summaries/outputs__sharp_interval_roberta_int4_eval__int4_hsearch_summary.csv
outputs/int4_cleanGL_hstar_dense_sparsep0p1_20k_20260523_142501/int4_hsearch/dense_cleanGL_hstar/int4_dense_mnli_cleanGL_hstar_h0p001312706736_seed16_full_bs64_step20k/run_summary.json,raw_run_summaries/outputs__int4_cleanGL_hstar_dense_sparsep0p1_20k_20260523_142501__int4_hsearch__dense_cleanGL_hstar__int4_dense_mnli_cleanGL_hstar_h0p001312706736_seed16_full_bs64_step20k__run_summary.json
outputs/int4_cleanGL_hstar_dense_sparsep0p1_20k_20260523_142501/int4_hsearch/dense_cleanGL_hstar/int4_dense_mnli_cleanGL_hstar_h0p001312706736_seed16_full_bs64_step20k/run_config.json,raw_run_summaries/outputs__int4_cleanGL_hstar_dense_sparsep0p1_20k_20260523_142501__int4_hsearch__dense_cleanGL_hstar__int4_dense_mnli_cleanGL_hstar_h0p001312706736_seed16_full_bs64_step20k__run_config.json
outputs/int4_cleanGL_hstar_dense_sparsep0p1_20k_20260523_142501/int4_hsearch/dense_cleanGL_hstar/int4_dense_mnli_cleanGL_hstar_h0p001312706736_seed16_full_bs64_step20k/run_manifest_row.json,raw_run_summaries/outputs__int4_cleanGL_hstar_dense_sparsep0p1_20k_20260523_142501__int4_hsearch__dense_cleanGL_hstar__int4_dense_mnli_cleanGL_hstar_h0p001312706736_seed16_full_bs64_step20k__run_manifest_row.json
outputs/int4_cleanGL_hstar_dense_sparsep0p1_20k_20260523_142501/int4_hsearch/dense_cleanGL_hstar/int4_dense_mnli_cleanGL_hstar_h0p001312706736_seed16_full_bs64_step20k/metrics.csv,raw_run_summaries/outputs__int4_cleanGL_hstar_dense_sparsep0p1_20k_20260523_142501__int4_hsearch__dense_cleanGL_hstar__int4_dense_mnli_cleanGL_hstar_h0p001312706736_seed16_full_bs64_step20k__metrics.csv
outputs/int4_cleanGL_hstar_dense_sparsep0p1_20k_20260523_142501/int4_hsearch/dense_cleanGL_hstar/int4_dense_mnli_cleanGL_hstar_h0p001312706736_seed16_full_bs64_step20k/eval_metrics.jsonl,raw_run_summaries/outputs__int4_cleanGL_hstar_dense_sparsep0p1_20k_20260523_142501__int4_hsearch__dense_cleanGL_hstar__int4_dense_mnli_cleanGL_hstar_h0p001312706736_seed16_full_bs64_step20k__eval_metrics.jsonl
outputs/int4_cleanGL_hstar_dense_sparsep0p1_20k_20260523_142501/int4_hsearch/dense_cleanGL_hstar/int4_dense_rte_cleanGL_hstar_h0p001705625311_seed16_full_bs64_step20k/run_summary.json,raw_run_summaries/outputs__int4_cleanGL_hstar_dense_sparsep0p1_20k_20260523_142501__int4_hsearch__dense_cleanGL_hstar__int4_dense_rte_cleanGL_hstar_h0p001705625311_seed16_full_bs64_step20k__run_summary.json
outputs/int4_cleanGL_hstar_dense_sparsep0p1_20k_20260523_142501/int4_hsearch/dense_cleanGL_hstar/int4_dense_rte_cleanGL_hstar_h0p001705625311_seed16_full_bs64_step20k/run_config.json,raw_run_summaries/outputs__int4_cleanGL_hstar_dense_sparsep0p1_20k_20260523_142501__int4_hsearch__dense_cleanGL_hstar__int4_dense_rte_cleanGL_hstar_h0p001705625311_seed16_full_bs64_step20k__run_config.json
outputs/int4_cleanGL_hstar_dense_sparsep0p1_20k_20260523_142501/int4_hsearch/dense_cleanGL_hstar/int4_dense_rte_cleanGL_hstar_h0p001705625311_seed16_full_bs64_step20k/run_manifest_row.json,raw_run_summaries/outputs__int4_cleanGL_hstar_dense_sparsep0p1_20k_20260523_142501__int4_hsearch__dense_cleanGL_hstar__int4_dense_rte_cleanGL_hstar_h0p001705625311_seed16_full_bs64_step20k__run_manifest_row.json
outputs/int4_cleanGL_hstar_dense_sparsep0p1_20k_20260523_142501/int4_hsearch/dense_cleanGL_hstar/int4_dense_rte_cleanGL_hstar_h0p001705625311_seed16_full_bs64_step20k/metrics.csv,raw_run_summaries/outputs__int4_cleanGL_hstar_dense_sparsep0p1_20k_20260523_142501__int4_hsearch__dense_cleanGL_hstar__int4_dense_rte_cleanGL_hstar_h0p001705625311_seed16_full_bs64_step20k__metrics.csv
