task,mode,raw_h_policy,h_value,seed,run_type,steps,best_dev_acc,final_dev_acc,source_path,run_name,h_policy
sst-2,prefix,fixed_small,1e-05,16,full,20000.0,0.5529324424647365,0.4487008166295471,outputs/int4_sparse_prefix_seedfixed_int4fd_20k_20260523_171841/int4_hsearch_summary.csv,int4_prefix_quantized_seedfixed_sst2_fixed_small_h1e-5_seed16_full_bs64_step20k,fixed-small
sst-5,prefix,fixed_small,1e-05,16,full,20000.0,0.275175644028103,0.2224824355971897,outputs/int4_sparse_prefix_seedfixed_int4fd_20k_20260523_171841/int4_hsearch_summary.csv,int4_prefix_quantized_seedfixed_sst5_fixed_small_h1e-5_seed16_full_bs64_step20k,fixed-small
rte,prefix,fixed_small,1e-05,16,medium,9685.0,0.5622489959839357,0.5261044176706827,outputs/int4_sparse_prefix_seedfixed_int4fd_20k_20260523_171841/int4_hsearch_summary.csv,int4_prefix_quantized_seedfixed_rte_fixed_small_h1e-5_seed16_full_bs64_step20k,fixed-small
mnli,prefix,fixed_small,1e-05,16,full,20000.0,0.3359052711993888,0.3332060096765979,outputs/int4_sparse_prefix_seedfixed_int4fd_20k_20260523_171841/int4_hsearch_summary.csv,int4_prefix_quantized_seedfixed_mnli_fixed_small_h1e-5_seed16_full_bs64_step20k,fixed-small
trec,prefix,fixed_small,1e-05,16,full,20000.0,0.2234432234432234,0.2234432234432234,outputs/int4_sparse_prefix_seedfixed_int4fd_20k_20260523_171841/int4_hsearch_summary.csv,int4_prefix_quantized_seedfixed_trec_fixed_small_h1e-5_seed16_full_bs64_step20k,fixed-small
sst-2,prefix,mezo_default,0.001,16,full,20000.0,0.6120267260579064,0.5606533036377135,outputs/int4_sparse_prefix_seedfixed_int4fd_20k_20260523_171841/int4_hsearch_summary.csv,int4_prefix_quantized_seedfixed_sst2_mezo_default_h1e-3_seed16_full_bs64_step20k,default
sst-5,prefix,mezo_default,0.001,16,full,20000.0,0.319672131147541,0.2599531615925058,outputs/int4_sparse_prefix_seedfixed_int4fd_20k_20260523_171841/int4_hsearch_summary.csv,int4_prefix_quantized_seedfixed_sst5_mezo_default_h1e-3_seed16_full_bs64_step20k,default
rte,prefix,mezo_default,0.001,16,full,20000.0,0.5341365461847389,0.4979919678714859,outputs/int4_sparse_prefix_seedfixed_int4fd_20k_20260523_171841/int4_hsearch_summary.csv,int4_prefix_quantized_seedfixed_rte_mezo_default_h1e-3_seed16_full_bs64_step20k,default
mnli,prefix,mezo_default,0.001,16,full,20000.0,0.394270435446906,0.3332824038706392,outputs/int4_sparse_prefix_seedfixed_int4fd_20k_20260523_171841/int4_hsearch_summary.csv,int4_prefix_quantized_seedfixed_mnli_mezo_default_h1e-3_seed16_full_bs64_step20k,default
trec,prefix,mezo_default,0.001,16,full,20000.0,0.2417582417582417,0.1556776556776556,outputs/int4_sparse_prefix_seedfixed_int4fd_20k_20260523_171841/int4_hsearch_summary.csv,int4_prefix_quantized_seedfixed_trec_mezo_default_h1e-3_seed16_full_bs64_step20k,default
sst-2,prefix,hstar_cleanGL,0.0886419832658425,16,full,20000.0,0.8911655530809206,0.8911655530809206,outputs/int4_sparse_prefix_seedfixed_int4fd_20k_20260523_171841/int4_hsearch_summary.csv,int4_prefix_quantized_seedfixed_sst2_hstar_cleanGL_h0p0886419832658_seed16_full_bs64_step20k,reference
sst-5,prefix,hstar_cleanGL,0.0804720147886286,16,full,20000.0,0.4250585480093676,0.4250585480093676,outputs/int4_sparse_prefix_seedfixed_int4fd_20k_20260523_171841/int4_hsearch_summary.csv,int4_prefix_quantized_seedfixed_sst5_hstar_cleanGL_h0p0804720147886_seed16_full_bs64_step20k,reference
rte,prefix,hstar_cleanGL,0.072807568266058,16,full,20000.0,0.5622489959839357,0.5622489959839357,outputs/int4_sparse_prefix_seedfixed_int4fd_20k_20260523_171841/int4_hsearch_summary.csv,int4_prefix_quantized_seedfixed_rte_hstar_cleanGL_h0p0728075682661_seed16_full_bs64_step20k,reference
mnli,prefix,hstar_cleanGL,0.1059865385430891,16,full,20000.0,0.4210084033613445,0.4210084033613445,outputs/int4_sparse_prefix_seedfixed_int4fd_20k_20260523_171841/int4_hsearch_summary.csv,int4_prefix_quantized_seedfixed_mnli_hstar_cleanGL_h0p105986538543_seed16_full_bs64_step20k,reference
trec,prefix,hstar_cleanGL,0.0949896412434653,16,full,20000.0,0.7234432234432234,0.7234432234432234,outputs/int4_sparse_prefix_seedfixed_int4fd_20k_20260523_171841/int4_hsearch_summary.csv,int4_prefix_quantized_seedfixed_trec_hstar_cleanGL_h0p0949896412435_seed16_full_bs64_step20k,reference
