task,mode,raw_h_policy,h_value,seed,run_type,steps,best_dev_acc,final_dev_acc,source_path,run_name,h_policy
sst-2,sparse_p0p1,fixed_small,1e-05,16,full,20000.0,0.5648106904231626,0.5578322197475872,outputs/int4_sparse_prefix_seedfixed_int4fd_20k_20260523_171841/int4_hsearch_summary.csv,int4_sparsep0p1_taskgrad_seedfixed_sst2_fixed_small_h1e-5_seed16_full_bs64_step20k,fixed-small
sst-5,sparse_p0p1,fixed_small,1e-05,16,full,20000.0,0.2728337236533958,0.2728337236533958,outputs/int4_sparse_prefix_seedfixed_int4fd_20k_20260523_171841/int4_hsearch_summary.csv,int4_sparsep0p1_taskgrad_seedfixed_sst5_fixed_small_h1e-5_seed16_full_bs64_step20k,fixed-small
rte,sparse_p0p1,fixed_small,1e-05,16,full,20000.0,0.5100401606425703,0.4979919678714859,outputs/int4_sparse_prefix_seedfixed_int4fd_20k_20260523_171841/int4_hsearch_summary.csv,int4_sparsep0p1_taskgrad_seedfixed_rte_fixed_small_h1e-5_seed16_full_bs64_step20k,fixed-small
mnli,sparse_p0p1,fixed_small,1e-05,16,full,20000.0,0.33475935828877,0.3333333333333333,outputs/int4_sparse_prefix_seedfixed_int4fd_20k_20260523_171841/int4_hsearch_summary.csv,int4_sparsep0p1_taskgrad_seedfixed_mnli_fixed_small_h1e-5_seed16_full_bs64_step20k,fixed-small
trec,sparse_p0p1,fixed_small,1e-05,16,medium,18434.0,0.2307692307692307,0.2307692307692307,outputs/int4_sparse_prefix_seedfixed_int4fd_20k_20260523_171841/int4_hsearch_summary.csv,int4_sparsep0p1_taskgrad_seedfixed_trec_fixed_small_h1e-5_seed16_full_bs64_step20k,fixed-small
sst-2,sparse_p0p1,mezo_default,0.001,16,full,20000.0,0.9042316258351892,0.9042316258351892,outputs/int4_sparse_prefix_seedfixed_int4fd_20k_20260523_171841/int4_hsearch_summary.csv,int4_sparsep0p1_taskgrad_seedfixed_sst2_mezo_default_h1e-3_seed16_full_bs64_step20k,default
sst-5,sparse_p0p1,mezo_default,0.001,16,full,20000.0,0.4812646370023419,0.4812646370023419,outputs/int4_sparse_prefix_seedfixed_int4fd_20k_20260523_171841/int4_hsearch_summary.csv,int4_sparsep0p1_taskgrad_seedfixed_sst5_mezo_default_h1e-3_seed16_full_bs64_step20k,default
rte,sparse_p0p1,mezo_default,0.001,16,full,20000.0,0.6265060240963856,0.6265060240963856,outputs/int4_sparse_prefix_seedfixed_int4fd_20k_20260523_171841/int4_hsearch_summary.csv,int4_sparsep0p1_taskgrad_seedfixed_rte_mezo_default_h1e-3_seed16_full_bs64_step20k,default
mnli,sparse_p0p1,mezo_default,0.001,16,full,20000.0,0.4708174178762414,0.4478482302011713,outputs/int4_sparse_prefix_seedfixed_int4fd_20k_20260523_171841/int4_hsearch_summary.csv,int4_sparsep0p1_taskgrad_seedfixed_mnli_mezo_default_h1e-3_seed16_full_bs64_step20k,default
trec,sparse_p0p1,mezo_default,0.001,16,full,20000.0,0.7875457875457875,0.7875457875457875,outputs/int4_sparse_prefix_seedfixed_int4fd_20k_20260523_171841/int4_hsearch_summary.csv,int4_sparsep0p1_taskgrad_seedfixed_trec_mezo_default_h1e-3_seed16_full_bs64_step20k,default
sst-2,sparse_p0p1,hstar_cleanGL,0.000458314754972,16,full,20000.0,0.9020044543429844,0.8942835931700074,outputs/int4_sparse_prefix_seedfixed_int4fd_20k_20260523_171841/int4_hsearch_summary.csv,int4_sparsep0p1_taskgrad_seedfixed_sst2_hstar_cleanGL_h0p000458314754972_seed16_full_bs64_step20k,reference
sst-5,sparse_p0p1,hstar_cleanGL,0.0013388576857165,16,full,20000.0,0.4414519906323185,0.4414519906323185,outputs/int4_sparse_prefix_seedfixed_int4fd_20k_20260523_171841/int4_hsearch_summary.csv,int4_sparsep0p1_taskgrad_seedfixed_sst5_hstar_cleanGL_h0p00133885768572_seed16_full_bs64_step20k,reference
rte,sparse_p0p1,hstar_cleanGL,0.0004352528589334,16,full,20000.0,0.6506024096385542,0.5582329317269076,outputs/int4_sparse_prefix_seedfixed_int4fd_20k_20260523_171841/int4_hsearch_summary.csv,int4_sparsep0p1_taskgrad_seedfixed_rte_hstar_cleanGL_h0p000435252858933_seed16_full_bs64_step20k,reference
mnli,sparse_p0p1,hstar_cleanGL,0.0008531355897454,16,full,20000.0,0.4756557168321874,0.4756557168321874,outputs/int4_sparse_prefix_seedfixed_int4fd_20k_20260523_171841/int4_hsearch_summary.csv,int4_sparsep0p1_taskgrad_seedfixed_mnli_hstar_cleanGL_h0p000853135589745_seed16_full_bs64_step20k,reference
