global_step,eps,precision,zo_quantization_bits,fd_mean,td_mean,td_u2_mean_debug,mae,mse,rmse,sign_acc,corr,mae_u2_debug,mse_u2_debug,rmse_u2_debug,sign_acc_u2_debug,corr_u2_debug,probe_num_seeds
200,1e-05,fp16,16,-39.6728515625,-25.7153877094388,,72.23898863047361,8849.025918705509,94.06926128499951,0.75,0.5589650463471252,,,,,,16
400,1e-05,fp16,16,0.0,8.86806207895279,,73.69235557317734,8208.294589390322,90.59963901357622,0.625,0.5150636250705366,,,,,,16
600,1e-05,fp16,16,103.759765625,39.58771309256554,,228.1973058283329,68851.06835912344,262.3948710610088,0.625,0.5101134354348931,,,,,,16
800,1e-05,fp16,16,88.5009765625,9.37393468618393,,147.70555120706558,31050.355889454946,176.21111170824315,0.3125,-0.17960357038284472,,,,,,16
1000,1e-05,fp16,16,73.2421875,6.121536701917648,,141.57683327794075,29384.148067376205,171.41805058795939,0.625,-0.07885800101472412,,,,,,16
1200,1e-05,fp16,16,-12.20703125,-12.740111783146858,,52.86615227162838,4266.780672957926,65.3205991472669,0.5,0.42895783124770254,,,,,,16
1400,1e-05,fp16,16,24.4140625,-6.357861950993538,,103.02220614254475,15814.023714821815,125.75382186964265,0.75,0.5320294572814097,,,,,,16
1600,1e-05,fp16,16,6.103515625,-11.061061605811119,,67.16694615781307,6351.080847209824,79.69366880254556,0.4375,0.6161232734508898,,,,,,16
1800,1e-05,fp16,16,18.310546875,-0.25479861348867416,,66.72726186364889,7031.435871194995,83.85365747058977,0.375,0.030614025505092388,,,,,,16
2000,1e-05,fp16,16,15.2587890625,-1.3730455338954926,,87.47369375824928,10434.432321034092,102.14906911486806,0.375,0.13947993470029713,,,,,,16
2200,1e-05,fp16,16,-9.1552734375,1.1430703401565552,,51.42201793193817,4255.344210279166,65.23299939661801,0.4375,0.6023825216100431,,,,,,16
2400,1e-05,fp16,16,-18.310546875,0.07523298263549805,,43.42583167552948,2564.083995870792,50.636785007253295,0.5,0.7802178168755044,,,,,,16
2600,1e-05,fp16,16,15.2587890625,12.863287568092346,,36.97436761856079,1933.4629776515694,43.97116074942268,0.75,0.8740105748576784,,,,,,16
2800,1e-05,fp16,16,-6.103515625,-15.464103527367115,,55.70817161351442,5149.910288416231,71.76287541909278,0.75,0.7040396924913664,,,,,,16
3000,1e-05,fp16,16,-9.1552734375,0.9607064425945282,,55.64764454960823,4505.629664578726,67.12398725179193,0.375,0.27138451611148184,,,,,,16
3200,1e-05,fp16,16,15.2587890625,6.8156305141747,,83.97361407801509,10152.655153062542,100.7603848397898,0.4375,0.18505077649557616,,,,,,16
3400,1e-05,fp16,16,-3.0517578125,-1.462804526090622,,90.71248504519463,12428.043523221248,111.48113527956758,0.5,0.22025809758611267,,,,,,16
3600,1e-05,fp16,16,-6.103515625,-3.8533354699611664,,55.18652519583702,5368.636365174124,73.27097901061596,0.3125,0.09836096305304996,,,,,,16
3800,1e-05,fp16,16,-30.517578125,-6.257539689540863,,55.2300985455513,5002.761008748885,70.7301987042938,0.6875,0.4058062351175651,,,,,,16
4000,1e-05,fp16,16,-27.4658203125,3.2820027619600296,,67.28046210110188,6127.932066911296,78.28110925958634,0.3125,0.19864437980017294,,,,,,16
4200,1e-05,fp16,16,-12.20703125,0.9751335345208645,,63.55583894625306,7310.978640060248,85.5042609468104,0.5625,0.3284427856620742,,,,,,16
4400,1e-05,fp16,16,-21.3623046875,2.332246921956539,,77.0233843550086,9490.16002291151,97.41745235280746,0.3125,-0.04338090861901789,,,,,,16
