model,task,active_frac_at_1e-3,hstar_cleanGL_full_d,hstar_cleanGL_active_d,nearest_active_d,multiply_factor,empirical_min_nmse_h,G_clean,L_clean,d_full,d_eff
OPT-1.3B,sst-2,0.20909945726291174,0.0003021636661378602,0.0006607935386342157,0.0007,2.1868729191706753,0.003,47.162636778697056,0.00033408344862993354,1315758080,275124300
OPT-1.3B,sst-5,0.20909945726291174,0.00030295205220535933,0.000662517638775081,0.0007,2.1868729191706753,0.1,79.71407921191351,0.0005617312705735774,1315758080,275124300
OPT-1.3B,rte,0.20909803187371132,0.0002346027430913104,0.0005130481343058014,0.0005,2.1868803729465194,0.003,51.13642265024839,0.0006009046122668158,1315758080,275122424
OPT-1.3B,mnli,0.20909803187371132,0.00018295622713582102,0.0004001033822316724,0.0005,2.1868803729465194,0.001,78.89472258997407,0.0015243859175549399,1315758080,275122424
OPT-1.3B,trec,0.20909803187371132,0.0002992446743956486,0.0006544123051446159,0.0007,2.18688037294652,0.003,387.8588038045811,0.002801316374034775,1315758080,275122424
RoBERTa-large,sst-2,0.11809850402708458,0.0005500220202864438,0.0016005080940343947,0.0015,2.90989821316767,,4.324856718612268,2.5277084722664352e-05,407985332,48182457
RoBERTa-large,rte,0.11808435804985823,0.0006217122442160122,0.0018092277074989536,0.002,2.910072504331027,,5.046101941220668,2.3083018130487348e-05,407985332,48176686
RoBERTa-large,mnli,0.11810152268128758,0.0006618149056678965,0.0019257893995598691,0.002,2.9098610246869296,,10.423731097597974,4.2078903117565655e-05,407986357,48183809
RoBERTa-large,trec,0.11808096858498918,0.0012570917945670702,0.003658280770369251,0.003,2.9101142702384166,,56.6683381454883,6.340415255508683e-05,407989432,48175787
RoBERTa-large,sst-5,0.1180878363168415,0.0007763081229853069,0.002259079652356539,0.002,2.9100296460498276,,15.935841836275937,4.6754019099807734e-05,407988407,48178468
