task,h,probe_mae,probe_rmse,probe_sign_acc,probe_corr,fd_mean,td_mean
SST-2,1e-09,nan,nan,nan,nan,nan,nan
SST-2,3e-09,nan,nan,nan,nan,nan,nan
SST-2,1e-08,nan,nan,nan,nan,nan,nan
SST-2,3e-08,nan,nan,nan,nan,nan,nan
SST-2,1e-07,14080.118764519691,19399.682551852213,0.375,-0.13260803348367575,-7934.5703125,25.884379267692566
SST-2,3e-07,10539.00629556179,13097.206623634518,0.6875,0.11891902284521043,-1220.7031707763672,-82.41209042072296
SST-2,1e-06,2621.839216709137,3053.081412282412,0.5,0.17206828789781953,693.2467308044434,-125.17436647415161
SST-2,3e-06,59.58342133462429,73.47141514226512,0.625,0.4649765022642871,-16.848244681954384,-3.828315109014511
SST-2,1e-05,20.174310263246298,24.210351883173946,0.75,0.7846922491641426,3.6537647247314453,-0.13367968425154686
SST-2,3e-05,7.755904529243708,10.862686212910276,0.8125,0.9218215139690551,13.834984060376883,9.567905567586422
SST-2,0.0001,1.015506349503994,1.337958649542893,0.9375,0.9950006150861815,0.24303793907165527,-0.08689958602190018
SST-2,0.0003,0.6172447875142097,0.8189053164159588,1.0,0.9996701277842783,-1.8682579025626183,-1.5012122094631195
SST-2,0.001,1.6500073410570621,2.2514744673305707,1.0,0.9918100264662304,1.350425187498331,0.8594446778297424
SST-2,0.003,27.422853469848633,37.108294912764585,0.8125,0.811027585663296,4.494366675615311,19.852684289216995
SST-2,0.01,19.018843457102776,24.14310183932597,0.3125,-0.5266387323682504,2.2393226623535156,2.840873822569847
sst-5,1e-09,nan,nan,nan,nan,nan,nan
sst-5,3e-09,nan,nan,nan,nan,nan,nan
sst-5,1e-08,nan,nan,nan,nan,nan,nan
sst-5,3e-08,nan,nan,nan,nan,nan,nan
sst-5,1e-07,20129.186169862747,28798.48075094911,0.4375,-0.2639271193364925,-219.34490966796875,-1178.292668581009
sst-5,3e-07,5755.096163511276,6845.564812405872,0.75,0.579680307184015,-2086.361177444458,-842.7968509197235
sst-5,1e-06,2723.6751866340637,3296.494928281636,0.3125,-0.286233215665249,-582.9334564208984,161.88925123214722
