sweep,model,task,h_str,h,eval_loss,mse,metrics_csv,probe_csv,run_summary
8h_mezo_int8,roberta-large,sst5,1e-6,1e-06,1.6094390153884888,,/Users/jichaoyu/Documents/GitHub/MeZO/experiments/pilot/mezo/roberta-large/sst5/int8/h_sweep_8h/results/h_1e-6/run_mezo_int8/seed16/metrics_logs/metrics_adaptiveH-0_cscale-0.csv,/Users/jichaoyu/Documents/GitHub/MeZO/experiments/pilot/mezo/roberta-large/sst5/int8/h_sweep_8h/results/h_1e-6/run_mezo_int8/seed16/zo_directional_probe.csv,/Users/jichaoyu/Documents/GitHub/MeZO/experiments/pilot/mezo/roberta-large/sst5/int8/h_sweep_8h/results/h_1e-6/run_mezo_int8/seed16/run_summary.json
8h_mezo_int8,roberta-large,sst5,3e-6,3e-06,1.609451174736023,,/Users/jichaoyu/Documents/GitHub/MeZO/experiments/pilot/mezo/roberta-large/sst5/int8/h_sweep_8h/results/h_3e-6/run_mezo_int8/seed16/metrics_logs/metrics_adaptiveH-0_cscale-0.csv,/Users/jichaoyu/Documents/GitHub/MeZO/experiments/pilot/mezo/roberta-large/sst5/int8/h_sweep_8h/results/h_3e-6/run_mezo_int8/seed16/zo_directional_probe.csv,/Users/jichaoyu/Documents/GitHub/MeZO/experiments/pilot/mezo/roberta-large/sst5/int8/h_sweep_8h/results/h_3e-6/run_mezo_int8/seed16/run_summary.json
8h_mezo_int8,roberta-large,sst5,1e-5,1e-05,1.6094400882720947,,/Users/jichaoyu/Documents/GitHub/MeZO/experiments/pilot/mezo/roberta-large/sst5/int8/h_sweep_8h/results/h_1e-5/run_mezo_int8/seed16/metrics_logs/metrics_adaptiveH-0_cscale-0.csv,/Users/jichaoyu/Documents/GitHub/MeZO/experiments/pilot/mezo/roberta-large/sst5/int8/h_sweep_8h/results/h_1e-5/run_mezo_int8/seed16/zo_directional_probe.csv,/Users/jichaoyu/Documents/GitHub/MeZO/experiments/pilot/mezo/roberta-large/sst5/int8/h_sweep_8h/results/h_1e-5/run_mezo_int8/seed16/run_summary.json
8h_mezo_int8,roberta-large,sst5,3e-5,3e-05,17.7934627532959,,/Users/jichaoyu/Documents/GitHub/MeZO/experiments/pilot/mezo/roberta-large/sst5/int8/h_sweep_8h/results/h_3e-5/run_mezo_int8/seed16/metrics_logs/metrics_adaptiveH-0_cscale-0.csv,/Users/jichaoyu/Documents/GitHub/MeZO/experiments/pilot/mezo/roberta-large/sst5/int8/h_sweep_8h/results/h_3e-5/run_mezo_int8/seed16/zo_directional_probe.csv,/Users/jichaoyu/Documents/GitHub/MeZO/experiments/pilot/mezo/roberta-large/sst5/int8/h_sweep_8h/results/h_3e-5/run_mezo_int8/seed16/run_summary.json
8h_mezo_int8,roberta-large,sst5,1e-4,0.0001,12.74622631072998,,/Users/jichaoyu/Documents/GitHub/MeZO/experiments/pilot/mezo/roberta-large/sst5/int8/h_sweep_8h/results/h_1e-4/run_mezo_int8/seed16/metrics_logs/metrics_adaptiveH-0_cscale-0.csv,/Users/jichaoyu/Documents/GitHub/MeZO/experiments/pilot/mezo/roberta-large/sst5/int8/h_sweep_8h/results/h_1e-4/run_mezo_int8/seed16/zo_directional_probe.csv,/Users/jichaoyu/Documents/GitHub/MeZO/experiments/pilot/mezo/roberta-large/sst5/int8/h_sweep_8h/results/h_1e-4/run_mezo_int8/seed16/run_summary.json
8h_mezo_int8,roberta-large,sst5,3e-4,0.0003,17.985488891601562,,/Users/jichaoyu/Documents/GitHub/MeZO/experiments/pilot/mezo/roberta-large/sst5/int8/h_sweep_8h/results/h_3e-4/run_mezo_int8/seed16/metrics_logs/metrics_adaptiveH-0_cscale-0.csv,/Users/jichaoyu/Documents/GitHub/MeZO/experiments/pilot/mezo/roberta-large/sst5/int8/h_sweep_8h/results/h_3e-4/run_mezo_int8/seed16/zo_directional_probe.csv,/Users/jichaoyu/Documents/GitHub/MeZO/experiments/pilot/mezo/roberta-large/sst5/int8/h_sweep_8h/results/h_3e-4/run_mezo_int8/seed16/run_summary.json
8h_mezo_int8,roberta-large,sst5,1e-3,0.001,1.6115916967391968,,/Users/jichaoyu/Documents/GitHub/MeZO/experiments/pilot/mezo/roberta-large/sst5/int8/h_sweep_8h/results/h_1e-3/run_mezo_int8/seed16/metrics_logs/metrics_adaptiveH-0_cscale-0.csv,/Users/jichaoyu/Documents/GitHub/MeZO/experiments/pilot/mezo/roberta-large/sst5/int8/h_sweep_8h/results/h_1e-3/run_mezo_int8/seed16/zo_directional_probe.csv,/Users/jichaoyu/Documents/GitHub/MeZO/experiments/pilot/mezo/roberta-large/sst5/int8/h_sweep_8h/results/h_1e-3/run_mezo_int8/seed16/run_summary.json
8h_mezo_int8,roberta-large,sst5,3e-3,0.003,1.6062650680541992,,/Users/jichaoyu/Documents/GitHub/MeZO/experiments/pilot/mezo/roberta-large/sst5/int8/h_sweep_8h/results/h_3e-3/run_mezo_int8/seed16/metrics_logs/metrics_adaptiveH-0_cscale-0.csv,/Users/jichaoyu/Documents/GitHub/MeZO/experiments/pilot/mezo/roberta-large/sst5/int8/h_sweep_8h/results/h_3e-3/run_mezo_int8/seed16/zo_directional_probe.csv,/Users/jichaoyu/Documents/GitHub/MeZO/experiments/pilot/mezo/roberta-large/sst5/int8/h_sweep_8h/results/h_3e-3/run_mezo_int8/seed16/run_summary.json
8h_mezo_int8,roberta-large,mnli,1e-6,1e-06,1.0986124277114868,,/Users/jichaoyu/Documents/GitHub/MeZO/experiments/pilot/mezo/roberta-large/mnli/int8/h_sweep_8h/results/h_1e-6/run_mezo_int8/seed16/metrics_logs/metrics_adaptiveH-0_cscale-0.csv,/Users/jichaoyu/Documents/GitHub/MeZO/experiments/pilot/mezo/roberta-large/mnli/int8/h_sweep_8h/results/h_1e-6/run_mezo_int8/seed16/zo_directional_probe.csv,/Users/jichaoyu/Documents/GitHub/MeZO/experiments/pilot/mezo/roberta-large/mnli/int8/h_sweep_8h/results/h_1e-6/run_mezo_int8/seed16/run_summary.json
8h_mezo_int8,roberta-large,mnli,3e-6,3e-06,1.0986124277114868,,/Users/jichaoyu/Documents/GitHub/MeZO/experiments/pilot/mezo/roberta-large/mnli/int8/h_sweep_8h/results/h_3e-6/run_mezo_int8/seed16/metrics_logs/metrics_adaptiveH-0_cscale-0.csv,/Users/jichaoyu/Documents/GitHub/MeZO/experiments/pilot/mezo/roberta-large/mnli/int8/h_sweep_8h/results/h_3e-6/run_mezo_int8/seed16/zo_directional_probe.csv,/Users/jichaoyu/Documents/GitHub/MeZO/experiments/pilot/mezo/roberta-large/mnli/int8/h_sweep_8h/results/h_3e-6/run_mezo_int8/seed16/run_summary.json
