task,h_str,h,dev_loss,test_loss,sec_per_step,samples_per_sec,last5_mean,probe_rows,summary_json,probe_csv
sst5,1e-6,1e-06,1.6094390153884888,1.6094365119934082,0.8468534729697488,37.78693838000367,1.6094396114349365,0,/Users/jichaoyu/Documents/GitHub/MeZO/experiments/pilot/mezo/roberta-large/sst5/int8/h_sweep_8h/results/h_1e-6/run_mezo_int8/seed16/run_summary.json,/Users/jichaoyu/Documents/GitHub/MeZO/experiments/pilot/mezo/roberta-large/sst5/int8/h_sweep_8h/results/h_1e-6/run_mezo_int8/seed16/zo_directional_probe.csv
sst5,3e-6,3e-06,30.690093994140625,32.55457305908203,0.8743380416523326,36.599116675200456,1.6094418287277221,0,/Users/jichaoyu/Documents/GitHub/MeZO/experiments/pilot/mezo/roberta-large/sst5/int8/h_sweep_8h/results/h_3e-6/run_mezo_int8/seed16/run_summary.json,/Users/jichaoyu/Documents/GitHub/MeZO/experiments/pilot/mezo/roberta-large/sst5/int8/h_sweep_8h/results/h_3e-6/run_mezo_int8/seed16/zo_directional_probe.csv
sst5,1e-5,1e-05,20.906044006347656,21.732275009155273,0.8101455731825395,39.49907406676634,11.176515316963195,0,/Users/jichaoyu/Documents/GitHub/MeZO/experiments/pilot/mezo/roberta-large/sst5/int8/h_sweep_8h/results/h_1e-5/run_mezo_int8/seed16/run_summary.json,/Users/jichaoyu/Documents/GitHub/MeZO/experiments/pilot/mezo/roberta-large/sst5/int8/h_sweep_8h/results/h_1e-5/run_mezo_int8/seed16/zo_directional_probe.csv
sst5,3e-5,3e-05,2.7505311965942383,2.8328468799591064,0.8127553246238015,39.372242826968595,10.82983181476593,0,/Users/jichaoyu/Documents/GitHub/MeZO/experiments/pilot/mezo/roberta-large/sst5/int8/h_sweep_8h/results/h_3e-5/run_mezo_int8/seed16/run_summary.json,/Users/jichaoyu/Documents/GitHub/MeZO/experiments/pilot/mezo/roberta-large/sst5/int8/h_sweep_8h/results/h_3e-5/run_mezo_int8/seed16/zo_directional_probe.csv
sst5,1e-4,0.0001,12.74622631072998,12.293715476989746,0.8381539258089933,38.179144682897395,9.573587894439697,0,/Users/jichaoyu/Documents/GitHub/MeZO/experiments/pilot/mezo/roberta-large/sst5/int8/h_sweep_8h/results/h_1e-4/run_mezo_int8/seed16/run_summary.json,/Users/jichaoyu/Documents/GitHub/MeZO/experiments/pilot/mezo/roberta-large/sst5/int8/h_sweep_8h/results/h_1e-4/run_mezo_int8/seed16/zo_directional_probe.csv
sst5,3e-4,0.0003,6.321163177490234,6.479752063751221,0.8103899522261186,39.487162830803726,10.680945777893067,0,/Users/jichaoyu/Documents/GitHub/MeZO/experiments/pilot/mezo/roberta-large/sst5/int8/h_sweep_8h/results/h_3e-4/run_mezo_int8/seed16/run_summary.json,/Users/jichaoyu/Documents/GitHub/MeZO/experiments/pilot/mezo/roberta-large/sst5/int8/h_sweep_8h/results/h_3e-4/run_mezo_int8/seed16/zo_directional_probe.csv
sst5,1e-3,0.001,3.320992946624756,3.1251158714294434,0.8142565380443226,39.29965373917346,6.31891098022461,0,/Users/jichaoyu/Documents/GitHub/MeZO/experiments/pilot/mezo/roberta-large/sst5/int8/h_sweep_8h/results/h_1e-3/run_mezo_int8/seed16/run_summary.json,/Users/jichaoyu/Documents/GitHub/MeZO/experiments/pilot/mezo/roberta-large/sst5/int8/h_sweep_8h/results/h_1e-3/run_mezo_int8/seed16/zo_directional_probe.csv
sst5,3e-3,0.003,1.6053873300552368,1.622293472290039,0.8178811073303223,39.12549111747116,1.6069963455200196,0,/Users/jichaoyu/Documents/GitHub/MeZO/experiments/pilot/mezo/roberta-large/sst5/int8/h_sweep_8h/results/h_3e-3/run_mezo_int8/seed16/run_summary.json,/Users/jichaoyu/Documents/GitHub/MeZO/experiments/pilot/mezo/roberta-large/sst5/int8/h_sweep_8h/results/h_3e-3/run_mezo_int8/seed16/zo_directional_probe.csv
mnli,1e-6,1e-06,18.199846267700195,17.98946762084961,9.866889411752874,3.243170027008049,1.098612380027771,0,/Users/jichaoyu/Documents/GitHub/MeZO/experiments/pilot/mezo/roberta-large/mnli/int8/h_sweep_8h/results/h_1e-6/run_mezo_int8/seed16/run_summary.json,/Users/jichaoyu/Documents/GitHub/MeZO/experiments/pilot/mezo/roberta-large/mnli/int8/h_sweep_8h/results/h_1e-6/run_mezo_int8/seed16/zo_directional_probe.csv
mnli,3e-6,3e-06,10.161641120910645,10.135744094848633,9.863596894524314,3.2442526131379625,1.0986123561859131,0,/Users/jichaoyu/Documents/GitHub/MeZO/experiments/pilot/mezo/roberta-large/mnli/int8/h_sweep_8h/results/h_3e-6/run_mezo_int8/seed16/run_summary.json,/Users/jichaoyu/Documents/GitHub/MeZO/experiments/pilot/mezo/roberta-large/mnli/int8/h_sweep_8h/results/h_3e-6/run_mezo_int8/seed16/zo_directional_probe.csv
mnli,1e-5,1e-05,12.133441925048828,12.817339897155762,9.922274437817661,3.225067014679166,18.733822727203368,0,/Users/jichaoyu/Documents/GitHub/MeZO/experiments/pilot/mezo/roberta-large/mnli/int8/h_sweep_8h/results/h_1e-5/run_mezo_int8/seed16/run_summary.json,/Users/jichaoyu/Documents/GitHub/MeZO/experiments/pilot/mezo/roberta-large/mnli/int8/h_sweep_8h/results/h_1e-5/run_mezo_int8/seed16/zo_directional_probe.csv
mnli,3e-5,3e-05,1.42772376537323,1.4668872356414795,9.929676381024448,3.222662932011743,11.56583013534546,0,/Users/jichaoyu/Documents/GitHub/MeZO/experiments/pilot/mezo/roberta-large/mnli/int8/h_sweep_8h/results/h_3e-5/run_mezo_int8/seed16/run_summary.json,/Users/jichaoyu/Documents/GitHub/MeZO/experiments/pilot/mezo/roberta-large/mnli/int8/h_sweep_8h/results/h_3e-5/run_mezo_int8/seed16/zo_directional_probe.csv
mnli,1e-4,0.0001,8.151278495788574,8.617738723754883,9.914213418960571,3.2276892424769845,6.928549814224243,0,/Users/jichaoyu/Documents/GitHub/MeZO/experiments/pilot/mezo/roberta-large/mnli/int8/h_sweep_8h/results/h_1e-4/run_mezo_int8/seed16/run_summary.json,/Users/jichaoyu/Documents/GitHub/MeZO/experiments/pilot/mezo/roberta-large/mnli/int8/h_sweep_8h/results/h_1e-4/run_mezo_int8/seed16/zo_directional_probe.csv
mnli,3e-4,0.0003,2.1360723972320557,2.10113525390625,9.90524866364219,3.2306104658894554,7.724576759338379,0,/Users/jichaoyu/Documents/GitHub/MeZO/experiments/pilot/mezo/roberta-large/mnli/int8/h_sweep_8h/results/h_3e-4/run_mezo_int8/seed16/run_summary.json,/Users/jichaoyu/Documents/GitHub/MeZO/experiments/pilot/mezo/roberta-large/mnli/int8/h_sweep_8h/results/h_3e-4/run_mezo_int8/seed16/zo_directional_probe.csv
mnli,1e-3,0.001,4.858919620513916,5.122483253479004,9.853677792982621,3.2475184060502835,3.961768460273743,0,/Users/jichaoyu/Documents/GitHub/MeZO/experiments/pilot/mezo/roberta-large/mnli/int8/h_sweep_8h/results/h_1e-3/run_mezo_int8/seed16/run_summary.json,/Users/jichaoyu/Documents/GitHub/MeZO/experiments/pilot/mezo/roberta-large/mnli/int8/h_sweep_8h/results/h_1e-3/run_mezo_int8/seed16/zo_directional_probe.csv
mnli,3e-3,0.003,5.232826232910156,5.50725793838501,9.875085267153652,3.240478348722504,1.1871169567108155,0,/Users/jichaoyu/Documents/GitHub/MeZO/experiments/pilot/mezo/roberta-large/mnli/int8/h_sweep_8h/results/h_3e-3/run_mezo_int8/seed16/run_summary.json,/Users/jichaoyu/Documents/GitHub/MeZO/experiments/pilot/mezo/roberta-large/mnli/int8/h_sweep_8h/results/h_3e-3/run_mezo_int8/seed16/zo_directional_probe.csv
