h,e_abs_mean,e_abs_std,corr_mean,corr_std,sign_match_mean,deltaL_mean,deltaL_std,delta_pred_mean,delta_pred_std
1e-08,18.44066860105235,10.253932614162288,0.8045190744204029,0.14821245630384094,0.7982673267326733,-0.0011660521573359423,0.0011547498892089398,-0.0011763038324734847,0.0011826311489250751
3e-08,7.1246618203638015,4.000413142938873,0.9582553191852763,0.03558687992417534,0.9096534653465347,-0.001145163384994658,0.0010885411508316837,-0.0011528116924976448,0.0011065254886531632
1e-07,2.484475814791486,1.489087662655336,0.9948250362600157,0.004308678823242557,0.9752475247524752,-0.0011352176713471365,0.0010938956387990186,-0.0011425212237063328,0.0011113050376944506
3e-07,0.9259592579079774,0.5635279413860816,0.9993438749136684,0.0006891019904096062,0.9876237623762376,-0.0011459205410268047,0.001112441725134929,-0.0011532276891212901,0.0011297870521391066
1e-06,0.27203274595884963,0.14865944506035736,0.9999358461741811,6.0077525038371484e-05,0.9962871287128713,-0.0011464221642749144,0.0011124308225269753,-0.0011537861583846992,0.001129753767037199
3e-06,0.09822533465511861,0.06574156529647765,0.9999918558461035,8.409885112753126e-06,1.0,-0.0011468807069381865,0.0011121624065317643,-0.0011542376725575635,0.001129441840743522
1e-05,0.02990053292581137,0.02040290050665868,0.9999989955472345,3.081806283709562e-06,1.0,-0.0011468789365031932,0.0011124133428946114,-0.0011542065400921347,0.001129560850031187
3e-05,0.030695151246015073,0.09220416751577719,0.9998876909655455,0.0011010736978543747,1.0,-0.0011467650385186224,0.0011120480310608583,-0.0011541167329130846,0.0011293303987231214
0.0001,0.22139963012719216,0.6788993947735363,0.9992087757175055,0.005310265973222972,0.995049504950495,-0.0011422781661005303,0.0011118316704304809,-0.0011500573414801422,0.0011292702808182902
0.0003,0.7237032417689571,0.9964556893431499,0.9980465066618917,0.00998291278900958,0.9938118811881188,-0.0011339872190267732,0.0011050533438972422,-0.0011418129486044175,0.0011224700686614413
0.001,3.9985776022673316,3.606150723734444,0.9853069598826606,0.02376269501688371,0.9566831683168316,-0.0010643329950842527,0.001027615366594181,-0.0010715131378114648,0.0010441007942378908
0.003,18.502109016702903,15.944967630655345,0.7239790239216157,0.3299075817938374,0.7858910891089109,-0.000568044657754426,0.0006035108471875901,-0.0005721720926404953,0.0006060883459599586
0.01,27.58231767174011,12.746915250531634,0.2619647682760732,0.37008788415893284,0.5903465346534653,-0.00012797117233276367,0.00024705352155647846,-0.00012878535884009476,0.00024690612171569576
