group,model,dataset,seed,checkpoint,d_trainable,Delta_mode,Delta_value,G_method,G_hat,h_G,L_mode,L_q,L_hat,h2_L,hstar_cont,hstar_cont_q50,hstar_cont_q95,notes
C_model,OPT-1.3B,sst-2,16,initial_pretrained,1315758080,delta_ulp_rms,1.862740730238239e-05,absG,53.50491610369016,0.0001,L_clean32,q90,0.00013799255274920066,3e-05,3.704479587426521e-05,4.868210994326377e-05,3.3167312131659504e-05,
C_model,OPT-1.3B,sst-2,16,initial_pretrained,1315758080,delta_ulp_rms,1.862740730238239e-05,absG,53.50491610369016,0.0001,L_clean32,q50,7.990450680848187e-05,3e-05,4.868210994326377e-05,4.868210994326377e-05,3.3167312131659504e-05,
C_model,OPT-1.3B,sst-2,16,initial_pretrained,1315758080,delta_ulp_rms,1.862740730238239e-05,absG,53.50491610369016,0.0001,L_clean32,q95,0.00017214305466078388,3e-05,3.3167312131659504e-05,4.868210994326377e-05,3.3167312131659504e-05,
C_model,OPT-1.3B,sst-2,16,initial_pretrained,1315758080,delta_ulp_rms,1.862740730238239e-05,absG,53.50491610369016,0.0001,L_oracle_precision,q90,4.394434418548034e-05,0.0003,6.56452847769829e-05,9.32774709080679e-05,6.358941162805994e-05,diagnostic oracle-precision L
C_model,OPT-1.3B,sst-2,16,initial_pretrained,1315758080,delta_ulp_rms,1.862740730238239e-05,absG,53.50491610369016,0.0001,L_oracle_precision,q90,4.394434418548034e-05,0.0003,6.56452847769829e-05,9.32774709080679e-05,6.358941162805994e-05,old SNR L ablation
C_model,OPT-1.3B,sst-2,16,initial_pretrained,1315758080,delta_ulp_rms,1.862740730238239e-05,richardsonG_candidate,53.587396377005604,0.001,L_clean32,q90,0.00013799255274920066,3e-05,3.70733380016349e-05,4.87196183422125e-05,3.319286675073705e-05,diagnostic richardsonG
C_model,OPT-1.3B,sst-2,17,initial_pretrained,1315758080,delta_ulp_rms,1.862740730238239e-05,absG,53.54852418071902,0.0001,L_clean32,q90,0.00014168766431908088,3e-05,3.6573449124656706e-05,5.6597050061675055e-05,3.2786509471541304e-05,
C_model,OPT-1.3B,sst-2,17,initial_pretrained,1315758080,delta_ulp_rms,1.862740730238239e-05,absG,53.54852418071902,0.0001,L_clean32,q50,5.916655572636547e-05,3e-05,5.6597050061675055e-05,5.6597050061675055e-05,3.2786509471541304e-05,
C_model,OPT-1.3B,sst-2,17,initial_pretrained,1315758080,delta_ulp_rms,1.862740730238239e-05,absG,53.54852418071902,0.0001,L_clean32,q95,0.00017630860665116883,3e-05,3.2786509471541304e-05,5.6597050061675055e-05,3.2786509471541304e-05,
C_model,OPT-1.3B,sst-2,17,initial_pretrained,1315758080,delta_ulp_rms,1.862740730238239e-05,absG,53.54852418071902,0.0001,L_oracle_precision,q90,8.069032496273867e-05,0.0003,4.8464217775311004e-05,6.768357371629758e-05,4.593771998635099e-05,diagnostic oracle-precision L
C_model,OPT-1.3B,sst-2,17,initial_pretrained,1315758080,delta_ulp_rms,1.862740730238239e-05,absG,53.54852418071902,0.0001,L_oracle_precision,q90,8.069032496273867e-05,0.0003,4.8464217775311004e-05,6.768357371629758e-05,4.593771998635099e-05,old SNR L ablation
C_model,OPT-1.3B,sst-2,17,initial_pretrained,1315758080,delta_ulp_rms,1.862740730238239e-05,richardsonG_candidate,53.82267416968571,0.001,L_clean32,q90,0.00014168766431908088,3e-05,3.666695133013731e-05,5.674174379800891e-05,3.287033013978484e-05,diagnostic richardsonG
