group,model,dataset,seed,L_mode,selector,selected_h2,selected_L_q50,selected_L_q90,selected_L_q95,selection_status,flags
A_seed,roberta-large,sst-5,16,L_clean32,plateau_q90_primary,1e-05,1.6071741817409646e-05,3.506662235592895e-05,5.3328207294946835e-05,selected,
A_seed,roberta-large,sst-5,16,L_oracle_precision,plateau_q90_primary,0.0003,2.3793675113440426e-05,3.0129775118266063e-05,3.288412080758129e-05,selected,
A_seed,roberta-large,sst-5,16,L_oracle_precision,old_snr_max_fallback_ablation,0.0003,2.3793675113440426e-05,3.0129775118266063e-05,3.288412080758129e-05,selected,ablation_only
A_seed,roberta-large,sst-5,17,L_clean32,plateau_q90_primary,0.0003,1.141835357163965e-05,2.797702134114638e-05,3.081827277460076e-05,selected,
A_seed,roberta-large,sst-5,17,L_oracle_precision,plateau_q90_primary,0.0003,1.3713717051741506e-05,2.7429946486914652e-05,2.8208860211543596e-05,selected,
A_seed,roberta-large,sst-5,17,L_oracle_precision,old_snr_max_fallback_ablation,0.0001,6.826375799052712e-05,0.00012904936064073738,0.00015663930660700956,selected,ablation_only;fallback_max_snr
A_seed,roberta-large,sst-5,18,L_clean32,plateau_q90_primary,1e-05,2.337845583854553e-05,3.945106909741728e-05,4.45624403496824e-05,selected,
A_seed,roberta-large,sst-5,18,L_oracle_precision,plateau_q90_primary,0.0003,1.5896481952609032e-05,3.355896472793494e-05,3.656934313879889e-05,selected,
A_seed,roberta-large,sst-5,18,L_oracle_precision,old_snr_max_fallback_ablation,0.001,1.664576461546149e-05,3.0561813366758346e-05,3.3639530478326475e-05,selected,ablation_only
A_seed,roberta-large,sst-5,19,L_clean32,plateau_q90_primary,1e-05,1.1689152981923993e-05,2.7763480469985133e-05,3.141612273085923e-05,selected,
A_seed,roberta-large,sst-5,19,L_oracle_precision,plateau_q90_primary,0.0003,6.64968242713333e-06,1.735239671637002e-05,1.8598335058643957e-05,selected,
A_seed,roberta-large,sst-5,19,L_oracle_precision,old_snr_max_fallback_ablation,0.002,1.5297260765323942e-05,2.296479115622784e-05,2.4335684652188794e-05,selected,ablation_only;fallback_max_snr
B_task,roberta-large,rte,16,L_clean32,plateau_q90_primary,0.0003,8.469300935201397e-06,1.9141027498170934e-05,2.122761813648718e-05,selected,
B_task,roberta-large,rte,16,L_oracle_precision,plateau_q90_primary,0.0003,7.792998944260269e-06,2.1845792258887108e-05,2.759880859462253e-05,selected,
B_task,roberta-large,rte,16,L_oracle_precision,old_snr_max_fallback_ablation,0.004,7.89012672506033e-06,2.6533002560438073e-05,3.351549658846986e-05,selected,ablation_only;fallback_max_snr
B_task,roberta-large,rte,17,L_clean32,plateau_q90_primary,1e-05,6.574749637778522e-06,1.6072963554417347e-05,2.009091906411535e-05,selected,
B_task,roberta-large,rte,17,L_oracle_precision,plateau_q90_primary,0.0003,7.636859742270028e-06,1.2624241151133052e-05,1.3663319206851865e-05,selected,
B_task,roberta-large,rte,17,L_oracle_precision,old_snr_max_fallback_ablation,0.003,1.138699718780966e-05,2.9523097211871923e-05,3.432581091890143e-05,selected,ablation_only;fallback_max_snr
B_task,roberta-large,rte,18,L_clean32,plateau_q90_primary,0.0003,4.76098721379617e-06,1.2250555939407314e-05,1.4383879633974553e-05,selected,
B_task,roberta-large,rte,18,L_oracle_precision,plateau_q90_primary,0.0003,9.507040327725604e-06,1.4547283426907259e-05,1.636498803895891e-05,selected,
B_task,roberta-large,rte,18,L_oracle_precision,old_snr_max_fallback_ablation,3e-05,0.000358425283451613,0.0007896474708347953,0.0009091294840762682,selected,ablation_only;fallback_max_snr
