group,model,dataset,seed,h,alignment_eff,norm_ratio_eff,zero_coord_frac_eff,rms_snap_error,visibility_pass
A_seed,roberta-large,sst-5,16,1e-05,0.7952798800687139,0.9663967046239136,0.5935504604028912,1.2598528991414509e-05,False
A_seed,roberta-large,sst-5,16,3e-05,0.9414161319626088,1.0197379243485947,0.30571003948927145,2.0773253055528022e-05,False
A_seed,roberta-large,sst-5,16,0.0001,0.992127168628137,1.0072306819845056,0.10904313159322082,2.522829390567106e-05,False
A_seed,roberta-large,sst-5,16,0.0003,0.9991116409810068,1.0008757062392393,0.037379652525847906,2.5307176117145658e-05,True
A_seed,roberta-large,sst-5,16,0.001,0.9999226803374133,1.0000805859329596,0.011256094435023435,2.4873678253804666e-05,True
A_seed,roberta-large,sst-5,16,0.0015,0.9999662333749548,1.0000346041906913,0.007504832068387466,2.4657316912519527e-05,True
A_seed,roberta-large,sst-5,16,0.002,0.9999812776795343,1.000022525379893,0.005628331267930322,2.44827110938534e-05,True
A_seed,roberta-large,sst-5,16,0.003,0.9999918574920268,1.0000081935068248,0.0037515568353007796,2.4223530474657604e-05,True
A_seed,roberta-large,sst-5,16,0.004,0.999995500730309,1.0000087216310791,0.0028138870990886654,2.4033539438579724e-05,True
A_seed,roberta-large,sst-5,16,0.005,0.9999971541759467,1.000003155346361,0.002251458996937825,2.3914708625342543e-05,True
A_seed,roberta-large,sst-5,16,0.01,0.9999993025990431,1.0000010143344875,0.0011251944908843557,2.379379531201156e-05,True
A_seed,roberta-large,sst-5,17,1e-05,0.7952718506898574,0.9663539742463418,0.593568694478684,1.2598466255061487e-05,False
A_seed,roberta-large,sst-5,17,3e-05,0.9414135903473824,1.0197213956441749,0.30572565674675256,2.0773351449153616e-05,False
A_seed,roberta-large,sst-5,17,0.0001,0.99212605130294,1.0072246103864757,0.10904282302928173,2.5229774279303886e-05,False
A_seed,roberta-large,sst-5,17,0.0003,0.9991116367772549,1.0008759027476775,0.03738056626732393,2.5307071075724726e-05,True
A_seed,roberta-large,sst-5,17,0.001,0.9999226847822152,1.000080531749771,0.01125572366802612,2.4872511434027895e-05,True
A_seed,roberta-large,sst-5,17,0.0015,0.9999662305824774,1.000034508258862,0.00750609972381548,2.4658350480951617e-05,True
A_seed,roberta-large,sst-5,17,0.002,0.9999812794439209,1.0000225721480804,0.005630125044791717,2.4482622477531794e-05,True
A_seed,roberta-large,sst-5,17,0.003,0.9999918580033103,1.000008127837246,0.0037528260228238235,2.4221337370959874e-05,True
A_seed,roberta-large,sst-5,17,0.004,0.9999954974403575,1.0000086911836379,0.002814943018983501,2.403291813906627e-05,True
A_seed,roberta-large,sst-5,17,0.005,0.9999971538776846,1.0000031340459437,0.0022523325975240633,2.3913751573230808e-05,True
A_seed,roberta-large,sst-5,17,0.01,0.9999993029315158,1.0000010290383383,0.0011269236133354746,2.37932731748591e-05,True
A_seed,roberta-large,sst-5,18,1e-05,0.7952797978231814,0.9663636597383742,0.5935608955021421,1.2598430265093618e-05,False
A_seed,roberta-large,sst-5,18,3e-05,0.9414184172245194,1.0197276552133343,0.30571384674542146,2.0772839787434058e-05,False
A_seed,roberta-large,sst-5,18,0.0001,0.992125713687763,1.0072252357550107,0.10903540125453628,2.5230649195042444e-05,False
A_seed,roberta-large,sst-5,18,0.0003,0.9991115652945759,1.0008758845649721,0.03737641612830604,2.5308403653482407e-05,True
A_seed,roberta-large,sst-5,18,0.001,0.9999226809362065,1.0000804337276845,0.011254576435267482,2.4873109618822873e-05,True
A_seed,roberta-large,sst-5,18,0.0015,0.9999662301816025,1.0000345910998885,0.0075040746006045204,2.4659123086757934e-05,True
A_seed,roberta-large,sst-5,18,0.002,0.9999812754392801,1.0000225090341215,0.0056286481051825744,2.448235055518735e-05,True
A_seed,roberta-large,sst-5,18,0.003,0.999991858295623,1.0000081937846361,0.003752309706798635,2.4222376885097498e-05,True
A_seed,roberta-large,sst-5,18,0.004,0.9999954978409067,1.0000087408296376,0.0028154057116826304,2.4034035855626716e-05,True
A_seed,roberta-large,sst-5,18,0.005,0.9999971488909709,1.000003268333711,0.0022522823448070713,2.3913589793874082e-05,True
A_seed,roberta-large,sst-5,18,0.01,0.999999306649782,1.0000010031551956,0.00112603040193285,2.3794276924077764e-05,True
A_seed,roberta-large,sst-5,19,1e-05,0.7952799293957631,0.9663668305719666,0.5935562207737859,1.2598388534460776e-05,False
A_seed,roberta-large,sst-5,19,3e-05,0.9414119731005044,1.0197321372713772,0.3057182496801194,2.0773948981598956e-05,False
