global_step,training_h_source,training_h,h_additive,h_two_point,h_two_point_tilde,eps_est,nu3_est,noise_est,delta_tilde,g_tilde,l_tilde,delta_hat,g_hat,l_hat,h2,two_point_precision,additive_noise_precision
50,fixed,0.001,0.001,0.0005467866788430224,0.00029897567216018265,nan,nan,nan,4.344786430010572e-05,24.59712184125488,7.327008881369424e-06,4.344786430010572e-05,24.59712184125488,7.327008881369424e-06,0.00659149939695861,fp16,fp16
100,fixed,0.001,0.001,0.0003573276717257002,0.00023351531762090777,nan,nan,nan,4.372668990981765e-05,14.007628101639627,1.1584031842680102e-05,4.3587277104961686e-05,19.302374971447254,9.455520362024762e-06,0.00659149939695861,fp16,fp16
150,fixed,0.001,0.001,0.00029940110570658674,0.00025086504402362325,nan,nan,nan,4.3604122765827924e-05,13.162491760482885,6.691335641301403e-06,4.3604122765827924e-05,17.255747234459132,7.327008881369424e-06,0.006602066123946479,fp16,fp16
200,fixed,0.001,0.001,0.0002732174628053614,0.00024932366834661544,nan,nan,nan,4.3832624214701355e-05,13.269899705557615,3.882915547757509e-06,4.372668990981765e-05,16.25928535223375,7.009172261335413e-06,0.006603341787748679,fp16,fp16
250,fixed,0.001,0.001,0.00026639789555240993,0.0002597485461802628,nan,nan,nan,4.4898377382196486e-05,18.99509151931451,6.5466396405148215e-06,4.3832624214701355e-05,16.8064465856499,6.691335641301403e-06,0.006612615965699025,fp16,fp16
300,fixed,0.001,0.001,0.00025651997580261067,0.00024700832508200575,nan,nan,nan,4.177502341917716e-05,16.556007011487196,1.5113521843482054e-05,4.3832624214701355e-05,15.198223619696368,6.691335641301403e-06,0.0066206211351127284,fp16,fp16
350,fixed,0.001,0.001,0.00025535975120349126,0.0002542047742312522,nan,nan,nan,4.4445088860811666e-05,15.674540635694246,6.45770916054567e-06,4.4445088860811666e-05,15.53160612650729,6.5466396405148215e-06,0.0066206211351127284,fp16,fp16
400,fixed,0.001,0.001,0.0002535962251178064,0.0002518448780236826,nan,nan,nan,4.3564406951190904e-05,12.211855529357091,3.3488353233455386e-06,4.3564406951190904e-05,15.34147888028213,6.45770916054567e-06,0.006666714997719017,fp16,fp16
450,fixed,0.001,0.001,0.0002459472843109123,0.00023852904999596298,nan,nan,nan,4.220115079078823e-05,6.320421161533731,7.112910888678717e-06,4.3564406951190904e-05,13.951583171477356,6.5466396405148215e-06,0.006600333851495006,fp16,fp16
500,fixed,0.001,0.001,0.0002273828180778008,0.00021021962532280817,nan,nan,nan,4.383026680443436e-05,8.106138877826808,1.366132698573729e-05,4.3564406951190904e-05,11.773792643179814,7.112910888678717e-06,0.006600333851495006,fp16,fp16
550,fixed,0.001,0.001,0.00022953093806875799,0.00023169935167527755,nan,nan,nan,4.572466787067242e-05,22.219517730104776,3.885478836746803e-06,4.383026680443436e-05,12.906494786903332,6.45770916054567e-06,0.006600333851495006,fp16,fp16
600,fixed,0.001,0.001,0.0002614777340352819,0.00029787097970969227,nan,nan,nan,4.308615825721063e-05,15.314887754701166,3.5313468691081653e-06,4.383026680443436e-05,12.834564210704716,3.885478836746803e-06,0.006620443097288455,fp16,fp16
650,fixed,0.001,0.001,0.00024495939990175326,0.00022948457856885942,nan,nan,nan,4.375191929284483e-05,17.89147450193498,1.3104879158252634e-05,4.375191929284483e-05,13.970488005220293,7.112910888678717e-06,0.006620443097288455,fp16,fp16
700,fixed,0.001,0.001,0.00026577549060387734,0.00028836048518269603,nan,nan,nan,4.2380765080451965e-05,12.930394933237867,4.8561262695010135e-06,4.308615825721063e-05,15.29248275956112,4.8561262695010135e-06,0.0066145233609720385,fp16,fp16
750,fixed,0.001,0.001,0.0002868478543579992,0.00030959096853826906,nan,nan,nan,4.123743929085322e-05,12.232465533868362,4.367594241441326e-06,4.2380765080451965e-05,16.11774809076943,4.367594241441326e-06,0.0065640047423208515,fp16,fp16
800,fixed,0.001,0.001,0.0002796497093458618,0.00027263219420711705,nan,nan,nan,4.4584765419131145e-05,11.117169948969954,1.2295135950037815e-05,4.2380765080451965e-05,13.897278534542465,4.8561262695010135e-06,0.006510051081247517,fp16,fp16
850,fixed,0.001,0.001,0.00027387418456947994,0.0002682179400402353,nan,nan,nan,4.371419345261529e-05,11.031476838783812,4.557691390210178e-06,4.371419345261529e-05,13.040596351358994,4.8561262695010135e-06,0.006510051081247517,fp16,fp16
900,fixed,0.001,0.001,0.0002602066820397638,0.0002472212468092843,nan,nan,nan,4.3416584958322346e-05,8.08257810537092,5.411196896911488e-06,4.371419345261529e-05,11.078817072046183,4.8561262695010135e-06,0.006611671003053259,fp16,fp16
950,fixed,0.001,0.001,0.00025235588296984774,0.000244741953474353,nan,nan,nan,4.125693885725923e-05,8.83785044268281,3.54101247687238e-06,4.3416584958322346e-05,10.260308173935172,4.557691390210178e-06,0.006611671003053259,fp16,fp16
1000,fixed,0.001,0.001,0.0002492413065218393,0.0002461651701780848,nan,nan,nan,4.506805635173805e-05,12.830854989067761,2.2771043720817945e-06,4.3416584958322346e-05,10.379986064975052,4.557691390210178e-06,0.006589126266685314,fp16,fp16
1050,fixed,0.001,0.001,0.00025240128673968123,0.0002556013304410468,nan,nan,nan,4.189362152828835e-05,17.206496102661045,1.2154867641710403e-05,4.189362152828835e-05,11.59785129571327,4.557691390210178e-06,0.006589126266685314,fp16,fp16
1100,fixed,0.001,0.001,0.0002726246255405577,0.00029446833418002733,nan,nan,nan,4.34214343840722e-05,10.735443256389138,3.148814993627849e-06,4.34214343840722e-05,11.538644579234335,3.54101247687238e-06,0.0064725282176509935,fp16,fp16
1150,fixed,0.001,0.001,0.00028954035084606983,0.0003075056576486462,nan,nan,nan,4.202877244097181e-05,8.189772070116172,1.7820809357128547e-06,4.202877244097181e-05,11.560083372183385,3.148814993627849e-06,0.006589494243420522,fp16,fp16
