h,e_abs_mean,e_abs_std,corr_mean,corr_std,sign_match_mean,slope_a_mean,slope_a_std,deltaL_mean,deltaL_std,delta_pred_mean,delta_pred_std,delta_zero_frac_mean,delta_zero_frac_std,param_changed_ratio_mean,param_changed_ratio_std,h_eff_mean,h_eff_std,h_eff_over_h_mean,h_eff_over_h_std
1e-09,128.9397034251015,80.36753583747918,0.07048836359855305,0.37720105379965035,0.4381188118811881,0.8874986033301596,4.36089541175814,-0.0002142438794126605,0.000986853085827737,-0.00036185404907662877,0.0015557208843603619,0.15222772277227722,0.13987043155635995,0.3543260600045718,0.0004433654118313439,9.343567921212507e-10,1.7029945341105513e-13,0.9343567921212507,0.00017029945341109922
3e-09,45.23697212784128,23.490561727985316,0.18429542956699102,0.3420703349820185,0.47648514851485146,0.7809069841849848,1.3526040335267224,-0.00021164488084245435,0.0005578438661414226,-0.0002891772588783525,0.0009133562753891826,0.1646039603960396,0.14676798555597337,0.6481947698836299,0.0003131624525533584,3.074577534110162e-09,1.4536070311474231e-11,1.0248591780367207,0.004845356770491417
1e-08,14.105105452475899,7.621247453185732,0.664627294765696,0.21173144131676483,0.6881188118811881,0.9988563774362993,0.4269481122378436,-0.0002813085471049394,0.00036910256107801245,-0.000336849371495956,0.0005836229340082209,0.125,0.13110110602126895,0.8684918883115886,0.00010651291155712492,1.0108379533601764e-08,8.94018734761924e-12,1.0108379533601766,0.0008940187347618971
3e-08,5.466213137277376,3.5742653442139,0.9096088079878402,0.07577176426133331,0.8452970297029703,0.9866609071285224,0.1548590155529445,-0.00028811409921929387,0.00032310969402721653,-0.00031843380589714624,0.0004161625541826487,0.06188118811881188,0.08220356283382281,0.9542926645572477,2.58620126939426e-05,3.0044622720642516e-08,4.942594257387031e-12,1.0014874240214173,0.00016475314191280403
1e-07,1.6959937188001062,0.9996831420769641,0.990215889616763,0.007823639380963199,0.9455445544554455,0.9983623356796127,0.04738499023969885,-0.00029822033230621035,0.00033496331412005513,-0.0003276816960579769,0.0004295194535305747,0.01485148514851485,0.04064760414553702,0.9862066801544583,5.834005183147052e-06,1.0001363745760721e-07,2.3829844232322574e-12,1.000136374576072,2.3829844232354663e-05
3e-07,0.631214085049035,0.3979080635663579,0.9988400435742999,0.0007456474951415741,0.9764851485148515,1.0024653361979194,0.019402270022655828,-0.0003022716777159436,0.0003376156392640036,-0.00033076921581944697,0.00042909461192328123,0.0049504950495049506,0.024499949484692314,0.9953996653455007,2.3192944974903883e-06,3.000046153844369e-07,1.1321279990522063e-12,1.0000153846147897,3.7737599968373568e-06
1e-06,0.20615339580567338,0.15465259154189775,0.9998444955716789,0.00030251753653204663,0.995049504950495,1.0009704689963554,0.010422307406938567,-0.0003014643593589858,0.00033687889526245497,-0.0003292974066816651,0.00042466747182219334,0.0024752475247524753,0.017501767944642588,0.9986198090186075,9.31027650408305e-07,1.0000013784588882e-06,4.276482400799762e-13,1.0000013784588881,4.276482401038614e-07
3e-06,0.21798397838512787,1.0529470242747754,0.9874612144354035,0.1213022571898407,0.9975247524752475,0.9966551874123466,0.12060593733077848,-0.0003014702608089636,0.0003375114537305368,-0.0003317725531437297,0.0004267657586178693,0.0,0.0,0.9995398894301232,4.6609052313561014e-07,3.0000005443646235e-06,1.486106192920349e-13,1.0000001814548745,4.953687316028505e-08
1e-05,0.4735425549948099,2.284532936265868,0.9780647924930657,0.14195426332032143,0.9962871287128713,0.9949399298192164,0.039356044334182376,-0.000310648785959376,0.00033983147151868165,-0.0003264917021137,0.00042212568698910176,0.0,0.0,0.9998619124751594,2.2917925105182447e-07,9.999999778348751e-06,4.132999477916134e-14,0.999999977834875,4.1329994812433805e-09
3e-05,0.7394599105155065,3.2845715178950674,0.9843004168768715,0.07072541503256308,0.9839108910891089,0.9789123703597816,0.11606744399702196,-0.000304255745198467,0.00034402131708957803,-0.00030048831257611,0.0003381791195573146,0.0,0.0,0.9999538980166611,1.406530583219842e-07,2.9999999155404e-05,6.067065147775866e-14,0.9999999718468,2.022355046301344e-09
0.0001,1.1459200548975084,4.975310734098336,0.980203362867916,0.09846191033451787,0.9801980198019802,0.9718809707321378,0.14014803632541417,-0.0002939642065822488,0.0003341735528818149,-0.00029195070982150417,0.0003339896285244607,0.0,0.0,0.999986108922134,6.817842963073179e-08,9.999999733500648e-05,2.296874028442072e-13,0.9999999733500647,2.2968740275891806e-09
0.0003,1.7323591684125625,5.225052248564231,0.97351208743826,0.1069556446454445,0.9665841584158416,0.9629123373877935,0.14792954100417616,-0.0002874012040619803,0.00031785793022103947,-0.00028640169133140595,0.00031931680163595504,0.0,0.0,0.9999953197348647,3.047691733845389e-08,0.00030000001497699087,5.854295565467669e-13,1.0000000499233028,1.9514318411769168e-09
0.001,3.204120627886968,5.157404777681094,0.9610414714306174,0.09661329105595046,0.9405940594059405,0.9336579939679325,0.1694551149262007,-0.0002668783216193171,0.00026424855286815595,-0.0002666754528311004,0.0002653103737714558,0.0,0.0,0.999998556960648,1.9649498244087072e-08,0.0010000000480466793,1.72881050705982e-12,1.000000048046679,1.7288104938652383e-09
