precision,checkpoint_id,fit_method,A,B,C,h_ref,rho_min_dep,tau,h_low,h_high,default_h,default_in_window,rho_dep_at_default,fit_quality_r2_or_log_error,fit_stability_flag,notes
fp16,task_start_seed16_deterministic,dep_log_soft_l1,1.195459568366159e-10,7405.106326897532,0.0,,,0.1,,,0.001,,,0.7881043690046259,poor_fit,"fit unstable: poor_fit; insufficient fit quality: log_R2=0.7881, log_RMSE=0.8648"
fp16,task_start_seed16_deterministic,dep_log_soft_l1,1.195459568366159e-10,7405.106326897532,0.0,,,0.5,,,0.001,,,0.7881043690046259,poor_fit,"fit unstable: poor_fit; insufficient fit quality: log_R2=0.7881, log_RMSE=0.8648"
fp16,task_start_seed16_deterministic,dep_log_soft_l1,1.195459568366159e-10,7405.106326897532,0.0,,,1.0,,,0.001,,,0.7881043690046259,poor_fit,"fit unstable: poor_fit; insufficient fit quality: log_R2=0.7881, log_RMSE=0.8648"
fp16,task_start_seed16_deterministic,dep_log_soft_l1,1.195459568366159e-10,7405.106326897532,0.0,,,2.0,,,0.001,,,0.7881043690046259,poor_fit,"fit unstable: poor_fit; insufficient fit quality: log_R2=0.7881, log_RMSE=0.8648"
fp16,task_start_seed16_deterministic,log_soft_l1,6.460579319928423e-11,1.0000000000000024e-30,0.02137952397981599,,,0.1,,,0.001,,,0.6605386430548474,poor_fit,"fit unstable: poor_fit; insufficient fit quality: log_R2=0.6605, log_RMSE=1.095"
fp16,task_start_seed16_deterministic,log_soft_l1,6.460579319928423e-11,1.0000000000000024e-30,0.02137952397981599,,,0.5,,,0.001,,,0.6605386430548474,poor_fit,"fit unstable: poor_fit; insufficient fit quality: log_R2=0.6605, log_RMSE=1.095"
fp16,task_start_seed16_deterministic,log_soft_l1,6.460579319928423e-11,1.0000000000000024e-30,0.02137952397981599,,,1.0,,,0.001,,,0.6605386430548474,poor_fit,"fit unstable: poor_fit; insufficient fit quality: log_R2=0.6605, log_RMSE=1.095"
fp16,task_start_seed16_deterministic,log_soft_l1,6.460579319928423e-11,1.0000000000000024e-30,0.02137952397981599,,,2.0,,,0.001,,,0.6605386430548474,poor_fit,"fit unstable: poor_fit; insufficient fit quality: log_R2=0.6605, log_RMSE=1.095"
fp16,task_start_seed16_deterministic,linear_nnls,1.0401623375490853e-11,0.0,0.23896536423381728,,,0.1,,,0.001,,,-0.07786516311309222,missing_tail,A or B nonpositive
fp16,task_start_seed16_deterministic,linear_nnls,1.0401623375490853e-11,0.0,0.23896536423381728,,,0.5,,,0.001,,,-0.07786516311309222,missing_tail,A or B nonpositive
fp16,task_start_seed16_deterministic,linear_nnls,1.0401623375490853e-11,0.0,0.23896536423381728,,,1.0,,,0.001,,,-0.07786516311309222,missing_tail,A or B nonpositive
fp16,task_start_seed16_deterministic,linear_nnls,1.0401623375490853e-11,0.0,0.23896536423381728,,,2.0,,,0.001,,,-0.07786516311309222,missing_tail,A or B nonpositive
int4,task_start_seed16_deterministic,dep_log_soft_l1,2.704977299841755e-06,80806.08626945339,0.0,,,0.1,,,0.001,,,0.6147955555242992,poor_fit,"fit unstable: poor_fit; insufficient fit quality: log_R2=0.6148, log_RMSE=1.298"
int4,task_start_seed16_deterministic,dep_log_soft_l1,2.704977299841755e-06,80806.08626945339,0.0,,,0.5,,,0.001,,,0.6147955555242992,poor_fit,"fit unstable: poor_fit; insufficient fit quality: log_R2=0.6148, log_RMSE=1.298"
int4,task_start_seed16_deterministic,dep_log_soft_l1,2.704977299841755e-06,80806.08626945339,0.0,,,1.0,,,0.001,,,0.6147955555242992,poor_fit,"fit unstable: poor_fit; insufficient fit quality: log_R2=0.6148, log_RMSE=1.298"
int4,task_start_seed16_deterministic,dep_log_soft_l1,2.704977299841755e-06,80806.08626945339,0.0,,,2.0,,,0.001,,,0.6147955555242992,poor_fit,"fit unstable: poor_fit; insufficient fit quality: log_R2=0.6148, log_RMSE=1.298"
int4,task_start_seed16_deterministic,log_soft_l1,4.6710479452693387e-07,1.1530386315074404e-30,3.278969836273514,,,0.1,,,0.001,,,0.8564599565255081,boundary_solution,"fit unstable: boundary_solution; h_ref=797797 outside [1e-05, 0.005] by >10x"
int4,task_start_seed16_deterministic,log_soft_l1,4.6710479452693387e-07,1.1530386315074404e-30,3.278969836273514,,,0.5,,,0.001,,,0.8564599565255081,boundary_solution,"fit unstable: boundary_solution; h_ref=797797 outside [1e-05, 0.005] by >10x"
int4,task_start_seed16_deterministic,log_soft_l1,4.6710479452693387e-07,1.1530386315074404e-30,3.278969836273514,,,1.0,,,0.001,,,0.8564599565255081,boundary_solution,"fit unstable: boundary_solution; h_ref=797797 outside [1e-05, 0.005] by >10x"
int4,task_start_seed16_deterministic,log_soft_l1,4.6710479452693387e-07,1.1530386315074404e-30,3.278969836273514,,,2.0,,,0.001,,,0.8564599565255081,boundary_solution,"fit unstable: boundary_solution; h_ref=797797 outside [1e-05, 0.005] by >10x"
int4,task_start_seed16_deterministic,linear_nnls,1.1852832901239155e-07,0.0,26.62775497452466,,,0.1,,,0.001,,,0.2772081702145611,missing_tail,A or B nonpositive
int4,task_start_seed16_deterministic,linear_nnls,1.1852832901239155e-07,0.0,26.62775497452466,,,0.5,,,0.001,,,0.2772081702145611,missing_tail,A or B nonpositive
int4,task_start_seed16_deterministic,linear_nnls,1.1852832901239155e-07,0.0,26.62775497452466,,,1.0,,,0.001,,,0.2772081702145611,missing_tail,A or B nonpositive
int4,task_start_seed16_deterministic,linear_nnls,1.1852832901239155e-07,0.0,26.62775497452466,,,2.0,,,0.001,,,0.2772081702145611,missing_tail,A or B nonpositive
