precision,threshold_type,max_acc,h_best_acc,h_good_low,h_good_high,all_good_h_values,source_path,default_h,tiny_h,default_in_empirical_window,tiny_in_empirical_window,status
fp16,best_acc_minus_0.005,0.4637002341920375,1e-05,1e-05,0.0001,1e-05 0.0001,/scratch/jy03364/MeZO_/experiments/main_latest/mezo/roberta-large/sst5/fp32_fp16_h_sweep_left_tail_seed16_bs64_ckpt1k_20260519/summaries/merged_fp32_fp16_h_sweep_1e-9_to_1e-2.csv,0.001,1e-05,False,True,ok
fp16,best_acc_minus_0.01,0.4637002341920375,1e-05,3e-06,0.0015,3e-06 1e-05 3e-05 0.0001 0.0015,/scratch/jy03364/MeZO_/experiments/main_latest/mezo/roberta-large/sst5/fp32_fp16_h_sweep_left_tail_seed16_bs64_ckpt1k_20260519/summaries/merged_fp32_fp16_h_sweep_1e-9_to_1e-2.csv,0.001,1e-05,True,True,ok
fp16,best_acc_minus_0.02,0.4637002341920375,1e-05,3e-06,0.0015,3e-06 1e-05 3e-05 0.0001 0.001 0.0015,/scratch/jy03364/MeZO_/experiments/main_latest/mezo/roberta-large/sst5/fp32_fp16_h_sweep_left_tail_seed16_bs64_ckpt1k_20260519/summaries/merged_fp32_fp16_h_sweep_1e-9_to_1e-2.csv,0.001,1e-05,True,True,ok
fp32,best_acc_minus_0.005,0.48711943793911,3e-05,1e-06,0.0001,1e-06 1e-05 3e-05 0.0001,/scratch/jy03364/MeZO_/experiments/main_latest/mezo/roberta-large/sst5/fp32_fp16_h_sweep_left_tail_seed16_bs64_ckpt1k_20260519/summaries/merged_fp32_fp16_h_sweep_1e-9_to_1e-2.csv,0.001,1e-05,False,True,ok
fp32,best_acc_minus_0.01,0.48711943793911,3e-05,1e-07,0.003,1e-07 3e-07 1e-06 3e-06 1e-05 3e-05 0.0001 0.0003 0.001 0.0015 0.002 0.003,/scratch/jy03364/MeZO_/experiments/main_latest/mezo/roberta-large/sst5/fp32_fp16_h_sweep_left_tail_seed16_bs64_ckpt1k_20260519/summaries/merged_fp32_fp16_h_sweep_1e-9_to_1e-2.csv,0.001,1e-05,True,True,ok
fp32,best_acc_minus_0.02,0.48711943793911,3e-05,1e-07,0.003,1e-07 3e-07 1e-06 3e-06 1e-05 3e-05 0.0001 0.0003 0.001 0.0015 0.002 0.003,/scratch/jy03364/MeZO_/experiments/main_latest/mezo/roberta-large/sst5/fp32_fp16_h_sweep_left_tail_seed16_bs64_ckpt1k_20260519/summaries/merged_fp32_fp16_h_sweep_1e-9_to_1e-2.csv,0.001,1e-05,True,True,ok
int4,best_acc_minus_0.005,0.4789227166276346,0.001,0.001,0.001,0.001,/scratch/jy03364/MeZO_/outputs/rtnclip_int4_g128_rtnclip_roberta_sst5_seed16_20260521/int4_hsearch_summary.csv,0.001,1e-05,True,False,ok
int4,best_acc_minus_0.01,0.4789227166276346,0.001,0.001,0.001,0.001,/scratch/jy03364/MeZO_/outputs/rtnclip_int4_g128_rtnclip_roberta_sst5_seed16_20260521/int4_hsearch_summary.csv,0.001,1e-05,True,False,ok
int4,best_acc_minus_0.02,0.4789227166276346,0.001,0.001,0.001,0.001,/scratch/jy03364/MeZO_/outputs/rtnclip_int4_g128_rtnclip_roberta_sst5_seed16_20260521/int4_hsearch_summary.csv,0.001,1e-05,True,False,ok
int8,best_acc_minus_0.005,0.4765807962529274,0.001,0.001,0.001,0.001,/scratch/jy03364/MeZO_/outputs/rtnclip_lowbit_roberta_sst5_seed16_20260519_batch/int8_hsearch_summary.csv,0.001,1e-05,True,False,ok
int8,best_acc_minus_0.01,0.4765807962529274,0.001,3e-05,0.001,3e-05 0.001,/scratch/jy03364/MeZO_/outputs/rtnclip_lowbit_roberta_sst5_seed16_20260519_batch/int8_hsearch_summary.csv,0.001,1e-05,True,False,ok
int8,best_acc_minus_0.02,0.4765807962529274,0.001,3e-05,0.002,3e-05 0.0001 0.0003 0.001 0.0015 0.002,/scratch/jy03364/MeZO_/outputs/rtnclip_lowbit_roberta_sst5_seed16_20260519_batch/int8_hsearch_summary.csv,0.001,1e-05,True,False,ok
